latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
41.132,26.95,323.2,1.1,1,2017-09-20,1126,Aqua,MODIS,66,6.1,309.9,8.6
41.472,26.81,321.4,1.1,1,2017-09-20,1126,Aqua,MODIS,66,6.1,307.8,7.3
41.204,26.791,314.9,1,1,2017-03-05,1120,Aqua,MODIS,73,6.1,293.8,10.9
41.429,26.704,320.1,1.2,1.1,2017-07-26,0857,Terra,MODIS,65,6.1,305.3,9.8
41.694,26.527,318.9,1.3,1.1,2017-09-12,0857,Terra,MODIS,44,6.1,301,8.8
41.641,26.695,323.1,1.1,1,2017-09-20,1126,Aqua,MODIS,70,6.1,309.3,7.9
40.127,25.766,307.2,2.7,1.6,2017-03-22,1203,Aqua,MODIS,58,6.1,293.1,25.9
40.119,25.792,304.8,2.7,1.6,2017-03-22,1203,Aqua,MODIS,32,6.1,293.4,19.2
40.121,25.739,336.7,1.3,1.1,2017-07-13,1107,Aqua,MODIS,78,6.1,310.1,33.4
40.118,25.724,329.3,1.3,1.1,2017-07-13,1107,Aqua,MODIS,0,6.1,310.6,18.4
38.524,26.968,300.7,1.1,1.1,2017-02-16,0857,Terra,MODIS,40,6.1,282.2,6.3
38.499,27.035,320,1.1,1,2017-04-15,1113,Aqua,MODIS,43,6.1,307.3,8.9
38.5,27.045,319.2,1.1,1,2017-04-26,0916,Terra,MODIS,28,6.1,303.9,8.1
38.499,27.039,326.4,1,1,2017-06-06,0910,Terra,MODIS,64,6.1,306.8,9.6
38.516,27.121,312.5,2.2,1.4,2017-07-14,0045,Aqua,MODIS,85,6.1,299,26.8
38.503,27.119,309.4,2.2,1.4,2017-07-14,0045,Aqua,MODIS,77,6.1,299.1,20.3
38.499,27.041,328.9,1.1,1,2017-07-15,0916,Terra,MODIS,48,6.1,310.3,9.1
38.501,27.038,328.7,1.1,1,2017-07-31,0916,Terra,MODIS,28,6.1,313.3,9.3
40.383,26.605,304,1,1,2017-03-05,1120,Aqua,MODIS,47,6.1,293.4,4.2
40.024,27.032,303.4,2,1.4,2017-04-19,1049,Aqua,MODIS,31,6.1,291.6,5.9
40.384,26.551,330.3,1,1,2017-07-08,0909,Terra,MODIS,80,6.1,300.5,21
40.154,26.419,323.8,1.5,1.2,2017-08-21,0934,Terra,MODIS,59,6.1,301.3,17.5
41.069,27.098,310.5,1.8,1.3,2017-04-02,1145,Aqua,MODIS,61,6.1,298.8,11.1
40.93,27.016,323.1,1,1,2017-09-17,0915,Terra,MODIS,69,6.1,308.9,9.4
40.976,26.435,321.8,1,1,2017-09-06,1113,Aqua,MODIS,34,6.1,308,5.8
38.962,26.938,349.4,2.1,1.4,2017-06-25,0940,Terra,MODIS,82,6.1,306,133
38.952,26.95,351.6,1,1,2017-06-25,1119,Aqua,MODIS,72,6.1,313.8,44
38.961,26.948,352,1,1,2017-06-25,1119,Aqua,MODIS,95,6.1,316.1,45.8
39.202,26.8,320.9,1.4,1.2,2017-09-15,0928,Terra,MODIS,64,6.1,303,15.6
38.951,26.939,302.9,1.1,1,2017-09-19,2008,Terra,MODIS,52,6.1,291.3,5.4
38.803,26.939,302.2,1,1,2017-03-18,0909,Terra,MODIS,29,6.1,289.8,4
38.738,26.945,318.7,1.2,1.1,2017-05-03,0922,Terra,MODIS,62,6.1,303.5,10.4
38.738,26.951,302.3,1,1,2017-05-12,2020,Terra,MODIS,48,6.1,291.3,4.6
38.741,26.953,302.1,1.1,1,2017-05-15,0021,Aqua,MODIS,47,6.1,291.8,6.1
38.735,26.948,323.7,1.2,1.1,2017-06-20,0922,Terra,MODIS,44,6.1,308.5,12.2
38.739,26.943,307.4,1.1,1.1,2017-06-20,2026,Terra,MODIS,71,6.1,293.3,8.7
38.738,26.951,328.8,1,1,2017-06-22,0909,Terra,MODIS,70,6.1,311.5,11.9
38.738,26.953,303.6,1.1,1,2017-07-18,0021,Aqua,MODIS,56,6.1,292.3,5.3
38.736,26.951,305.8,1,1,2017-08-21,0009,Aqua,MODIS,66,6.1,294.2,6.5
38.74,26.95,309.5,1,1,2017-09-13,0015,Aqua,MODIS,77,6.1,294.6,9.4
38.739,26.943,306.3,1,1,2017-09-26,2014,Terra,MODIS,67,6.1,291,7.6
40.916,26.261,308.3,1.9,1.3,2017-03-22,0844,Terra,MODIS,62,6.1,293,13.8
40.825,26.261,312.3,1.1,1,2017-03-30,1114,Aqua,MODIS,58,6.1,298.5,6.8
40.985,26.432,327.3,1,1,2017-09-06,1113,Aqua,MODIS,78,6.1,309.7,12.6
40.19,26.513,310.2,2.2,1.5,2017-02-24,0946,Terra,MODIS,40,6.1,286.7,26.9
39.784,26.422,307.3,1.8,1.3,2017-03-21,0940,Terra,MODIS,64,6.1,296,10.3
39.786,26.416,305.7,1.8,1.3,2017-03-22,0845,Terra,MODIS,59,6.1,293.8,10.4
39.864,26.2,336.4,1,1,2017-07-02,1125,Aqua,MODIS,80,6.1,320.1,14.2
40.184,26.317,327.4,1,1,2017-07-02,1126,Aqua,MODIS,57,6.1,313.6,8.3
39.807,26.431,332.4,1,1,2017-07-11,1119,Aqua,MODIS,80,6.1,315.7,14.4
40.787,26.576,329.2,1.4,1.2,2017-08-07,1101,Aqua,MODIS,65,6.1,307.9,19
40.894,26.417,323.1,1,1,2017-09-10,0909,Terra,MODIS,71,6.1,306.6,7.5
38.608,26.833,331.2,1.2,1.1,2017-06-27,1107,Aqua,MODIS,60,6.1,311.4,16.1
38.436,26.526,335.4,1,1,2017-08-19,0021,Aqua,MODIS,100,6.1,299.4,37
38.154,26.838,347,1.2,1.1,2017-09-24,0922,Terra,MODIS,0,6.1,299.6,65.9
41.885,26.554,318.5,1,1,2017-08-16,0915,Terra,MODIS,38,6.1,300.8,6.3
