latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
36.706,39.304,310.6,1.3,1.1,2017-11-10,1015,Aqua,MODIS,61,6.0NRT,297,9.5,D
36.75,39.467,329.7,1.3,1.1,2017-11-13,1045,Aqua,MODIS,84,6.0NRT,298.9,33.3,D
36.747,39.399,312.1,1,1,2017-11-14,0815,Terra,MODIS,65,6.0NRT,295.3,7.9,D
36.746,39.451,307.6,2.4,1.5,2017-11-18,1105,Aqua,MODIS,44,6.0NRT,285.5,27,D
36.76,38.798,304.4,1.2,1.1,2017-12-21,0830,Terra,MODIS,59,6.0NRT,285.8,6.9,D
36.704,39.085,314.5,1,1,2017-12-26,1025,Aqua,MODIS,74,6.0NRT,292.9,12.2,D
37.25,40.179,336.4,1,1,2017-10-07,1025,Aqua,MODIS,85,6.0NRT,306.8,26.2,D
37.085,40.192,327.1,1,1,2017-10-14,1035,Aqua,MODIS,64,6.0NRT,306.3,17.3,D
37.084,40.181,327.7,1,1,2017-10-14,1035,Aqua,MODIS,74,6.0NRT,307.4,17,D
37.263,40.043,301.1,3.2,1.7,2017-12-01,0855,Terra,MODIS,44,6.0NRT,290.2,20.1,D
37.068,40.249,307.5,1,1,2017-12-01,1035,Aqua,MODIS,63,6.0NRT,291.6,7.3,D
37.067,40.238,313.3,1,1,2017-12-01,1035,Aqua,MODIS,72,6.0NRT,292.5,11.7,D
37.094,40.232,302,1,1,2017-12-01,1035,Aqua,MODIS,43,6.0NRT,290.9,4.1,D
37.209,40.158,318.2,1.2,1.1,2017-12-02,0800,Terra,MODIS,78,6.0NRT,292.1,18.6,D
37.189,39.993,301.5,1.2,1.1,2017-12-02,0800,Terra,MODIS,47,6.0NRT,290.4,4.7,D
37.188,40.006,319.4,1.2,1.1,2017-12-02,0800,Terra,MODIS,79,6.0NRT,292.4,21.4,D
37.088,40.048,333.1,1.1,1,2017-12-03,1020,Aqua,MODIS,87,6.0NRT,296.6,32.7,D
37.155,40.116,320.1,1,1,2017-12-03,1020,Aqua,MODIS,78,6.0NRT,296.8,15.1,D
