latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
49.821,23.646,325.5,1,1,2017-03-05,1122,Aqua,MODIS,0,6.1,273.3,25.3
49.85,23.626,304.6,1.2,1.1,2017-04-01,0919,Terra,MODIS,56,6.1,285,5.8
49.783,23.552,303.6,1.2,1.1,2017-04-01,1104,Aqua,MODIS,51,6.1,288.2,4.2
49.85,23.622,327.7,1.2,1.1,2017-04-01,1104,Aqua,MODIS,85,6.1,289.3,32.6
49.772,23.39,308.5,1.5,1.2,2017-04-02,1002,Terra,MODIS,56,6.1,295.7,9.1
49.768,23.409,308.3,1.5,1.2,2017-04-02,1002,Terra,MODIS,56,6.1,295.5,9.1
49.765,23.515,352.5,1,1,2017-08-12,1122,Aqua,MODIS,96,6.1,305,57.7
49.82,23.48,319.5,1.1,1,2017-08-30,1110,Aqua,MODIS,77,6.1,297.7,15.8
49.818,23.479,314.2,1.7,1.3,2017-08-31,1153,Aqua,MODIS,56,6.1,299,15.4
48.268,22.489,301.5,3.5,1.8,2017-03-13,1033,Aqua,MODIS,47,6.1,283.6,31.6
48.294,22.467,301.4,2.6,1.5,2017-03-13,1211,Aqua,MODIS,46,6.1,280.2,19.2
48.444,22.363,304.1,1,1,2017-03-28,0944,Terra,MODIS,44,6.1,289.5,5.4
48.183,22.654,307,1,1,2017-03-28,0944,Terra,MODIS,64,6.1,292.1,5.9
48.299,22.703,319.1,1.3,1.1,2017-04-02,1147,Aqua,MODIS,73,6.1,303.7,13.7
48.327,22.459,313.4,1.7,1.3,2017-04-03,0907,Terra,MODIS,71,6.1,297.4,16.3
48.322,22.73,315.7,1.4,1.2,2017-04-10,0913,Terra,MODIS,76,6.1,298.4,14.9
48.362,22.772,320.9,1,1,2017-08-10,1134,Aqua,MODIS,54,6.1,301.1,10.9
48.445,22.451,307.8,1.8,1.3,2017-03-31,1159,Aqua,MODIS,46,6.1,292.4,11.6
48.514,22.517,315.8,1.3,1.1,2017-04-02,1147,Aqua,MODIS,70,6.1,299.6,12.1
48.327,22.463,312.2,2,1.4,2017-04-03,1052,Aqua,MODIS,65,6.1,299.1,17
49.078,23.576,300.4,1.7,1.3,2017-02-27,1946,Terra,MODIS,11,6.1,269.7,16.9
49.07,23.607,300.5,1.1,1.1,2017-03-07,1110,Aqua,MODIS,0,6.1,266.9,8.2
49.024,23.043,303,1,1,2017-03-28,0944,Terra,MODIS,51,6.1,290.4,5.1
48.914,23.084,302.3,1.1,1,2017-03-28,0944,Terra,MODIS,51,6.1,290.1,4
48.759,23.445,302.6,3,1.6,2017-03-29,1212,Aqua,MODIS,42,6.1,287.8,22.1
48.924,23.36,305.7,1.2,1.1,2017-04-01,0919,Terra,MODIS,59,6.1,288.5,7.4
48.938,23.127,304.7,1.3,1.1,2017-04-01,1104,Aqua,MODIS,43,6.1,293.4,6.4
48.919,22.862,303.8,1.5,1.2,2017-04-02,1002,Terra,MODIS,36,6.1,292.4,7.8
48.841,23.066,312.3,1.5,1.2,2017-04-02,1002,Terra,MODIS,60,6.1,295.4,15.8
48.672,23.359,304.5,1.6,1.2,2017-04-02,1002,Terra,MODIS,48,6.1,294.3,7.4
48.668,23.359,309.4,1.4,1.2,2017-04-02,1147,Aqua,MODIS,54,6.1,296.5,9.1
48.727,23.359,306.9,1.4,1.2,2017-04-02,1147,Aqua,MODIS,14,6.1,296.6,7.9
48.783,23.204,307.2,1.4,1.2,2017-04-02,1147,Aqua,MODIS,25,6.1,294.3,6.8
49.077,22.989,309.4,1.4,1.2,2017-04-02,1147,Aqua,MODIS,37,6.1,296.6,9.9
49.087,22.987,312.4,1.4,1.2,2017-04-02,1147,Aqua,MODIS,62,6.1,296,13.5
49.02,23.038,302.1,1.1,1.1,2017-04-04,0950,Terra,MODIS,34,6.1,287,5.6
