latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
47.891,38.16,302.3,1.1,1.1,2017-10-02,1010,Aqua,MODIS,42,6.0NRT,279.2,5,D
47.507,37.973,311.1,2.3,1.5,2017-10-03,0910,Terra,MODIS,69,6.0NRT,289.8,26.9,D
47.908,38.157,303.7,1.2,1.1,2017-10-04,0815,Terra,MODIS,57,6.0NRT,291.7,5.1,D
47.832,38.354,304.8,1.4,1.2,2017-10-04,1000,Aqua,MODIS,58,6.0NRT,293.8,6.6,D
47.676,37.544,311.3,1.6,1.2,2017-10-04,1000,Aqua,MODIS,70,6.0NRT,291.5,17.5,D
47.186,37.392,311.3,1.6,1.2,2017-10-03,1055,Aqua,MODIS,66,6.0NRT,294.5,14.3,D
47.269,37.215,306.4,1.3,1.1,2017-10-04,0815,Terra,MODIS,38,6.0NRT,292.3,6.5,D
47.146,36.754,312.5,1.3,1.1,2017-10-04,0815,Terra,MODIS,63,6.0NRT,294.4,12.2,D
47.403,37.486,308.3,1.6,1.2,2017-10-04,1000,Aqua,MODIS,63,6.0NRT,293.1,11.9,D
47.91,36.271,316.4,1.8,1.3,2017-10-03,0910,Terra,MODIS,76,6.0NRT,296.7,25.2,D
47.353,36.078,313,1.4,1.2,2017-10-03,1055,Aqua,MODIS,67,6.0NRT,297.8,11.9,D
47.704,35.836,308.5,1.1,1.1,2017-10-02,0830,Terra,MODIS,66,6.0NRT,292.4,7.9,D
47.683,35.946,309.7,1.4,1.2,2017-10-03,1055,Aqua,MODIS,62,6.0NRT,295,8.1,D
47.366,35.089,318.7,1.2,1.1,2017-10-02,0830,Terra,MODIS,78,6.0NRT,290.7,17.9,D
47.672,34.898,307,2.1,1.4,2017-10-04,1000,Aqua,MODIS,65,6.0NRT,290.9,18.3,D
47.099,37.598,302.3,1,1,2017-10-02,0830,Terra,MODIS,0,6.0NRT,288.6,4.4,D
47.391,37.493,302.3,1.3,1.1,2017-10-04,0815,Terra,MODIS,44,6.0NRT,290.8,4,D
47.095,37.591,312,1,1,2017-10-07,1030,Aqua,MODIS,0,6.0NRT,296.7,8,D
47.099,37.606,304.3,1,1,2017-10-18,0830,Terra,MODIS,0,6.0NRT,289,6.3,D
47.096,37.596,306,1.2,1.1,2017-10-18,1935,Terra,MODIS,67,6.0NRT,282.3,13.2,N
47.1,37.593,304.4,1.8,1.3,2017-10-31,0010,Aqua,MODIS,60,6.0NRT,275.4,26.5,N
47.1,37.593,310.9,1.4,1.2,2017-12-28,1945,Terra,MODIS,81,6.0NRT,276.7,23.7,N
47.098,37.596,307.8,1.1,1,2017-12-30,1930,Terra,MODIS,73,6.0NRT,274.9,14.7,N
45.168,35.747,316.8,1.4,1.2,2017-10-04,0815,Terra,MODIS,73,6.0NRT,299.8,15.8,D
45.171,35.707,329.2,2.3,1.5,2017-10-04,1000,Aqua,MODIS,78,6.0NRT,295.8,70.8,D
45.085,36.029,318.2,1.5,1.2,2017-10-05,0900,Terra,MODIS,78,6.0NRT,296,21.1,D
45.215,34.763,309.2,1,1,2017-11-13,1050,Aqua,MODIS,68,6.0NRT,291.1,8.3,D
46.395,34.576,349.1,1.2,1.1,2017-10-05,0900,Terra,MODIS,95,6.0NRT,282.4,77.9,D
46.301,34.612,307.1,1.2,1.1,2017-10-16,1025,Aqua,MODIS,61,6.0NRT,287,8.9,D
46.294,34.612,315.8,2.4,1.5,2017-10-17,0925,Terra,MODIS,68,6.0NRT,293.4,39.8,D
46.581,35.438,304.7,2.1,1.4,2017-10-04,1000,Aqua,MODIS,52,6.0NRT,290.7,12.9,D
46.396,34.497,314.6,1.2,1.1,2017-10-16,1025,Aqua,MODIS,75,6.0NRT,285.7,17,D
46.506,34.474,315.4,2.3,1.5,2017-10-17,0925,Terra,MODIS,73,6.0NRT,293.6,37.9,D
46.462,34.548,300.4,1.6,1.3,2017-11-02,1105,Aqua,MODIS,36,6.0NRT,284,9.2,D
46.557,34.604,301.8,1.6,1.3,2017-11-02,1105,Aqua,MODIS,49,6.0NRT,284.2,11.7,D
48.655,37.157,318.4,1.9,1.3,2017-10-03,0910,Terra,MODIS,78,6.0NRT,292.2,36.6,D
48.634,37.18,301.8,1.5,1.2,2017-10-04,1000,Aqua,MODIS,49,6.0NRT,282,8.8,D
48.867,37.201,303.1,2.1,1.4,2017-10-06,0950,Aqua,MODIS,54,6.0NRT,285.4,12.5,D
48.797,37.363,305.9,2,1.4,2017-10-10,1100,Aqua,MODIS,47,6.0NRT,286.6,19.8,D
48.476,37.478,304.6,1.1,1.1,2017-10-18,1010,Aqua,MODIS,59,6.0NRT,289.9,6.5,D
48.473,37.463,301.5,1.1,1.1,2017-10-18,1010,Aqua,MODIS,48,6.0NRT,289.9,4.4,D
48.49,37.011,301.4,1.9,1.3,2017-10-03,0910,Terra,MODIS,22,6.0NRT,288.2,5.9,D
48.673,36.934,308.2,1.4,1.2,2017-10-11,1005,Aqua,MODIS,65,6.0NRT,296.3,8.8,D
49.2,39.763,306.8,1.1,1,2017-10-04,0815,Terra,MODIS,64,6.0NRT,291.6,6.7,D
49.124,39.261,311.6,1.1,1.1,2017-10-04,0815,Terra,MODIS,71,6.0NRT,290.3,11.3,D
49.24,39.787,306.9,1.2,1.1,2017-10-04,1000,Aqua,MODIS,64,6.0NRT,294.4,6.9,D
49.653,39.083,316.4,1.1,1,2017-10-11,1005,Aqua,MODIS,77,6.0NRT,295.6,13.8,D
47.882,36.83,313.7,1.1,1,2017-10-02,0830,Terra,MODIS,69,6.0NRT,284,12.2,D
47.295,36.871,307.6,1.3,1.1,2017-10-04,0815,Terra,MODIS,65,6.0NRT,293,8.2,D
47.259,37.212,319,1.3,1.1,2017-10-04,0815,Terra,MODIS,79,6.0NRT,292.8,20.5,D
47.67,38.485,329.5,1.9,1.3,2017-10-03,1055,Aqua,MODIS,85,6.0NRT,294.4,61.7,D
49.224,39.801,328.2,1.1,1,2017-10-04,0815,Terra,MODIS,85,6.0NRT,293,28.6,D
48.727,39.671,301.1,1.1,1,2017-10-04,0815,Terra,MODIS,41,6.0NRT,290.5,3.3,D
48.725,39.686,302.4,1.1,1,2017-10-04,0815,Terra,MODIS,49,6.0NRT,292.1,4.4,D
48.862,39.666,304.3,1.2,1.1,2017-10-04,1000,Aqua,MODIS,58,6.0NRT,293.7,5.3,D
49.071,39.667,335.9,1.2,1.1,2017-10-04,1000,Aqua,MODIS,90,6.0NRT,293.7,46.2,D
