latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
50.988,0.888,308.2,1,1,2017-09-24,1243,Aqua,MODIS,67,6.1,293.6,5
50.986,0.873,328.1,1,1,2017-09-24,1243,Aqua,MODIS,85,6.1,294.5,24.6
50.867,0.11,311.8,1,1,2017-01-18,1249,Aqua,MODIS,68,6.1,274.6,15.9
51.733,0,305.6,1,1,2017-04-08,1250,Aqua,MODIS,50,6.1,294.4,4.1
50.896,-0.07,317.7,1.2,1.1,2017-08-16,1237,Aqua,MODIS,78,6.1,288.9,18.7
50.893,-0.086,324.8,1.2,1.1,2017-08-16,1237,Aqua,MODIS,83,6.1,287.8,28.5
51.964,0.377,307.6,1,1,2017-09-24,1243,Aqua,MODIS,66,6.1,288.5,6.7
51.962,0.362,320.2,1,1,2017-09-24,1243,Aqua,MODIS,80,6.1,288.6,17.5
52.692,-1.924,321.5,1.7,1.3,2017-04-09,1333,Aqua,MODIS,80,6.1,293,38.2
52.721,-2.444,316.7,1.3,1.1,2017-05-26,1103,Terra,MODIS,62,6.1,302.2,12.2
52.704,-2.591,306,1,1,2017-07-20,1256,Aqua,MODIS,56,6.1,286.1,6.4
50.866,-1.691,303.4,1.2,1.1,2017-03-26,1134,Terra,MODIS,56,6.1,286,8
51.051,-2.466,305.3,1,1,2017-03-30,1256,Aqua,MODIS,61,6.1,287.1,6.7
51.371,-2.158,305.3,1.1,1,2017-04-08,1250,Aqua,MODIS,55,6.1,295,4.1
51.437,-1.759,307.2,1,1,2017-06-09,1302,Aqua,MODIS,54,6.1,289.8,5.9
51.368,-2.104,323.7,1,1,2017-07-20,1255,Aqua,MODIS,82,6.1,294.8,19
51.639,-2.407,302.7,1,1,2017-08-10,1128,Terra,MODIS,33,6.1,289.5,3.1
51.315,-2.212,304.4,1.2,1.1,2017-08-17,1320,Aqua,MODIS,22,6.1,291,3.2
52.526,-0.024,304.6,1,1,2017-09-24,1243,Aqua,MODIS,59,6.1,285.7,5.4
51.567,-3.767,305,1,1,2017-06-03,0227,Aqua,MODIS,63,6.1,283.4,9.4
51.565,-3.771,307.7,1,1,2017-08-20,0239,Aqua,MODIS,58,6.1,284.6,11
51.566,-3.767,306.5,1,1,2017-09-14,0233,Aqua,MODIS,68,6.1,281.2,11
51.577,-3.178,305.2,1,1,2017-03-25,2202,Terra,MODIS,63,6.1,278.4,10.5
51.575,-3.193,310.8,1,1,2017-03-25,2202,Terra,MODIS,81,6.1,278.6,14.2
52.892,-3.022,301,1,1,2017-04-15,1256,Aqua,MODIS,44,6.1,286.9,5.3
50.869,-0.861,300.7,1.3,1.1,2017-03-09,1237,Aqua,MODIS,40,6.1,287.2,7
51.134,-0.817,302.3,1,1,2017-04-06,1302,Aqua,MODIS,52,6.1,289.4,4
51.546,-0.418,305.5,1.1,1,2017-04-08,1103,Terra,MODIS,49,6.1,294.4,4.1
50.828,-0.634,306.1,1,1,2017-04-08,1250,Aqua,MODIS,22,6.1,293.2,5.1
51.276,-0.881,315.1,1,1,2017-04-08,1250,Aqua,MODIS,66,6.1,295.6,10.4
51.084,-0.87,306.8,1.1,1.1,2017-05-06,1128,Terra,MODIS,51,6.1,289,6.7
51.739,-0.845,307,1,1,2017-07-18,1122,Terra,MODIS,58,6.1,289.9,3.5
51.356,-0.475,301.9,1,1,2017-09-22,1110,Terra,MODIS,50,6.1,290.4,3.9
51.574,-3.771,315.9,1.1,1,2017-01-03,0221,Aqua,MODIS,92,6.1,273.1,21.6
51.573,-3.77,301.1,1.2,1.1,2017-03-17,0215,Aqua,MODIS,31,6.1,277.1,10.4
51.574,-3.771,301.4,1.1,1,2017-04-08,2215,Terra,MODIS,35,6.1,284.2,7.2
51.58,-3.773,302.4,1,1,2017-04-11,1134,Terra,MODIS,30,6.1,277.8,5.9
51.575,-3.773,305.2,1.1,1,2017-09-13,1116,Terra,MODIS,43,6.1,287.4,7.6
51.573,-3.778,305.8,1,1,2017-01-10,0227,Aqua,MODIS,66,6.1,276,11
51.579,-3.774,300.3,1,1,2017-05-25,0233,Aqua,MODIS,23,6.1,286.3,5.5
51.572,-3.778,328.1,1.3,1.1,2017-06-12,1146,Terra,MODIS,65,6.1,293.6,33.6
51.576,-3.774,308.5,1.4,1.2,2017-08-25,0258,Aqua,MODIS,75,6.1,284.1,18.9
51.575,-3.775,310.1,1.1,1,2017-08-28,1116,Terra,MODIS,23,6.1,289.9,7.6
51.577,-3.78,301.2,1.4,1.2,2017-09-18,0209,Aqua,MODIS,28,6.1,280.8,11.2
52.796,-1.135,301.7,1,1,2017-03-23,1250,Aqua,MODIS,42,6.1,282.8,6.5
52.75,-1.494,308.4,1,1,2017-04-08,1250,Aqua,MODIS,65,6.1,294.9,6.8
52.049,-1.146,308.9,1,1,2017-05-26,1250,Aqua,MODIS,30,6.1,298.1,4.2
52.695,0.154,320.7,1.4,1.2,2017-08-18,1225,Aqua,MODIS,80,6.1,293.8,26.7
52.318,0.309,318.1,1,1,2017-09-24,1243,Aqua,MODIS,78,6.1,291.3,14.5
52.315,0.231,307.8,1,1,2017-09-24,1243,Aqua,MODIS,66,6.1,293,6.9
52.313,0.216,327.7,1,1,2017-09-24,1243,Aqua,MODIS,85,6.1,292.5,26.3
51.31,1.35,307.6,1,1,2017-03-16,1243,Aqua,MODIS,47,6.1,288.8,7.8
51.308,1.335,301.7,1,1,2017-03-16,1243,Aqua,MODIS,48,6.1,288.6,4.3
51.315,0.915,306.1,1,1,2017-03-16,1243,Aqua,MODIS,63,6.1,289.6,6.6
51.313,0.901,306.5,1,1,2017-03-16,1243,Aqua,MODIS,64,6.1,290,6.9
51.391,0.862,320.7,1,1,2017-03-16,1244,Aqua,MODIS,80,6.1,291.1,18.6
51.348,1.365,318.6,1,1,2017-07-22,1243,Aqua,MODIS,70,6.1,296.4,11.9
51.351,0.759,311.8,1,1,2017-09-24,1243,Aqua,MODIS,68,6.1,291.3,8.2
51.562,-3.765,316.1,1.7,1.3,2017-05-25,1159,Terra,MODIS,0,6.1,300.5,20.2
51.561,-3.764,314,1,1,2017-07-25,1314,Aqua,MODIS,0,6.1,297.6,7.9
51.003,-1.397,308.6,1.1,1,2017-04-08,1250,Aqua,MODIS,66,6.1,293.3,7.4
51.103,-1.526,306.9,1.1,1,2017-04-08,1250,Aqua,MODIS,62,6.1,295.4,5.9
51.101,-1.541,312.7,1.1,1,2017-04-08,1250,Aqua,MODIS,71,6.1,296.4,10.6
51.86,-1.202,312.9,1,1,2017-04-08,1250,Aqua,MODIS,70,6.1,295.3,9.5
50.828,-1.204,312.4,1.1,1,2017-05-10,1249,Aqua,MODIS,67,6.1,297.3,8.3
51.506,-1.285,304,1,1,2017-08-28,1116,Terra,MODIS,45,6.1,282.4,3.5
51.51,-1.28,302.5,1.7,1.3,2017-08-28,0150,Aqua,MODIS,49,6.1,284.5,16.4
51.658,-3.546,325.6,1.3,1.1,2017-03-26,0209,Aqua,MODIS,100,6.1,275.5,42.3
52.328,-3.285,302.7,1.2,1.1,2017-03-26,1321,Aqua,MODIS,53,6.1,285.9,6.4
52.33,-3.291,305.7,1.2,1.1,2017-03-26,1321,Aqua,MODIS,62,6.1,286.1,9
51.656,-3.511,305.7,1.7,1.3,2017-04-07,1158,Terra,MODIS,62,6.1,289.4,14.2
51.659,-3.515,305.1,1.7,1.3,2017-04-07,1158,Terra,MODIS,57,6.1,289.8,12.9
51.835,-3.413,327.2,1.3,1.1,2017-04-08,1103,Terra,MODIS,85,6.1,291.9,35.5
51.834,-3.394,307.4,1.3,1.1,2017-04-08,1103,Terra,MODIS,25,6.1,289.5,8.5
51.815,-3.419,311.1,1.3,1.1,2017-04-08,1103,Terra,MODIS,62,6.1,292.9,12.7
51.535,-3.379,308.7,1.1,1,2017-05-08,1116,Terra,MODIS,60,6.1,296.2,6.9
51.571,-3.763,301.2,1,1,2017-01-10,0227,Aqua,MODIS,39,6.1,276.8,8.4
51.564,-3.762,310.3,1.4,1.2,2017-04-08,1103,Terra,MODIS,0,6.1,296,12.1
51.567,-3.762,303.4,1.1,1,2017-04-25,0221,Aqua,MODIS,40,6.1,277.2,10.5
51.566,-3.762,306.7,1.3,1.1,2017-05-14,0252,Aqua,MODIS,69,6.1,283.3,15.7
51.569,-3.76,312,1.3,1.1,2017-06-12,1146,Terra,MODIS,12,6.1,293.3,12.6
51.567,-3.76,318.4,1.9,1.3,2017-06-13,1051,Terra,MODIS,0,6.1,292,34.6
51.568,-3.763,301.7,1.4,1.2,2017-06-14,0209,Aqua,MODIS,44,6.1,282.9,11.2
51.57,-3.762,300.4,2,1.4,2017-07-22,0310,Aqua,MODIS,27,6.1,283,19.2
51.57,-3.763,306.4,1,1,2017-08-13,0233,Aqua,MODIS,68,6.1,283.9,10.2
51.564,-3.763,313.8,1.1,1,2017-08-28,1116,Terra,MODIS,0,6.1,290.7,10.7
51.568,-3.765,302.5,1,1,2017-03-26,1134,Terra,MODIS,0,6.1,282.3,6
51.572,-3.765,305.2,1.4,1.2,2017-03-31,1152,Terra,MODIS,46,6.1,286.7,10.7
51.568,-3.766,304.4,1,1,2017-06-14,1134,Terra,MODIS,0,6.1,278,6.2
51.575,-3.765,315.1,1.4,1.2,2017-06-19,1152,Terra,MODIS,41,6.1,301.1,13.5
51.565,-3.764,317,1.4,1.2,2017-06-20,1243,Aqua,MODIS,18,6.1,300.3,14.3
51.57,-3.765,300.6,1.9,1.3,2017-07-02,0156,Aqua,MODIS,31,6.1,285.3,16.8
51.568,-3.766,300.6,1.6,1.3,2017-07-18,2233,Terra,MODIS,31,6.1,288.7,8.9
51.568,-3.764,308.1,1.6,1.2,2017-08-10,0203,Aqua,MODIS,73,6.1,284.1,21.6
51.564,-3.765,302.6,1.1,1,2017-09-02,1320,Aqua,MODIS,0,6.1,281.4,6
51.571,-3.768,300.7,1.2,1.1,2017-05-07,2144,Terra,MODIS,32,6.1,283.1,9.5
51.57,-3.767,315.5,1.1,1,2017-05-11,0221,Aqua,MODIS,91,6.1,283.9,18.7
51.571,-3.768,310.7,1,1,2017-05-18,0227,Aqua,MODIS,81,6.1,281.4,13.5
51.573,-3.768,307.8,1.5,1.2,2017-07-08,0258,Aqua,MODIS,73,6.1,285.7,18.3
51.57,-3.769,310.8,1.3,1.1,2017-08-31,1147,Terra,MODIS,35,6.1,293.4,11.3
51.562,-3.767,300.2,1.2,1.1,2017-01-28,1326,Aqua,MODIS,0,6.1,282,9.1
51.569,-3.769,310.7,1.1,1,2017-04-06,1116,Terra,MODIS,53,6.1,292.1,10.4
51.563,-3.767,306.3,1.4,1.2,2017-05-24,2227,Terra,MODIS,48,6.1,286.9,13.3
51.569,-3.769,314.9,1,1,2017-07-02,1308,Aqua,MODIS,0,6.1,301.8,9.2
51.565,-3.768,315.8,1,1,2017-08-01,1134,Terra,MODIS,58,6.1,295.3,11.5
51.567,-3.769,319.3,1,1,2017-09-02,1135,Terra,MODIS,54,6.1,295.8,15.1
51.563,-3.767,301.5,1,1,2017-09-29,1302,Aqua,MODIS,0,6.1,282.8,6.6
50.644,-3.38,307,1,1,2017-04-06,1302,Aqua,MODIS,62,6.1,288.8,6.9
51.647,-3.648,302.5,1.1,1,2017-03-26,1321,Aqua,MODIS,53,6.1,287.2,6.5
51.694,-3.999,306.9,1,1,2017-04-06,1302,Aqua,MODIS,49,6.1,289.6,6.5
