latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
56.006,-3.667,308.4,1.4,1.2,2017-12-27,1105,Terra,MODIS,51,6.0NRT,272,21.8,D
51.572,-3.773,303.8,1.2,1.1,2017-10-08,1110,Terra,MODIS,36,6.0NRT,290.8,6.1,D
51.568,-3.764,304.2,1.1,1,2017-10-08,1255,Aqua,MODIS,0,6.0NRT,290,6.3,D
51.565,-3.767,300.1,1.4,1.2,2017-10-15,2225,Terra,MODIS,17,6.0NRT,283.8,11.4,N
51.567,-3.764,303.5,1.1,1.1,2017-10-27,1140,Terra,MODIS,0,6.0NRT,289.2,7.9,D
51.574,-3.772,302,1,1,2017-11-01,0230,Aqua,MODIS,46,6.0NRT,277.7,8.9,N
51.566,-3.767,305.1,1.4,1.2,2017-11-05,0205,Aqua,MODIS,63,6.0NRT,278.3,17,N
51.566,-3.763,300.2,1.1,1.1,2017-11-12,1140,Terra,MODIS,0,6.0NRT,280.7,8.5,D
51.571,-3.766,311.1,1,1,2017-11-17,0230,Aqua,MODIS,73,6.0NRT,269.7,15.5,N
51.574,-3.773,304.2,1.2,1.1,2017-11-25,1110,Terra,MODIS,44,6.0NRT,279.2,12.3,D
51.564,-3.766,305.8,1.1,1,2017-11-25,1255,Aqua,MODIS,0,6.0NRT,278.8,12,D
51.572,-3.763,300.4,1,1,2017-11-26,0225,Aqua,MODIS,26,6.0NRT,275.5,8.7,N
51.566,-3.766,317.3,1.2,1.1,2017-12-14,0215,Aqua,MODIS,95,6.0NRT,277.1,25.2,N
51.567,-3.765,300.6,1,1,2017-12-15,2155,Terra,MODIS,31,6.0NRT,274.4,9.3,N
51.57,-3.767,300,1.1,1,2017-12-18,1115,Terra,MODIS,13,6.0NRT,279,7.7,D
57.296,-2.135,301.6,1.1,1.1,2017-11-16,1110,Terra,MODIS,48,6.0NRT,276.8,10.5,D
56.695,-3.464,302.7,1.1,1.1,2017-12-28,1150,Terra,MODIS,53,6.0NRT,272.5,12.6,D
54.404,-1.059,300.6,1,1,2017-10-08,1255,Aqua,MODIS,39,6.0NRT,286,5.5,D
53.571,-0.591,303.5,1.3,1.1,2017-10-14,0245,Aqua,MODIS,55,6.0NRT,283.3,11.5,N
53.563,-0.603,306,1.1,1,2017-10-15,1300,Aqua,MODIS,63,6.0NRT,289.7,6.9,D
54.371,-0.716,309.3,1.1,1,2017-10-15,1300,Aqua,MODIS,68,6.0NRT,288.3,10.3,D
54.361,-0.797,303.1,1.1,1,2017-10-15,1300,Aqua,MODIS,41,6.0NRT,287,6.2,D
53.568,-0.585,300.8,1.1,1.1,2017-10-20,0205,Aqua,MODIS,34,6.0NRT,283.1,8.4,N
53.566,-0.592,300.9,1.1,1,2017-10-29,1125,Terra,MODIS,41,6.0NRT,283.6,7.1,D
53.569,-0.601,303.3,1.1,1.1,2017-11-01,2130,Terra,MODIS,54,6.0NRT,278.6,11.4,N
53.565,-0.598,311.8,1.2,1.1,2017-11-05,1130,Terra,MODIS,72,6.0NRT,280.9,16.6,D
53.565,-0.597,318,1,1,2017-11-06,2150,Terra,MODIS,96,6.0NRT,274.5,20.8,N
54.406,-1.042,304.4,1.3,1.1,2017-11-11,1055,Terra,MODIS,59,6.0NRT,277.4,15.5,D
53.569,-0.593,302.8,1,1,2017-11-26,0225,Aqua,MODIS,51,6.0NRT,273.7,10.5,N
53.566,-0.606,301.2,1.1,1,2017-12-02,1300,Aqua,MODIS,43,6.0NRT,278.5,8.8,D
53.572,-0.589,305.1,1.1,1,2017-12-03,0230,Aqua,MODIS,63,6.0NRT,275.7,12.2,N
53.563,-0.6,301,1.1,1.1,2017-12-04,1100,Terra,MODIS,38,6.0NRT,277.2,9.5,D
53.566,-0.599,305.3,1,1,2017-12-04,1250,Aqua,MODIS,53,6.0NRT,280.2,10.3,D
53.568,-0.598,301.5,1.3,1.1,2017-12-16,0200,Aqua,MODIS,41,6.0NRT,271.1,13.9,N
53.571,-0.592,301.5,1,1,2017-12-28,0225,Aqua,MODIS,42,6.0NRT,271.9,10.3,N
54.358,-1.883,301.8,1.1,1.1,2017-10-08,1105,Terra,MODIS,49,6.0NRT,284.2,7,D
54.353,-1.875,303.5,1,1,2017-10-08,1255,Aqua,MODIS,56,6.0NRT,286.4,6.5,D
53.437,-1.666,303.6,1,1,2017-10-15,1115,Terra,MODIS,57,6.0NRT,287.2,6.8,D
56.102,-3.314,300.5,1.7,1.3,2017-10-29,0200,Aqua,MODIS,29,6.0NRT,276.7,18.7,N
54.883,-2.157,302.9,1,1,2017-10-29,1125,Terra,MODIS,54,6.0NRT,277.1,9.2,D
56.098,-3.315,305.7,1.1,1.1,2017-10-29,1315,Aqua,MODIS,62,6.0NRT,276.6,12.4,D
56.103,-3.304,300.8,2.4,1.5,2017-10-29,2100,Terra,MODIS,33,6.0NRT,272.4,32.8,N
56.098,-3.306,302,2.4,1.5,2017-10-29,2100,Terra,MODIS,46,6.0NRT,272.6,35.3,N
56.099,-3.305,320.1,1,1,2017-10-30,0240,Aqua,MODIS,100,6.0NRT,273.1,24.3,N
54.819,-1.882,304.2,1.3,1.1,2017-11-02,1100,Terra,MODIS,58,6.0NRT,280.1,12.2,D
54.821,-1.888,301,1.3,1.1,2017-11-02,1100,Terra,MODIS,43,6.0NRT,280.5,9.6,D
54.796,-1.921,301.5,1,1,2017-11-05,1130,Terra,MODIS,47,6.0NRT,278.3,8.7,D
53.033,-2.372,303.1,1.1,1,2017-11-05,1130,Terra,MODIS,52,6.0NRT,280.7,8.7,D
54.217,-1.802,312,1.2,1.1,2017-11-12,1140,Terra,MODIS,72,6.0NRT,276.9,19.1,D
53.401,-1.382,308.3,1.2,1.1,2017-11-28,1140,Terra,MODIS,67,6.0NRT,276.1,16.5,D
53.401,-1.389,309.3,1,1,2017-11-29,2155,Terra,MODIS,77,6.0NRT,270.7,15.1,N
54.186,-1.757,305.8,1.1,1,2017-12-09,1305,Aqua,MODIS,62,6.0NRT,270.2,13.7,D
52.514,1.065,300.1,1.6,1.2,2017-10-05,1035,Terra,MODIS,29,6.0NRT,285,9.8,D
52.875,-0.596,304.6,1,1,2017-10-06,1120,Terra,MODIS,59,6.0NRT,286.8,7.2,D
51.967,-2.677,301.1,1.1,1.1,2017-10-17,1245,Aqua,MODIS,27,6.0NRT,290.3,5.3,D
52.492,-1.947,311.9,1.5,1.2,2017-12-28,2125,Terra,MODIS,83,6.0NRT,270.7,31.1,N
