date,country,occurrences
2017-01-21,Albania,2
2017-02-22,Albania,2
2017-03-16,Albania,1
2017-03-21,Albania,3
2017-04-02,Albania,12
2017-04-26,Albania,2
2017-07-04,Albania,2
2017-07-15,Albania,20
2017-07-22,Albania,11
2017-07-25,Albania,16
2017-07-27,Albania,1
2017-07-30,Albania,10
2017-07-31,Albania,12
2017-08-01,Albania,25
2017-08-03,Albania,30
2017-08-04,Albania,32
2017-08-05,Albania,42
2017-08-06,Albania,46
2017-08-08,Albania,62
2017-08-10,Albania,90
2017-08-11,Albania,58
2017-08-18,Albania,11
2017-08-20,Albania,30
2017-08-25,Albania,53
2017-08-26,Albania,99
2017-08-28,Albania,90
2017-08-29,Albania,14
2017-08-30,Albania,21
2017-09-02,Albania,51
2017-09-18,Albania,2
2017-03-05,Albania,2
2017-03-17,Albania,6
2017-06-29,Albania,2
2017-07-07,Albania,5
2017-07-11,Albania,20
2017-07-20,Albania,3
2017-07-21,Albania,6
2017-07-24,Albania,6
2017-08-02,Albania,16
2017-08-07,Albania,51
2017-08-27,Albania,67
2017-09-07,Albania,7
2017-07-12,Albania,17
2017-08-19,Albania,14
2017-08-24,Albania,45
2017-09-30,Albania,3
2017-08-09,Albania,53
2017-08-12,Albania,41
2017-08-13,Albania,4
2017-08-14,Albania,9
2017-09-17,Albania,3
2017-06-30,Albania,2
2017-07-02,Albania,4
2017-07-13,Albania,24
2017-07-14,Albania,20
2017-09-06,Albania,3
2017-09-19,Albania,4
2017-09-28,Albania,2
2017-08-22,Albania,29
2017-08-23,Albania,29
2017-08-31,Albania,48
2017-09-01,Albania,39
2017-05-06,Albania,1
2017-07-05,Albania,4
2017-07-17,Albania,2
2017-07-18,Albania,13
2017-08-21,Albania,13
2017-08-17,Albania,13
2017-02-11,Albania,2
2017-08-15,Albania,5
2017-02-16,Albania,1
2017-09-11,Albania,4
2017-02-15,Albania,3
2017-07-06,Albania,1
2017-07-23,Albania,15
2017-07-28,Albania,2
2017-03-31,Albania,5
2017-06-05,Albania,2
2017-06-23,Albania,1
2017-02-10,Albania,2
2017-04-08,Albania,1
2017-04-15,Albania,2
2017-01-26,Albania,1
2017-03-28,Albania,1
2017-03-30,Albania,9
2017-06-21,Albania,1
2017-04-01,Albania,1
2017-03-04,Albania,3
2017-07-08,Albania,3
2017-06-27,Albania,1
2017-03-23,Albania,2
2017-07-16,Albania,4
2017-03-24,Albania,6
2017-03-29,Albania,1
2017-06-25,Albania,1
2017-02-27,Albania,1
2017-03-22,Albania,2
2017-07-29,Albania,5
2017-08-16,Albania,10
2017-07-19,Albania,4
2017-04-27,Albania,2
2017-05-14,Albania,2
2017-02-24,Albania,4
2017-02-23,Albania,2
2017-04-18,Albania,1
2017-09-22,Albania,2
2017-09-29,Albania,2
2017-02-17,Albania,2
2017-02-06,Albania,1
2017-07-09,Albania,1
2017-09-24,Albania,1
2017-01-28,Albania,1
2017-09-23,Albania,2
2017-09-16,Albania,1
2017-10-01,Albania,1
2017-10-03,Albania,3
2017-10-04,Albania,1
2017-10-05,Albania,2
2017-10-09,Albania,2
2017-10-10,Albania,2
2017-10-13,Albania,2
2017-10-14,Albania,1
2017-10-15,Albania,8
2017-10-16,Albania,1
2017-10-17,Albania,3
2017-10-18,Albania,2
2017-11-25,Albania,1
2017-10-20,Albania,2
2017-10-22,Albania,2
2017-11-05,Albania,2
2017-10-02,Albania,1
2017-06-11,Andorra,2
