id	name	total_occurrences	area_occurrences	bright_ti4_high	bright_ti4_avg
ALB	Albania	1642	0.057117	407.500000	322.378806
198	Andorra	2	0.004274	314.400000	314.150000
ARM	Armenia	400	0.013449	448.100000	322.209750
AUT	Austria	564	0.006726	342.700000	313.720745
AZE	Azerbaijan	1743	0.020127	479.000000	322.062593
BLR	Belarus	1206	0.005809	365.000000	309.679602
BEL	Belgium	525	0.017207	363.600000	311.254286
BIH	Bosnia and Herzegovina	2001	0.039136	451.700000	320.101899
BGR	Bulgaria	2934	0.026434	407.400000	318.912202
HRV	Croatia	1419	0.025073	415.600000	321.515927
CYP	Cyprus	27	0.002919	377.600000	325.062963
CZE	Czech Republic	199	0.002523	353.600000	311.434673
DNK	Denmark	47	0.001056	408.300000	316.938298
EST	Estonia	11	0.000243	305.200000	302.563636
FIN	Finland	119	0.000352	341.100000	307.858824
FRA	France	2772	0.004306	500.500000	315.863492
GEO	Georgia	915	0.013128	431.400000	318.956940
DEU	Germany	2013	0.005636	383.200000	309.519722
GRC	Greece	1505	0.011407	479.400000	322.353488
HUN	Hungary	326	0.003504	374.200000	312.434356
ISL	Iceland	4	0.000039	326.900000	319.675000
IRL	Ireland	165	0.002348	395.100000	313.304242
ITA	Italy	8507	0.028233	475.000000	322.426084
KAZ	Kazakhstan	72144	0.026476	504.800000	330.224659
OSA	Kosovo	186	0.017052	350.800000	317.906452
LVA	Latvia	30	0.000464	331.500000	307.166667
LTU	Lithuania	25	0.000383	331.000000	309.840000
LUX	Luxembourg	64	0.024749	328.200000	309.970313
MKD	Macedonia	814	0.031657	429.000000	319.562776
173	Malta	7	0.022152	333.900000	319.214286
MDA	Moldova	732	0.021627	396.900000	319.295902
MNE	Montenegro	1345	0.097379	436.900000	318.997844
NLD	Netherlands	231	0.005607	376.200000	310.451082
NOR	Norway	85	0.000221	333.400000	309.885882
POL	Poland	466	0.001490	354.100000	309.379828
PRT	Portugal	6592	0.071990	500.000000	336.250834
ROU	Romania	4805	0.020156	433.800000	316.386181
RUS	Russia	227597	0.013311	506.000000	322.669238
SRB	Serbia	1737	0.022427	412.300000	315.518768
SVK	Slovakia	299	0.006098	328.300000	308.919064
SVN	Slovenia	68	0.003354	433.800000	320.380882
ESP	Spain	5113	0.010105	500.000000	322.127792
SWE	Sweden	184	0.000409	403.400000	313.854348
CHE	Switzerland	72	0.001744	320.300000	307.286111
TUR	Turkey	9532	0.012165	435.200000	321.944041
UKR	Ukraine	34779	0.057617	500.000000	319.645683
GBR	United Kingdom	598	0.002443	393.400000	309.313378
