latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
40.13789,19.7923,351.1,0.56,0.69,2017-08-29,1237,N,VIIRS,n,1,295.9,11,
40.50792,19.73647,325.3,0.68,0.74,2017-03-29,1025,N,VIIRS,n,1,291.1,6.4,
40.42599,19.87823,324.2,0.47,0.64,2017-06-30,2340,N,VIIRS,n,1,298.9,4.9,
40.38569,19.78263,344.3,0.34,0.56,2017-07-23,1050,N,VIIRS,n,1,304.4,4.4,
40.59773,20.35722,306.9,0.35,0.56,2017-08-02,0120,N,VIIRS,n,1,291.8,0.9,
40.56317,20.08361,351.8,0.57,0.43,2017-08-07,1109,N,VIIRS,n,1,311.1,23.4,
40.56965,20.09453,335.8,0.57,0.43,2017-08-07,1109,N,VIIRS,l,1,310.2,7.2,
40.30236,19.44221,353.5,0.58,0.52,2017-08-29,1057,N,VIIRS,n,1,300.2,18.6,
40.10155,20.00616,337.7,0.53,0.5,2017-07-08,1211,N,VIIRS,n,1,304.3,20.1,
40.11258,19.81696,305,0.34,0.56,2017-08-18,0120,N,VIIRS,n,1,292.8,1.2,
40.11597,19.83009,303.4,0.57,0.69,2017-08-28,2334,N,VIIRS,n,1,288.5,1,
40.10311,19.82532,336.8,0.57,0.69,2017-08-28,2334,N,VIIRS,n,1,291.7,11.5,
39.79353,20.21496,335.8,0.45,0.47,2017-07-19,1205,N,VIIRS,n,1,305.2,4.8,
39.91665,20.2198,348.6,0.48,0.4,2017-08-10,1153,N,VIIRS,n,1,311.3,7.4,
39.95892,20.17566,340.5,0.48,0.4,2017-08-10,1153,N,VIIRS,n,1,309.3,6.8,
39.90184,20.25845,309,0.6,0.53,2017-08-11,2353,N,VIIRS,n,1,293.7,1.9,
39.9798,20.18916,306.9,0.51,0.66,2017-08-12,0133,N,VIIRS,n,1,292.3,2.6,
40.24442,19.78345,367,0.32,0.55,2017-08-11,2353,N,VIIRS,h,1,301.7,14.2,
42.2635,20.23569,337.1,0.48,0.48,2017-03-29,1206,N,VIIRS,n,1,298.1,2.8,
41.91222,19.73135,310.9,0.6,0.7,2017-03-31,0144,N,VIIRS,n,1,282.6,1.3,
41.93935,19.72295,301.2,0.56,0.52,2017-07-15,2358,N,VIIRS,n,1,279.7,2.2,
42.06459,19.57733,332.3,0.38,0.59,2017-07-18,1225,N,VIIRS,n,1,300.1,1.5,
42.14417,19.79291,334.6,0.55,0.43,2017-07-22,1109,N,VIIRS,n,1,303.5,5.5,
41.80651,20.01732,305,0.69,0.74,2017-07-22,2326,N,VIIRS,n,1,288.8,1.1,
42.15514,19.72104,306.1,0.39,0.44,2017-08-11,0011,N,VIIRS,n,1,293.9,1.8,
41.873,20.15088,344.6,0.56,0.43,2017-08-11,0011,N,VIIRS,n,1,293.3,7.1,
41.87128,20.15502,337.1,0.74,0.76,2017-08-11,0151,N,VIIRS,n,1,288.3,7.8,
42.40442,19.57325,330.7,0.38,0.36,2017-08-11,1135,N,VIIRS,l,1,301.8,12.8,
41.87171,20.10912,316.9,0.44,0.46,2017-08-22,0005,N,VIIRS,n,1,284.3,2.3,
41.85375,20.1082,341.8,0.39,0.36,2017-08-22,1128,N,VIIRS,n,1,304.2,4.4,
42.03204,19.7713,346.3,0.4,0.37,2017-08-26,0030,N,VIIRS,n,1,302.7,6.4,
41.83597,20.12058,346.4,0.5,0.41,2017-08-26,1153,N,VIIRS,n,1,309.3,6.7,
41.84604,20.12051,316.4,0.56,0.43,2017-08-27,0011,N,VIIRS,n,1,287.4,1.2,
41.81903,20.1559,334.9,0.38,0.36,2017-08-27,1135,N,VIIRS,l,1,308.9,3.9,
41.85531,20.12639,347.6,0.46,0.39,2017-08-28,1116,N,VIIRS,n,1,303.4,9.3,
41.96012,20.08833,325.3,0.48,0.4,2017-08-30,0055,N,VIIRS,n,1,286,28,
42.3522,19.46,329.9,0.39,0.36,2017-08-31,0036,N,VIIRS,n,1,293,1.9,
41.81913,20.11533,296,0.38,0.36,2017-08-31,0036,N,VIIRS,n,1,284.6,1.7,
42.06339,19.37733,331.2,0.74,0.76,2017-08-31,1020,N,VIIRS,n,1,296.5,6.9,
42.06303,19.38221,347.7,0.55,0.43,2017-08-31,1200,N,VIIRS,n,1,307.6,8,
42.07094,19.38137,354.4,0.55,0.43,2017-08-31,1200,N,VIIRS,n,1,310.5,39.9,
40.20403,19.62447,351.2,0.39,0.36,2017-07-31,1140,N,VIIRS,n,1,308.2,6.9,
40.17978,19.76848,332.4,0.52,0.5,2017-08-09,1212,N,VIIRS,n,1,300.7,2.9,
41.22382,19.51538,331.1,0.41,0.61,2017-05-18,2346,N,VIIRS,n,1,284.5,2.8,
41.39296,20.28169,346.9,0.34,0.56,2017-07-13,1218,N,VIIRS,n,1,306.9,8.1,
41.39188,20.28935,298.1,0.47,0.4,2017-07-15,0017,N,VIIRS,n,1,284,1.1,
41.24399,19.91885,335.5,0.44,0.46,2017-07-23,0107,N,VIIRS,n,1,293.5,4,
41.37119,19.44558,313.6,0.4,0.37,2017-07-25,0030,N,VIIRS,n,1,295.5,1.8,
41.3546,20.25173,332.1,0.73,0.76,2017-08-02,1244,N,VIIRS,n,1,303.1,3,
41.44988,20.32435,343,0.47,0.48,2017-08-04,1206,N,VIIRS,n,1,305.4,26.2,
41.45585,20.32619,298.7,0.42,0.37,2017-08-05,0024,N,VIIRS,n,1,287.7,1.5,
41.60211,20.33161,327.2,0.43,0.46,2017-08-06,0005,N,VIIRS,n,1,291.1,3,
41.18709,19.62972,345.8,0.39,0.44,2017-08-07,1109,N,VIIRS,n,1,306.7,3.9,
41.54105,20.33744,306.1,0.66,0.73,2017-08-07,2327,N,VIIRS,n,1,287.6,3.4,
41.18924,19.95871,331.4,0.63,0.54,2017-08-08,1050,N,VIIRS,l,1,305.2,4.1,
41.19017,19.64331,333.3,0.46,0.64,2017-08-08,1231,N,VIIRS,l,1,306.7,2.7,
41.20696,19.97096,334.3,0.48,0.65,2017-08-08,1231,N,VIIRS,l,1,305.3,2.9,
