latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
39.74974,20.13267,352,0.5,0.5,2017-10-05,1100,N,VIIRS,n,1.0NRT,302,7.1,D
41.88196,20.16947,298.7,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,284.2,1,N
41.57896,20.30729,295.8,0.5,0.5,2017-09-01,2354,N,VIIRS,n,1.0NRT,281.9,0.4,N
41.88078,20.17015,308.5,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,285.7,1,N
41.85359,19.55069,310,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,289.8,1.3,N
41.87573,20.16738,344,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,307,19.5,D
39.83351,20.04663,330.2,0.4,0.4,2017-10-04,1118,N,VIIRS,n,1.0NRT,299.7,2.9,D
40.68942,20.77063,326.1,0.4,0.4,2017-10-04,1118,N,VIIRS,n,1.0NRT,300.8,1.6,D
39.67946,20.1284,329.1,0.5,0.5,2017-10-05,1100,N,VIIRS,l,1.0NRT,301.8,2.3,D
40.74932,19.93055,340.5,0.4,0.5,2017-10-05,1100,N,VIIRS,n,1.0NRT,298,3,D
42.5547,19.68515,320.8,0.5,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,283.9,1.4,N
41.08148,19.9993,337.9,0.46,0.47,2017-12-10,1206,N,VIIRS,n,1.0NRT,280.8,4.3,D
41.41279,20.2457,298,0.6,0.7,2017-09-02,0136,N,VIIRS,n,1.0NRT,284.5,1.4,N
41.58424,20.30503,348.7,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,303.7,6.3,D
39.75641,20.21871,331.1,0.4,0.4,2017-09-17,1136,N,VIIRS,l,1.0NRT,305.5,3.3,D
41.86967,20.17397,350.4,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,318.1,18.8,D
41.89022,19.41248,333.8,0.4,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,304.5,2.2,D
41.54718,19.72446,297.1,0.4,0.4,2017-10-02,0036,N,VIIRS,n,1.0NRT,281.4,0.5,N
40.75579,20.74232,331.2,0.4,0.6,2017-09-15,1218,N,VIIRS,n,1.0NRT,301.3,11,D
39.86006,20.06049,336,0.44,0.38,2017-10-20,1118,N,VIIRS,n,1.0NRT,296.9,3.4,D
41.50218,19.74608,297.5,0.44,0.46,2017-11-28,0106,N,VIIRS,n,1.0NRT,274.8,0.5,N
40.30016,19.54188,309.8,0.4,0.4,2017-09-11,0030,N,VIIRS,n,1.0NRT,291.4,0.6,N
40.59108,19.70621,325.2,0.5,0.5,2017-10-12,1212,N,VIIRS,n,1.0NRT,298.6,2.6,D
40.74502,19.41113,332.1,0.47,0.48,2017-10-21,1100,N,VIIRS,n,1.0NRT,294.2,4.4,D
41.82524,20.26981,314.2,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,284.4,2,N
41.41561,20.25784,306.9,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,287.1,1,N
41.84638,20.16457,312,0.5,0.5,2017-09-01,2354,N,VIIRS,n,1.0NRT,284.8,9.9,N
41.86832,20.18583,297.3,0.5,0.7,2017-09-02,0136,N,VIIRS,n,1.0NRT,282,0.7,N
41.40456,20.10112,335.9,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,305,6.5,D
41.8148,20.18456,367,0.4,0.4,2017-09-02,1118,N,VIIRS,l,1.0NRT,333.9,76,D
41.85404,20.17837,334.7,0.5,0.7,2017-09-02,2336,N,VIIRS,n,1.0NRT,285.4,6,N
41.90118,20.55916,332.9,0.4,0.37,2017-11-05,1118,N,VIIRS,n,1.0NRT,286.5,2.8,D
42.06094,19.37808,315.6,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,291.5,1.6,N
41.85104,20.15376,296.9,0.5,0.7,2017-09-02,0136,N,VIIRS,n,1.0NRT,282.2,0.7,N
41.95963,20.10024,330.4,0.4,0.4,2017-09-02,1118,N,VIIRS,l,1.0NRT,303.7,1.9,D
41.85698,20.16553,313.8,0.5,0.7,2017-09-02,2336,N,VIIRS,n,1.0NRT,284.1,4.7,N
41.50276,19.74553,297.9,0.4,0.4,2017-09-05,0042,N,VIIRS,n,1.0NRT,286.5,0.9,N
41.54906,19.72171,298.8,0.4,0.4,2017-09-06,0024,N,VIIRS,n,1.0NRT,287.3,0.7,N
41.5469,19.72444,299.9,0.4,0.6,2017-10-10,0124,N,VIIRS,n,1.0NRT,282.4,0.7,N
39.93019,20.30954,342.8,0.4,0.6,2017-10-06,1042,N,VIIRS,n,1.0NRT,291.8,5.8,D
39.91642,20.00835,337,0.3,0.6,2017-10-11,1048,N,VIIRS,n,1.0NRT,297.9,3.6,D
39.89425,20.34036,327.6,0.6,0.7,2017-10-16,1236,N,VIIRS,n,1.0NRT,296.5,3.8,D
39.92245,20.10293,328.1,0.43,0.38,2017-10-20,1118,N,VIIRS,l,1.0NRT,298.5,1.7,D
40.67829,20.99091,340,0.42,0.45,2017-10-18,1200,N,VIIRS,n,1.0NRT,290.2,7.6,D
40.758,20.73975,339.4,0.4,0.5,2017-09-16,1200,N,VIIRS,n,1.0NRT,306.4,1.9,D
40.57108,20.61027,325.6,0.46,0.39,2017-10-31,1112,N,VIIRS,n,1.0NRT,287,2.5,D
41.81654,20.11952,325.6,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,288.4,2.4,N
41.41268,20.25129,298.4,0.5,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,287.1,0.9,N
41.67777,19.6117,336.7,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,301.2,3.4,D
41.88039,20.17617,342.3,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,307.5,4.6,D
41.96219,20.08128,313.9,0.5,0.7,2017-09-02,0136,N,VIIRS,n,1.0NRT,283.2,3.1,N
41.81424,20.10106,351.6,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,317,11.5,D
39.94806,19.97692,302.2,0.4,0.6,2017-09-07,2342,N,VIIRS,n,1.0NRT,285.9,0.6,N
39.89022,20.07987,345.6,0.5,0.5,2017-10-12,1212,N,VIIRS,n,1.0NRT,300.3,9.8,D
39.91724,20.31355,332.3,0.4,0.4,2017-10-14,1130,N,VIIRS,n,1.0NRT,300.2,4.2,D
42.16382,19.44875,336.3,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,305.6,3.7,D
41.96741,20.08144,354.6,0.5,0.7,2017-09-02,0136,N,VIIRS,n,1.0NRT,289.2,4.7,N
42.04494,19.45748,301.8,0.5,0.7,2017-09-02,0136,N,VIIRS,n,1.0NRT,286.4,1.2,N
41.85084,20.17143,302,0.5,0.7,2017-09-02,2336,N,VIIRS,n,1.0NRT,283.3,1.5,N
42.00296,19.43297,353.1,0.53,0.5,2017-11-01,1054,N,VIIRS,n,1.0NRT,289,11.5,D
40.28675,19.44038,342.3,0.5,0.5,2017-09-10,1212,N,VIIRS,n,1.0NRT,298.6,7.3,D
40.21519,19.50727,317.8,0.4,0.4,2017-10-13,0030,N,VIIRS,n,1.0NRT,287,2.1,N
40.09292,19.86627,345.8,0.32,0.55,2017-10-17,1218,N,VIIRS,n,1.0NRT,297,3.1,D
40.08568,20.04439,341.1,0.6,0.71,2017-10-20,0136,N,VIIRS,n,1.0NRT,282.4,7,N
