latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
39.21944,46.41916,347.4,0.55,0.43,2017-07-22,0927,N,VIIRS,n,1,314.7,17,
39.17049,46.3063,340.3,0.38,0.36,2017-08-27,0952,N,VIIRS,n,1,306.8,7.4,
39.77814,44.73537,333.5,0.45,0.39,2017-04-04,1011,N,VIIRS,n,1,299.9,4.3,
39.60429,45.35688,330.9,0.48,0.48,2017-04-12,0921,N,VIIRS,n,1,300.9,20.5,
39.65008,45.65169,349.2,0.44,0.38,2017-04-27,0939,N,VIIRS,n,1,303.7,7.4,
39.65352,45.65054,339.6,0.44,0.38,2017-04-27,0939,N,VIIRS,n,1,299.9,7.4,
39.71154,45.44296,343.3,0.7,0.75,2017-07-17,1101,N,VIIRS,n,1,296.9,14.1,
39.57226,46.10025,333.7,0.77,0.77,2017-08-31,0838,N,VIIRS,l,1,308.1,6.1,
40.19326,44.01145,330,0.39,0.37,2017-03-14,1005,N,VIIRS,n,1,299.1,2.3,
40.16438,44.19221,333.2,0.48,0.4,2017-03-26,0940,N,VIIRS,n,1,298.9,2.5,
40.15007,44.4289,328.2,0.4,0.44,2017-03-29,1024,N,VIIRS,l,1,301.3,1.6,
40.17622,44.3581,341.3,0.39,0.44,2017-03-29,1024,N,VIIRS,n,1,304.1,4.6,
40.14378,44.10964,340.1,0.4,0.37,2017-04-05,0952,N,VIIRS,n,1,303.7,1.9,
40.17228,44.42609,334.9,0.42,0.38,2017-04-16,0946,N,VIIRS,l,1,305.1,2.9,
40.14552,44.25899,333.8,0.53,0.5,2017-07-17,0921,N,VIIRS,l,1,305.6,3.1,
40.09506,44.36362,330.1,0.47,0.4,2017-03-10,0940,N,VIIRS,n,1,292,5,
40.06599,44.13877,328.1,0.57,0.43,2017-03-21,0933,N,VIIRS,n,1,297.8,3.4,
40.04428,44.34782,328.7,0.54,0.68,2017-03-23,0856,N,VIIRS,n,1,290.4,2.9,
39.9704,44.48604,331.8,0.58,0.52,2017-03-23,1036,N,VIIRS,n,1,298.5,3.8,
40.0795,44.26373,329.2,0.48,0.4,2017-03-26,0940,N,VIIRS,n,1,298.9,2.1,
40.14831,44.25113,341.2,0.43,0.38,2017-07-21,0946,N,VIIRS,l,1,313.5,11.2,
40.13255,44.71677,346.5,0.45,0.39,2017-08-10,1011,N,VIIRS,l,1,320.3,13.5,
40.01175,44.94608,302.8,0.5,0.41,2017-08-13,2314,N,VIIRS,n,1,287.2,1.6,
40.00397,44.92675,316.6,0.49,0.41,2017-08-13,2314,N,VIIRS,n,1,292.8,1.9,
39.96833,44.92965,304.2,0.49,0.41,2017-08-13,2314,N,VIIRS,n,1,293.1,1,
40.02436,44.94456,304,0.38,0.36,2017-08-14,2255,N,VIIRS,n,1,284.9,1.9,
40.001,44.91982,307.5,0.38,0.36,2017-08-14,2255,N,VIIRS,n,1,291.3,1.4,
39.86815,44.70721,330,0.51,0.49,2017-08-18,0921,N,VIIRS,l,1,302.5,3.2,
39.856,44.73616,301.1,0.57,0.43,2017-08-18,2320,N,VIIRS,n,1,290.9,0.5,
39.24472,46.44235,330.1,0.42,0.38,2017-03-26,0939,N,VIIRS,l,1,302,3.6,
40.1231,44.18115,326.3,0.39,0.44,2017-03-13,1024,N,VIIRS,n,1,284.3,2,
40.57416,44.94141,339.7,0.41,0.37,2017-05-01,1005,N,VIIRS,n,1,301.7,2.9,
40.52468,43.66599,341.4,0.39,0.44,2017-07-27,0934,N,VIIRS,l,1,313.5,7.2,
40.57072,44.74691,310.3,0.38,0.36,2017-07-29,2255,N,VIIRS,n,1,289.3,1.5,
40.35142,44.58821,355.2,0.45,0.39,2017-08-26,1012,N,VIIRS,n,1,311.1,9.1,
40.07474,44.52388,336.7,0.52,0.67,2017-03-22,1055,N,VIIRS,n,1,291.6,3.6,
40.06725,44.13704,334.2,0.4,0.37,2017-03-30,1005,N,VIIRS,n,1,305.7,3.5,
39.24385,46.43749,332.4,0.42,0.38,2017-03-26,0939,N,VIIRS,n,1,302.4,3.6,
38.94053,46.21737,335.9,0.48,0.4,2017-04-06,0933,N,VIIRS,n,1,300.5,4.3,
39.47656,45.93044,333,0.49,0.4,2017-04-06,0933,N,VIIRS,n,1,298,6.6,
39.714,45.44786,367,0.7,0.75,2017-07-17,1101,N,VIIRS,h,1,307.6,32,
38.93896,46.19765,337.7,0.49,0.4,2017-07-27,0933,N,VIIRS,l,1,309.5,2.6,
39.49419,46.32335,367,0.64,0.72,2017-08-20,0844,N,VIIRS,h,1,296.1,13.3,
39.57405,46.09024,337.3,0.77,0.78,2017-08-31,0838,N,VIIRS,l,1,308.2,7.4,
39.98487,44.93829,355.1,0.55,0.68,2017-08-13,1055,N,VIIRS,n,1,308.8,64.8,
39.972,44.93075,303.8,0.49,0.41,2017-08-13,2314,N,VIIRS,n,1,292.7,1,
41.20742,44.89981,296.6,0.43,0.38,2017-02-25,2242,N,VIIRS,n,1,276,0.8,
41.0569,45.07526,328.3,0.42,0.38,2017-03-14,1005,N,VIIRS,n,1,292.6,2.5,
41.17126,44.11618,338.4,0.4,0.37,2017-03-30,1005,N,VIIRS,l,1,309.3,43.4,
41.09953,43.78236,333.3,0.48,0.4,2017-04-27,0940,N,VIIRS,n,1,298.4,2.6,
41.20594,44.96655,334.5,0.39,0.44,2017-07-22,0927,N,VIIRS,l,1,304.8,3.4,
41.13524,45.18979,305.4,0.44,0.46,2017-07-22,2326,N,VIIRS,n,1,289.9,1.1,
41.12809,45.18148,339.4,0.32,0.55,2017-07-23,0909,N,VIIRS,n,1,304.8,5.3,
41.11883,45.17079,339.7,0.47,0.64,2017-07-23,1049,N,VIIRS,n,1,300.4,9.7,
41.12086,45.17306,340,0.47,0.64,2017-07-23,1049,N,VIIRS,n,1,301,8.6,
40,44.94297,342.8,0.59,0.53,2017-08-13,0915,N,VIIRS,n,1,309.2,10,
40.00441,44.95509,343.7,0.55,0.68,2017-08-13,1055,N,VIIRS,n,1,306.8,9.4,
40.01948,44.96569,297.5,0.5,0.41,2017-08-13,2314,N,VIIRS,n,1,286.6,1.5,
40.00165,44.93827,318,0.49,0.41,2017-08-13,2314,N,VIIRS,n,1,291.3,2.3,
40.00129,44.92077,305.3,0.49,0.41,2017-08-13,2314,N,VIIRS,n,1,292.4,1.9,
40.00756,44.98404,334.1,0.51,0.66,2017-08-14,0856,N,VIIRS,l,1,307.4,16,
40.02529,44.40279,341.8,0.4,0.44,2017-03-13,1024,N,VIIRS,n,1,287.2,6.6,
40.03091,44.94632,327.4,0.38,0.36,2017-08-14,2255,N,VIIRS,n,1,286.4,1.7,
40.68356,43.9179,331.8,0.57,0.43,2017-03-29,1024,N,VIIRS,n,1,299,4.9,
40.85032,44.16751,339.9,0.4,0.37,2017-03-30,1005,N,VIIRS,n,1,302.8,3.7,
40.77763,44.75264,299.2,0.74,0.76,2017-04-05,0009,N,VIIRS,n,1,267.4,2,
40.87899,44.39587,320.4,0.36,0.57,2017-04-21,2211,N,VIIRS,n,1,272.1,4,
40.81691,43.81191,331,0.32,0.55,2017-05-25,0915,N,VIIRS,n,1,297.3,1.7,
