latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
40.05279,45.68937,309.5,0.5,0.5,2017-09-01,2218,N,VIIRS,n,1.0NRT,285.4,2.2,N
40.37504,44.29896,367,0.4,0.6,2017-09-04,0900,N,VIIRS,n,1.0NRT,309.4,25.6,D
39.7681,44.74575,354.3,0.4,0.5,2017-09-05,1024,N,VIIRS,n,1.0NRT,312.2,5.6,D
40.47228,45.49532,296.8,0.4,0.4,2017-09-05,2242,N,VIIRS,n,1.0NRT,281.8,0.7,N
39.66431,45.85147,312.4,0.4,0.6,2017-09-07,2200,N,VIIRS,n,1.0NRT,280.9,1.3,N
39.6656,45.85425,308.4,0.5,0.6,2017-09-07,2342,N,VIIRS,n,1.0NRT,279.3,2.7,N
39.66556,45.8532,318.1,0.5,0.6,2017-09-07,2342,N,VIIRS,n,1.0NRT,279.6,2.1,N
40.41039,44.74933,305.4,0.5,0.4,2017-09-14,2312,N,VIIRS,n,1.0NRT,284.3,1.4,N
40.01665,45.36548,297,0.5,0.4,2017-09-14,2312,N,VIIRS,n,1.0NRT,280.6,1.5,N
39.60583,46.33254,339,0.4,0.6,2017-09-15,0854,N,VIIRS,n,1.0NRT,308.2,8.9,D
39.59673,46.06276,367,0.5,0.7,2017-09-15,0854,N,VIIRS,n,1.0NRT,310.2,8.5,D
39.44809,46.32153,336.9,0.4,0.5,2017-09-19,0918,N,VIIRS,n,1.0NRT,310.9,6.4,D
39.54294,45.82045,345.1,0.4,0.6,2017-09-20,0900,N,VIIRS,n,1.0NRT,306.1,5.7,D
39.55931,45.81501,341.3,0.4,0.6,2017-09-20,0900,N,VIIRS,n,1.0NRT,305.7,5.5,D
40.02527,45.21025,340.1,0.4,0.6,2017-09-20,0900,N,VIIRS,n,1.0NRT,307.4,7.6,D
39.54855,45.83134,341.6,0.4,0.6,2017-09-20,1042,N,VIIRS,n,1.0NRT,303.2,8.6,D
39.56706,45.81068,352.6,0.4,0.6,2017-09-20,1042,N,VIIRS,n,1.0NRT,305.2,14.6,D
39.97494,44.47602,333.9,0.4,0.6,2017-09-20,1042,N,VIIRS,n,1.0NRT,302.2,0.7,D
39.56656,45.85332,367,0.7,0.8,2017-09-21,0842,N,VIIRS,n,1.0NRT,299.4,21.3,D
39.46081,46.26621,353.4,0.4,0.4,2017-09-23,0942,N,VIIRS,n,1.0NRT,319.7,55.3,D
39.51355,46.18168,349.7,0.4,0.4,2017-10-08,1000,N,VIIRS,n,1.0NRT,306.2,12.6,D
40.58736,44.95233,352.3,0.4,0.6,2017-10-22,0900,N,VIIRS,n,1.0NRT,300,23.8,D
40.26382,45.06062,304.1,0.4,0.37,2017-10-22,2300,N,VIIRS,n,1.0NRT,273.3,1.1,N
40.11077,45.92258,333.3,0.39,0.36,2017-10-25,0942,N,VIIRS,n,1.0NRT,298.6,7.3,D
40.08059,45.45891,340.6,0.4,0.37,2017-10-25,0942,N,VIIRS,n,1.0NRT,296.3,20.2,D
40.0716,45.55581,310.7,0.5,0.49,2017-10-26,2324,N,VIIRS,n,1.0NRT,274.8,2,N
39.85455,44.73293,300.7,0.44,0.38,2017-10-27,2306,N,VIIRS,n,1.0NRT,283.1,0.9,N
40.14602,44.43317,304.5,0.51,0.66,2017-11-05,2154,N,VIIRS,n,1.0NRT,276.9,1.2,N
40.64202,44.75323,340.3,0.5,0.4,2017-09-02,0936,N,VIIRS,l,1.0NRT,314.9,8.8,D
40.89832,44.67492,295.7,0.5,0.7,2017-09-02,2154,N,VIIRS,n,1.0NRT,284.1,1,N
41.18411,45.11276,330.6,0.4,0.4,2017-09-07,0942,N,VIIRS,n,1.0NRT,296.9,1.7,D
41.02898,45.16977,346.8,0.6,0.4,2017-09-16,1018,N,VIIRS,n,1.0NRT,304.5,11.8,D
40.74965,44.25206,300.5,0.4,0.4,2017-09-20,2300,N,VIIRS,n,1.0NRT,280.7,1,N
40.6207,44.77017,336.7,0.7,0.8,2017-09-21,0842,N,VIIRS,n,1.0NRT,297.8,9.8,D
40.88021,44.14133,303,0.5,0.4,2017-09-21,2242,N,VIIRS,n,1.0NRT,282.2,1.5,N
40.62013,44.77711,338.8,0.4,0.4,2017-09-22,1006,N,VIIRS,n,1.0NRT,306,8.6,D
40.6244,44.75626,354.2,0.4,0.4,2017-09-22,1006,N,VIIRS,n,1.0NRT,307.1,7,D
40.70333,45.23359,334.8,0.43,0.38,2017-10-20,0936,N,VIIRS,n,1.0NRT,292.9,5.1,D
40.76023,44.40519,329.6,0.41,0.45,2017-10-23,1024,N,VIIRS,n,1.0NRT,297.3,5.6,D
40.77044,44.42512,335.5,0.41,0.45,2017-10-23,1024,N,VIIRS,n,1.0NRT,294.4,4.2,D
40.7753,44.40471,325.6,0.44,0.39,2017-10-23,2242,N,VIIRS,n,1.0NRT,274,2.6,N
40.93776,44.16032,343.2,0.4,0.37,2017-10-24,1006,N,VIIRS,n,1.0NRT,293.7,4.5,D
40.78478,44.39734,312.3,0.36,0.57,2017-10-25,2342,N,VIIRS,n,1.0NRT,277.1,2.3,N
40.7916,44.38735,333.8,0.35,0.57,2017-10-27,0906,N,VIIRS,n,1.0NRT,288.5,4.3,D
41.14236,44.08731,315.1,0.37,0.58,2017-11-15,2206,N,VIIRS,n,1.0NRT,272.1,1.7,N
40.6437,45.16546,315.2,0.38,0.36,2017-11-18,2254,N,VIIRS,n,1.0NRT,263.8,1.3,N
40.71341,45.18948,340,0.54,0.51,2017-12-19,0912,N,VIIRS,n,1.0NRT,279.8,7.9,D
40.78239,44.77734,317.5,0.48,0.4,2017-12-19,2312,N,VIIRS,n,1.0NRT,262.8,2.9,N
41.15624,45.17564,338.5,0.4,0.4,2017-09-02,0936,N,VIIRS,n,1.0NRT,307.4,27.2,D
40.76609,44.71768,334.9,0.4,0.4,2017-09-04,2300,N,VIIRS,n,1.0NRT,282.5,2.3,N
40.67266,44.69228,367,0.3,0.6,2017-09-09,0906,N,VIIRS,n,1.0NRT,316.8,11.6,D
40.74638,44.25106,311.8,0.4,0.4,2017-09-20,2300,N,VIIRS,n,1.0NRT,279.4,4,N
40.62233,44.79012,303,0.4,0.4,2017-09-20,2300,N,VIIRS,n,1.0NRT,278.4,7,N
40.60492,44.87198,296.6,0.4,0.4,2017-09-20,2300,N,VIIRS,n,1.0NRT,279.2,0.8,N
40.75323,44.24654,331.2,0.4,0.5,2017-09-21,1024,N,VIIRS,l,1.0NRT,303.1,11.3,D
40.9463,44.45446,337.7,0.4,0.5,2017-09-21,1024,N,VIIRS,n,1.0NRT,307.7,6.2,D
40.69888,45.22906,350.9,0.43,0.38,2017-10-20,0936,N,VIIRS,n,1.0NRT,297.6,12.1,D
40.58838,44.95602,367,0.4,0.6,2017-10-22,0900,N,VIIRS,l,1.0NRT,288.4,23.8,D
40.7746,44.41034,334.3,0.44,0.39,2017-10-23,2242,N,VIIRS,n,1.0NRT,275.6,8.2,N
40.75532,44.27912,345.8,0.4,0.37,2017-10-24,1006,N,VIIRS,n,1.0NRT,289,35.1,D
