latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
47.98475,16.60709,301.3,0.4,0.37,2017-04-02,0106,N,VIIRS,n,1,285.3,0.7,
47.98407,16.60551,300.7,0.38,0.44,2017-04-04,0028,N,VIIRS,n,1,280.4,0.7,
48.27372,14.33888,297.7,0.42,0.38,2017-01-02,0054,N,VIIRS,n,1,267.1,1,
48.27758,14.33587,329.6,0.55,0.68,2017-01-04,2357,N,VIIRS,n,1,266,4.4,
48.27405,14.33588,320.2,0.39,0.36,2017-01-07,0100,N,VIIRS,n,1,265.2,4.1,
48.27815,14.33883,339.1,0.49,0.65,2017-01-19,0215,N,VIIRS,n,1,269.2,10.6,
48.27388,14.3416,337.3,0.62,0.54,2017-01-20,0156,N,VIIRS,n,1,268.2,12.5,
48.27474,14.3394,334.3,0.5,0.41,2017-01-21,1124,N,VIIRS,n,1,273.8,7.7,
48.27837,14.3377,331.6,0.5,0.41,2017-01-21,1124,N,VIIRS,n,1,274,5.5,
48.27412,14.3393,324.6,0.39,0.36,2017-01-23,0100,N,VIIRS,n,1,268.4,4.3,
48.2762,14.33931,347.6,0.44,0.46,2017-01-27,1112,N,VIIRS,n,1,282.8,14.1,
48.27529,14.34047,351,0.57,0.52,2017-02-10,0022,N,VIIRS,n,1,277,13.2,
48.27875,14.33937,309.4,0.36,0.57,2017-02-10,0202,N,VIIRS,n,1,273.1,4.2,
48.27965,14.33738,349.1,0.35,0.57,2017-02-13,1053,N,VIIRS,n,1,281,4.8,
48.27867,14.33807,330.8,0.58,0.52,2017-02-13,1233,N,VIIRS,n,1,283.1,5.3,
48.27593,14.33312,306,0.47,0.39,2017-02-14,0047,N,VIIRS,n,1,273.7,3.1,
48.27547,14.33346,332.1,0.55,0.68,2017-02-14,1034,N,VIIRS,n,1,282.3,6.9,
48.27681,14.33894,335.4,0.41,0.37,2017-02-16,1137,N,VIIRS,n,1,289.4,12.5,
48.27459,14.34212,334.5,0.56,0.69,2017-02-25,0221,N,VIIRS,n,1,273.9,4.9,
48.27706,14.33514,317.7,0.56,0.69,2017-02-25,0221,N,VIIRS,n,1,274.6,4.9,
48.27605,14.33713,330.8,0.64,0.72,2017-02-25,1028,N,VIIRS,n,1,277.3,6.6,
