latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
47.92402,13.78159,313.5,0.4,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,285,1.3,N
47.92255,13.77753,297.6,0.5,0.4,2017-10-12,0048,N,VIIRS,n,1.0NRT,280.1,0.9,N
48.27694,14.33567,345.8,0.4,0.4,2017-10-14,1136,N,VIIRS,n,1.0NRT,296.1,9.9,D
47.92452,13.77837,305.8,0.5,0.4,2017-10-15,0130,N,VIIRS,n,1.0NRT,281.3,1.2,N
48.27466,14.34137,327.6,0.48,0.64,2017-10-17,1036,N,VIIRS,n,1.0NRT,293.7,9.7,D
47.9233,13.77923,304,0.55,0.43,2017-12-26,0036,N,VIIRS,n,1.0NRT,270.6,1.4,N
48.28423,14.32967,311.9,0.4,0.4,2017-10-06,0100,N,VIIRS,n,1.0NRT,283.5,1.5,N
48.27513,14.34679,303.8,0.47,0.64,2017-12-12,0000,N,VIIRS,n,1.0NRT,271.7,1.7,N
47.92425,13.77906,295.4,0.5,0.7,2017-09-05,0218,N,VIIRS,n,1.0NRT,278.6,1.1,N
48.27354,14.3419,342.7,0.6,0.5,2017-09-14,1054,N,VIIRS,n,1.0NRT,299.6,11.4,D
48.27305,14.32371,334.7,0.4,0.5,2017-09-15,1218,N,VIIRS,n,1.0NRT,297.8,7,D
48.27644,14.33339,333.9,0.4,0.5,2017-10-02,0030,N,VIIRS,n,1.0NRT,285.2,3.2,N
47.62683,13.32489,333,0.6,0.7,2017-10-12,1030,N,VIIRS,n,1.0NRT,283.3,7.1,D
47.92476,13.77745,308.8,0.4,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,282.8,1.2,N
47.92151,13.7808,296.8,0.35,0.57,2017-10-19,0012,N,VIIRS,n,1.0NRT,280.9,0.9,N
48.27688,14.32811,299,0.39,0.36,2017-11-01,0112,N,VIIRS,n,1.0NRT,277.1,2.5,N
