latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
39.19195,46.9603,346.3,0.52,0.42,2017-07-22,0927,N,VIIRS,l,1,320.4,30.2,
39.17849,46.63853,299.5,0.52,0.5,2017-08-27,2212,N,VIIRS,n,1,286.5,1.7,
39.18472,46.64431,356,0.46,0.39,2017-08-28,0933,N,VIIRS,n,1,315.7,11.1,
39.00013,46.64265,331.7,0.64,0.72,2017-07-03,0843,N,VIIRS,n,1,300.6,5.8,
38.9908,48.71347,338.6,0.39,0.36,2017-07-05,0945,N,VIIRS,n,1,306.1,3.8,
39.06106,46.73279,340.8,0.5,0.49,2017-07-19,1023,N,VIIRS,l,1,314.3,14.2,
39.00939,48.67067,356.2,0.39,0.36,2017-08-06,0946,N,VIIRS,n,1,317.2,17.6,
39.00373,46.66128,347.2,0.39,0.36,2017-08-11,0952,N,VIIRS,n,1,316.6,16.7,
38.97746,48.79305,334.1,0.35,0.56,2017-08-30,0856,N,VIIRS,n,1,301.9,1.3,
39.68803,49.01067,330.2,0.38,0.36,2017-03-10,0939,N,VIIRS,n,1,293.2,1.2,
39.72155,46.97678,339.2,0.4,0.37,2017-03-10,0940,N,VIIRS,n,1,299.8,21.5,
39.54158,48.98507,367,0.33,0.55,2017-06-11,0856,N,VIIRS,h,1,302.9,6,
39.62882,48.1369,342,0.41,0.37,2017-06-24,0952,N,VIIRS,n,1,308.7,4.2,
39.65697,48.05502,339.9,0.36,0.58,2017-06-27,0856,N,VIIRS,n,1,299.9,3.3,
39.67318,47.50373,302.9,0.63,0.72,2017-07-01,2139,N,VIIRS,n,1,288.4,1.4,
39.77354,47.43093,340.9,0.49,0.4,2017-07-04,1004,N,VIIRS,n,1,314.1,12.3,
39.69232,47.66171,333.9,0.53,0.5,2017-07-07,0908,N,VIIRS,n,1,296.5,14.8,
39.66929,47.4851,344.4,0.45,0.47,2017-07-12,0914,N,VIIRS,n,1,310.7,3.2,
39.71421,47.78999,344.5,0.44,0.38,2017-07-15,0958,N,VIIRS,n,1,302.2,15.3,
39.68745,47.27381,310.5,0.43,0.62,2017-07-16,2339,N,VIIRS,n,1,286.9,1.9,
39.69131,47.26216,342.2,0.39,0.44,2017-07-17,0921,N,VIIRS,l,1,314.1,5.8,
39.70222,47.15451,308.5,0.66,0.73,2017-07-17,2139,N,VIIRS,n,1,289.2,1.7,
39.69736,47.40469,337.6,0.49,0.65,2017-07-18,1042,N,VIIRS,n,1,307.5,4.2,
39.67668,47.20148,330.1,0.58,0.69,2017-07-19,0843,N,VIIRS,l,1,301.9,4.6,
39.60144,47.15976,341.1,0.53,0.5,2017-07-19,1023,N,VIIRS,n,1,309.2,5.2,
39.70297,47.48199,346.8,0.56,0.51,2017-07-19,1023,N,VIIRS,n,1,313.9,19.9,
39.67636,47.3949,304.2,0.39,0.36,2017-07-19,2242,N,VIIRS,n,1,293,1.3,
39.67308,47.39405,303.8,0.39,0.36,2017-07-19,2242,N,VIIRS,n,1,293.2,0.8,
39.59975,47.18311,307.7,0.39,0.36,2017-07-19,2242,N,VIIRS,n,1,292.2,0.7,
39.61803,47.23124,355.9,0.48,0.4,2017-07-20,1004,N,VIIRS,n,1,318.5,11.5,
39.63288,47.13101,342.3,0.47,0.4,2017-07-20,1004,N,VIIRS,l,1,316.1,13.9,
39.7184,47.38615,345.1,0.49,0.4,2017-07-20,1004,N,VIIRS,l,1,319.9,9.6,
39.63549,47.15424,310.7,0.53,0.42,2017-07-20,2223,N,VIIRS,n,1,292.6,1.9,
39.5474,47.23066,367,0.38,0.36,2017-07-21,0946,N,VIIRS,h,1,322.4,13.5,
39.58642,47.13277,307.3,0.61,0.53,2017-07-21,2205,N,VIIRS,n,1,289.4,2.3,
39.59989,47.22035,298.5,0.52,0.67,2017-07-21,2345,N,VIIRS,n,1,288.5,0.8,
39.59668,47.12315,298.6,0.51,0.66,2017-07-21,2345,N,VIIRS,n,1,287.8,0.5,
39.53474,47.15132,327,0.52,0.67,2017-07-21,2345,N,VIIRS,n,1,291.1,3.2,
39.77957,47.22097,345.3,0.5,0.41,2017-07-22,0927,N,VIIRS,n,1,313.5,16.9,
