latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.1815,49.02829,336.7,0.4,0.6,2017-09-05,0842,N,VIIRS,n,1.0NRT,302.7,3,D
41.28095,48.94199,339.2,0.4,0.4,2017-09-07,0942,N,VIIRS,n,1.0NRT,300.9,3.2,D
38.87947,48.75718,341.3,0.5,0.5,2017-09-09,0906,N,VIIRS,n,1.0NRT,300.3,3.3,D
38.98255,48.80072,367,0.4,0.6,2017-09-10,0848,N,VIIRS,n,1.0NRT,299.2,4.7,D
39.55929,48.86886,331.1,0.4,0.4,2017-09-12,0948,N,VIIRS,l,1.0NRT,304.9,1.6,D
41.36949,48.93725,332.4,0.4,0.4,2017-09-13,0930,N,VIIRS,l,1.0NRT,306.7,1.7,D
39.27018,48.95527,344.7,0.3,0.6,2017-09-15,0854,N,VIIRS,n,1.0NRT,301.1,2.1,D
40.66309,48.89216,347.2,0.5,0.7,2017-09-16,0836,N,VIIRS,n,1.0NRT,307.1,6.8,D
39.15374,48.82561,338.5,0.4,0.4,2017-09-18,0936,N,VIIRS,l,1.0NRT,309.2,3.4,D
39.15635,48.82035,350.2,0.4,0.4,2017-09-18,0936,N,VIIRS,n,1.0NRT,309.7,5.7,D
39.27524,48.73695,352.5,0.4,0.4,2017-09-18,0936,N,VIIRS,n,1.0NRT,319,7.1,D
39.30102,48.74874,349.5,0.4,0.4,2017-09-18,0936,N,VIIRS,n,1.0NRT,312.2,5.7,D
38.84352,48.8022,334.7,0.5,0.4,2017-09-19,0918,N,VIIRS,n,1.0NRT,304,5.9,D
41.4295,48.98631,306.6,0.6,0.5,2017-09-19,2318,N,VIIRS,n,1.0NRT,287.2,1.5,N
41.33699,49.01238,299.1,0.5,0.5,2017-09-30,2312,N,VIIRS,n,1.0NRT,280.7,1.1,N
40.7012,48.74736,332.2,0.5,0.5,2017-10-06,0900,N,VIIRS,n,1.0NRT,290.9,3.3,D
41.32,49.06795,367,0.6,0.7,2017-10-06,1042,N,VIIRS,n,1.0NRT,297.9,26.5,D
40.04086,49.19633,339.6,0.58,0.52,2017-10-18,1018,N,VIIRS,n,1.0NRT,291.6,8.2,D
41.3259,48.98167,334.1,0.39,0.36,2017-10-20,0936,N,VIIRS,n,1.0NRT,294.5,4.1,D
41.37068,48.87821,328.4,0.46,0.39,2017-10-21,0918,N,VIIRS,n,1.0NRT,293.3,2.7,D
39.1512,48.79617,332,0.47,0.48,2017-10-27,0906,N,VIIRS,n,1.0NRT,291.9,3,D
39.15546,48.79458,354.8,0.47,0.48,2017-10-27,0906,N,VIIRS,n,1.0NRT,297.1,135.6,D
39.17453,48.81396,335.4,0.45,0.47,2017-10-29,1006,N,VIIRS,n,1.0NRT,294.3,35.4,D
39.00708,49.17625,338.5,0.43,0.38,2017-10-30,0948,N,VIIRS,n,1.0NRT,291.9,6.2,D
39.27324,48.83678,331.7,0.43,0.38,2017-10-30,0948,N,VIIRS,n,1.0NRT,300.1,2,D
39.00752,49.17475,313.4,0.57,0.43,2017-10-30,2212,N,VIIRS,n,1.0NRT,288.8,1.5,N
40.03416,48.85048,337.1,0.38,0.59,2017-12-31,0848,N,VIIRS,n,1.0NRT,282.6,4,D
40.19722,49.46749,349.5,0.5,0.4,2017-09-01,0954,N,VIIRS,n,1.0NRT,311.2,9.4,D
40.41084,49.91658,301.9,0.4,0.6,2017-09-08,2324,N,VIIRS,n,1.0NRT,289.5,0.3,N
40.40778,49.90877,301.2,0.7,0.8,2017-09-09,2124,N,VIIRS,n,1.0NRT,289.5,1.5,N
40.19666,49.46927,332,0.3,0.6,2017-09-13,2148,N,VIIRS,n,1.0NRT,292.2,1.7,N
40.43297,49.7857,330,0.5,0.4,2017-09-14,0912,N,VIIRS,l,1.0NRT,304.5,2.7,D
40.19777,49.4727,322.3,0.5,0.4,2017-09-15,2254,N,VIIRS,n,1.0NRT,293.9,2.7,N
40.2218,49.55749,308,0.4,0.4,2017-09-16,2236,N,VIIRS,n,1.0NRT,293,1.1,N
40.22351,49.55432,307.4,0.5,0.4,2017-09-17,2218,N,VIIRS,n,1.0NRT,293.2,1.1,N
40.1974,49.47552,311.9,0.6,0.5,2017-09-18,2154,N,VIIRS,n,1.0NRT,293.1,3.2,N
40.19715,49.47097,310.6,0.5,0.7,2017-09-19,2136,N,VIIRS,n,1.0NRT,292,1.9,N
40.19823,49.46954,314,0.3,0.6,2017-09-19,2318,N,VIIRS,n,1.0NRT,291.6,2,N
40.19518,49.47205,342.1,0.4,0.6,2017-09-21,0842,N,VIIRS,n,1.0NRT,306.6,1.6,D
40.61741,49.39001,354,0.4,0.6,2017-09-21,0842,N,VIIRS,n,1.0NRT,311.1,8.4,D
40.19668,49.47298,324,0.5,0.5,2017-09-23,2200,N,VIIRS,n,1.0NRT,290,2.6,N
40.19692,49.47268,335.1,0.5,0.5,2017-09-23,2200,N,VIIRS,n,1.0NRT,290.3,4.3,N
40.19899,49.47224,315.3,0.4,0.5,2017-09-25,2306,N,VIIRS,n,1.0NRT,288.2,1.9,N
40.40546,49.91053,296.4,0.5,0.7,2017-10-05,2136,N,VIIRS,n,1.0NRT,284.2,0.9,N
40.19901,49.47159,331.9,0.4,0.4,2017-10-08,2224,N,VIIRS,n,1.0NRT,289.4,4.2,N
40.19522,49.47664,303.4,0.7,0.7,2017-10-09,2342,N,VIIRS,n,1.0NRT,283.8,1.9,N
40.25146,49.44738,306.3,0.4,0.4,2017-10-13,2230,N,VIIRS,n,1.0NRT,284.8,1.2,N
40.19835,49.47044,307.5,0.4,0.4,2017-10-13,2230,N,VIIRS,n,1.0NRT,284.2,1.1,N
40.19757,49.46843,299.3,0.6,0.4,2017-10-14,2212,N,VIIRS,n,1.0NRT,285.5,0.8,N
40.19711,49.4687,302.6,0.3,0.6,2017-10-15,2148,N,VIIRS,n,1.0NRT,281.5,0.7,N
40.40512,49.91222,297.4,0.38,0.36,2017-10-18,2236,N,VIIRS,n,1.0NRT,285.4,0.9,N
40.24863,49.44681,298,0.55,0.68,2017-10-20,2336,N,VIIRS,n,1.0NRT,282.1,1,N
40.19463,49.47503,307.3,0.55,0.68,2017-10-20,2336,N,VIIRS,n,1.0NRT,282.1,1.3,N
40.19992,49.4725,347.7,0.37,0.58,2017-10-23,1024,N,VIIRS,n,1.0NRT,291.3,3.6,D
40.25191,49.44907,304.6,0.43,0.38,2017-10-24,2224,N,VIIRS,n,1.0NRT,285.4,1.4,N
40.22374,49.5563,296.9,0.43,0.38,2017-10-24,2224,N,VIIRS,n,1.0NRT,285.6,1.1,N
40.19934,49.46817,330.7,0.43,0.38,2017-10-24,2224,N,VIIRS,n,1.0NRT,286.4,2.3,N
40.19998,49.46313,297.5,0.43,0.38,2017-10-24,2224,N,VIIRS,n,1.0NRT,283.8,2.3,N
40.19586,49.4674,325.5,0.43,0.38,2017-10-24,2224,N,VIIRS,n,1.0NRT,284.4,2.3,N
40.22241,49.55522,304.2,0.39,0.36,2017-10-29,2230,N,VIIRS,n,1.0NRT,289,0.6,N
40.1983,49.47343,338.4,0.45,0.39,2017-10-30,0948,N,VIIRS,n,1.0NRT,302.9,4.5,D
41.36451,46.60057,339.5,0.4,0.4,2017-09-13,0930,N,VIIRS,n,1.0NRT,306.3,3,D
41.73599,48.56938,341.9,0.4,0.4,2017-09-18,0936,N,VIIRS,n,1.0NRT,306.6,4.2,D
41.40001,48.45691,333.8,0.4,0.6,2017-09-21,0842,N,VIIRS,n,1.0NRT,300,2.9,D
41.22443,46.86338,335.7,0.59,0.7,2017-10-27,1048,N,VIIRS,n,1.0NRT,292.4,5.9,D
39.66458,47.2441,302.8,0.4,0.6,2017-09-02,2336,N,VIIRS,n,1.0NRT,287.8,0.5,N
39.85457,46.9031,333.9,0.4,0.5,2017-09-03,0918,N,VIIRS,n,1.0NRT,302.2,5.1,D
40.07959,46.05687,307.5,0.4,0.5,2017-09-06,2224,N,VIIRS,n,1.0NRT,286,1.1,N
40.07913,46.06142,297.3,0.4,0.5,2017-09-06,2224,N,VIIRS,n,1.0NRT,284.9,0.8,N
40.01986,46.1102,335.1,0.5,0.7,2017-09-09,1048,N,VIIRS,n,1.0NRT,302.4,9.2,D
