latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
53.74453,31.94145,337.7,0.48,0.48,2017-03-26,0944,N,VIIRS,n,1,271.5,3.5,
53.77241,32.21269,340.7,0.47,0.47,2017-04-11,0944,N,VIIRS,n,1,286.1,12.2,
53.66505,32.29247,339.5,0.46,0.47,2017-05-13,0944,N,VIIRS,n,1,292.6,4,
53.95631,31.63565,327.8,0.39,0.37,2017-04-09,1022,N,VIIRS,n,1,288,2.9,
53.92344,31.68326,355.3,0.56,0.43,2017-04-21,0957,N,VIIRS,n,1,288.4,12.9,
53.66992,31.82679,300.2,0.38,0.36,2017-08-11,0007,N,VIIRS,n,1,288.9,0.8,
54.77655,30.10276,336.3,0.57,0.69,2017-04-20,1156,N,VIIRS,n,1,285.3,6.8,
54.63749,31.0976,345.5,0.48,0.48,2017-05-13,0944,N,VIIRS,n,1,294.9,8.9,
54.77007,30.65722,327.7,0.4,0.37,2017-05-18,0001,N,VIIRS,n,1,273.5,6.6,
52.86792,30.89486,332.7,0.5,0.41,2017-03-14,1009,N,VIIRS,n,1,285.1,9.9,
53.20671,30.91926,339.6,0.57,0.43,2017-03-27,1105,N,VIIRS,n,1,287.6,6.5,
53.20251,31.13663,340.3,0.53,0.5,2017-04-11,0944,N,VIIRS,n,1,287.4,41.6,
52.56763,30.85747,367,0.37,0.58,2017-05-03,0931,N,VIIRS,h,1,297.6,18.2,
53.18765,31.00799,337.3,0.35,0.57,2017-05-03,0931,N,VIIRS,n,1,293.9,3.6,
52.56651,30.85563,328.6,0.42,0.46,2017-05-03,1112,N,VIIRS,l,1,300.5,6.6,
52.82582,30.79383,328.7,0.44,0.38,2017-05-04,1053,N,VIIRS,l,1,299.2,2.2,
53.05042,31.11317,348.3,0.57,0.43,2017-05-14,1105,N,VIIRS,n,1,297.8,7.1,
52.98686,30.7098,338,0.43,0.46,2017-03-20,0956,N,VIIRS,n,1,287.5,9.9,
53.1041,30.64322,338.6,0.43,0.46,2017-03-20,0956,N,VIIRS,n,1,286.8,16.7,
52.88836,30.40621,330.3,0.51,0.41,2017-03-30,1009,N,VIIRS,n,1,283.7,6.8,
52.89198,30.40404,341.2,0.51,0.41,2017-03-30,1009,N,VIIRS,n,1,286.6,6.8,
53.12619,30.73817,335.7,0.5,0.41,2017-03-30,1009,N,VIIRS,n,1,283.8,3.8,
52.88809,30.40023,327.4,0.51,0.66,2017-03-30,1149,N,VIIRS,n,1,280.8,4.9,
53.15291,30.72269,330.5,0.52,0.67,2017-03-30,1150,N,VIIRS,n,1,283.4,2.6,
52.95719,30.71924,340.7,0.44,0.38,2017-04-02,1053,N,VIIRS,n,1,296,7.6,
52.99073,30.5788,326.1,0.44,0.38,2017-04-02,1053,N,VIIRS,n,1,290.6,1.9,
53.11904,30.631,328.6,0.44,0.38,2017-04-02,1053,N,VIIRS,n,1,293.5,2.9,
53.37679,30.61574,341.2,0.44,0.39,2017-04-02,1053,N,VIIRS,n,1,296.6,7.9,
53.2744,30.59954,347.2,0.42,0.45,2017-04-05,0956,N,VIIRS,n,1,300.3,57.4,
53.02721,30.74596,326,0.41,0.37,2017-04-09,1021,N,VIIRS,n,1,290.2,3.6,
53.02831,30.73825,336.3,0.41,0.37,2017-04-09,1021,N,VIIRS,n,1,291.5,4.7,
52.81586,30.43842,367,0.69,0.74,2017-04-09,1202,N,VIIRS,l,1,288,9.2,
53.01681,30.72287,330.1,0.42,0.46,2017-05-07,0956,N,VIIRS,n,1,292.2,4,
52.83961,30.71462,333.6,0.45,0.39,2017-05-22,1015,N,VIIRS,n,1,300.8,3.7,
52.84305,30.71273,346.8,0.45,0.39,2017-05-22,1015,N,VIIRS,n,1,306.6,10.5,
54.33815,30.62075,342,0.47,0.4,2017-03-14,1009,N,VIIRS,n,1,285.1,6.4,
54.07369,30.64635,337.7,0.38,0.59,2017-03-27,0925,N,VIIRS,n,1,282.9,3.2,
54.36544,31.08823,334.1,0.42,0.38,2017-04-04,1015,N,VIIRS,n,1,289.1,3.2,
53.94965,30.77444,342.8,0.59,0.53,2017-04-06,0938,N,VIIRS,n,1,282.7,11.5,
55.42798,30.80396,353.1,0.46,0.64,2017-04-10,1144,N,VIIRS,n,1,287,5.9,
54.09464,31.52628,340.5,0.63,0.54,2017-05-13,1125,N,VIIRS,n,1,294.8,7.5,
54.59081,30.91166,333.2,0.39,0.36,2017-08-09,1035,N,VIIRS,n,1,298.5,3.1,
55.43489,30.82727,333,0.39,0.36,2017-08-09,1035,N,VIIRS,n,1,301.7,3.9,
52.13423,24.91611,329.8,0.39,0.36,2017-04-02,1053,N,VIIRS,n,1,296.5,3.8,
53.26842,24.44208,307,0.6,0.53,2017-06-09,0129,N,VIIRS,n,1,280.4,2.2,
53.264,24.44654,302.4,0.39,0.44,2017-06-19,0001,N,VIIRS,n,1,285.7,1,
53.26113,24.44785,302.7,0.47,0.64,2017-06-20,2323,N,VIIRS,n,1,284.3,1,
53.26377,24.44669,305.4,0.39,0.37,2017-07-25,0026,N,VIIRS,n,1,285.8,0.9,
53.26252,24.4509,299.8,0.4,0.6,2017-07-27,2330,N,VIIRS,n,1,284.7,0.7,
53.26031,24.44793,305.4,0.46,0.47,2017-08-02,0117,N,VIIRS,n,1,287.2,1.1,
53.2712,24.44407,313.8,0.51,0.41,2017-08-27,0008,N,VIIRS,n,1,283.5,2.6,
52.84748,29.99431,306.4,0.43,0.38,2017-03-09,2355,N,VIIRS,n,1,268.9,1.2,
52.8448,29.9868,309.2,0.43,0.38,2017-03-09,2355,N,VIIRS,n,1,269.1,1.8,
52.84733,29.99282,329.1,0.53,0.42,2017-03-14,1009,N,VIIRS,n,1,287.7,3.8,
52.92068,29.75982,328,0.35,0.57,2017-03-20,1137,N,VIIRS,n,1,287.5,2.9,
52.84702,29.99296,325.4,0.53,0.42,2017-03-30,1009,N,VIIRS,n,1,288.4,3.8,
52.84527,29.98742,299.4,0.43,0.62,2017-04-02,2304,N,VIIRS,n,1,279.9,0.8,
52.8482,29.99084,304.1,0.43,0.62,2017-04-17,0122,N,VIIRS,n,1,270.3,1.2,
52.84696,29.98805,330.4,0.42,0.38,2017-04-18,1053,N,VIIRS,n,1,293,3.5,
52.84833,29.98775,326.3,0.54,0.42,2017-05-02,2342,N,VIIRS,n,1,277.6,6.5,
52.84681,29.9937,312.2,0.43,0.62,2017-05-03,0122,N,VIIRS,n,1,276.2,1.4,
53.01821,29.76463,348.6,0.65,0.73,2017-05-15,0907,N,VIIRS,n,1,292.6,9.9,
52.84577,29.98886,335.6,0.53,0.42,2017-05-17,1009,N,VIIRS,n,1,301.9,6.3,
52.84681,29.98573,297.1,0.58,0.52,2017-05-20,0104,N,VIIRS,n,1,278.7,2.3,
52.84453,29.9938,316.9,0.58,0.52,2017-05-20,0104,N,VIIRS,n,1,278.5,2.3,
52.84748,29.98642,305.3,0.49,0.65,2017-06-09,0129,N,VIIRS,n,1,281.7,2.4,
52.84647,29.99155,305.4,0.33,0.55,2017-06-10,0110,N,VIIRS,n,1,282.7,1,
52.84766,29.98701,299.4,0.37,0.58,2017-06-10,2311,N,VIIRS,n,1,281.5,0.9,
52.84458,29.98898,340.1,0.38,0.59,2017-06-15,0116,N,VIIRS,n,1,272.8,3.1,
52.84761,29.9885,327.8,0.54,0.42,2017-06-19,2342,N,VIIRS,n,1,288.8,4.2,
52.84864,29.98918,310.1,0.4,0.37,2017-07-05,0001,N,VIIRS,n,1,282.4,0.9,
52.85253,29.99615,295.4,0.41,0.45,2017-07-16,2336,N,VIIRS,n,1,283.6,0.9,
52.84673,29.99501,297.1,0.42,0.38,2017-07-25,0026,N,VIIRS,n,1,285.3,2.4,
52.84898,29.99484,299.2,0.55,0.51,2017-08-07,2323,N,VIIRS,n,1,278.8,1.8,
55.31543,29.89803,338.1,0.38,0.36,2017-05-05,1035,N,VIIRS,n,1,295.5,4.6,
53.30679,31.97236,348.5,0.41,0.45,2017-03-27,1105,N,VIIRS,n,1,286.5,8.9,
53.43713,32.16789,335,0.39,0.36,2017-04-09,1021,N,VIIRS,n,1,290.8,4.8,
53.3678,32.36791,329.5,0.66,0.73,2017-05-05,0854,N,VIIRS,n,1,294.7,4.6,
53.48659,32.64571,353.3,0.43,0.38,2017-08-21,1009,N,VIIRS,n,1,309.7,11.3,
53.34446,32.24162,327.5,0.44,0.39,2017-03-28,1046,N,VIIRS,n,1,283.7,2.6,
53.8759,31.11102,307.8,0.53,0.42,2017-03-29,0038,N,VIIRS,n,1,269.9,1.5,
