latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
52.88395,29.32289,330.9,0.4,0.6,2017-09-01,1142,N,VIIRS,n,1.0NRT,295.7,2.8,D
51.89096,29.33862,322.3,0.7,0.8,2017-09-10,2242,N,VIIRS,n,1.0NRT,282.1,2.4,N
51.96756,30.74549,325.8,0.5,0.4,2017-09-03,1106,N,VIIRS,n,1.0NRT,298.3,2.4,D
51.88973,29.34411,297.1,0.6,0.7,2017-09-02,0136,N,VIIRS,n,1.0NRT,281,1.2,N
53.93031,31.68818,331.4,0.5,0.4,2017-09-01,1000,N,VIIRS,n,1.0NRT,291.3,5.4,D
51.7924,30.25528,299.5,0.4,0.5,2017-09-29,2330,N,VIIRS,n,1.0NRT,270.3,1,N
52.49232,29.20426,325.1,0.6,0.7,2017-09-25,0912,N,VIIRS,n,1.0NRT,284,3.4,D
52.87304,28.09562,329.7,0.5,0.4,2017-09-27,1012,N,VIIRS,n,1.0NRT,288,3.3,D
52.84503,29.99166,354.5,0.4,0.5,2017-09-01,1000,N,VIIRS,n,1.0NRT,294.4,5.5,D
52.84708,29.98442,297.6,0.7,0.8,2017-09-12,0148,N,VIIRS,n,1.0NRT,284.7,1.2,N
52.84678,29.98923,317.5,0.8,0.8,2017-09-21,2236,N,VIIRS,n,1.0NRT,283.2,2.4,N
52.49234,29.20775,345.7,0.4,0.4,2017-09-25,1048,N,VIIRS,n,1.0NRT,293,7.2,D
54.29168,25.9831,328.7,0.4,0.6,2017-09-24,2324,N,VIIRS,n,1.0NRT,280.2,2.4,N
53.92693,31.7065,345.3,0.5,0.4,2017-09-01,1000,N,VIIRS,n,1.0NRT,297.7,6.2,D
53.93049,31.7043,332.3,0.5,0.4,2017-09-01,1000,N,VIIRS,n,1.0NRT,295.1,5.4,D
53.26207,24.44769,297.7,0.47,0.48,2017-12-08,0112,N,VIIRS,n,1.0NRT,273.1,0.9,N
53.26372,24.44794,297.6,0.4,0.4,2017-09-27,0024,N,VIIRS,n,1.0NRT,280.9,0.6,N
51.64915,27.86094,338.1,0.6,0.5,2017-09-28,0954,N,VIIRS,n,1.0NRT,287.5,10.2,D
52.84825,29.98906,319.1,0.4,0.5,2017-09-02,2336,N,VIIRS,n,1.0NRT,278.3,2,N
51.88725,30.48379,355.4,0.5,0.5,2017-09-28,0954,N,VIIRS,n,1.0NRT,287.9,10.1,D
51.88726,30.482,329.5,0.43,0.38,2017-10-18,1018,N,VIIRS,n,1.0NRT,291.2,2.6,D
52.84834,29.99018,310.4,0.39,0.59,2017-11-06,0112,N,VIIRS,n,1.0NRT,274.2,1.5,N
52.03762,25.29251,332.1,0.4,0.5,2017-10-02,1018,N,VIIRS,n,1.0NRT,283.2,2.2,D
53.85548,31.66831,367,0.4,0.5,2017-09-23,0948,N,VIIRS,n,1.0NRT,292.8,5.1,D
52.87281,29.6416,325,0.4,0.4,2017-09-10,1030,N,VIIRS,n,1.0NRT,293.7,1.8,D
51.88981,29.33645,333.4,0.5,0.4,2017-09-11,1012,N,VIIRS,n,1.0NRT,293.2,9.7,D
52.7441,29.51476,329.4,0.5,0.4,2017-09-11,1012,N,VIIRS,n,1.0NRT,294.1,2.4,D
52.84428,29.99221,334.8,0.5,0.5,2017-09-12,0954,N,VIIRS,n,1.0NRT,297,3.5,D
52.43311,29.29737,327,0.3,0.6,2017-09-18,0942,N,VIIRS,n,1.0NRT,286.6,1.7,D
52.84484,29.98923,330.1,0.4,0.4,2017-09-25,1054,N,VIIRS,n,1.0NRT,295.6,4.6,D
52.60226,29.35954,330.5,0.5,0.4,2017-10-05,1106,N,VIIRS,n,1.0NRT,284.4,5.2,D
52.84804,29.98711,325.7,0.5,0.7,2017-10-16,0918,N,VIIRS,n,1.0NRT,283.7,3.5,D
54.01763,30.11474,337,0.7,0.8,2017-09-26,0854,N,VIIRS,n,1.0NRT,285.9,5.4,D
51.87621,30.64665,333.2,0.4,0.4,2017-09-26,1030,N,VIIRS,n,1.0NRT,291.7,4.7,D
52.74294,27.98594,330.2,0.6,0.5,2017-09-28,1136,N,VIIRS,n,1.0NRT,286.7,4.4,D
53.92044,31.71212,327.9,0.4,0.4,2017-09-11,1012,N,VIIRS,n,1.0NRT,291.6,1.9,D
53.90364,31.70361,329.3,0.6,0.4,2017-09-12,0954,N,VIIRS,n,1.0NRT,296.6,5.5,D
53.68083,32.41376,307.1,0.4,0.4,2017-09-22,0018,N,VIIRS,n,1.0NRT,283.5,0.9,N
53.49635,31.82802,328.2,0.5,0.4,2017-09-25,1054,N,VIIRS,n,1.0NRT,292.3,2.3,D
53.29354,32.08637,331.9,0.4,0.4,2017-09-26,1030,N,VIIRS,n,1.0NRT,289,3.8,D
53.05876,27.97704,331.2,0.5,0.5,2017-09-01,1000,N,VIIRS,n,1.0NRT,294,3.6,D
54.14567,30.10718,347.7,0.6,0.4,2017-09-01,1000,N,VIIRS,n,1.0NRT,295.1,8.7,D
52.15676,29.06155,337.8,0.3,0.6,2017-09-02,0942,N,VIIRS,n,1.0NRT,289.7,2.4,D
52.84725,29.98948,322.4,0.4,0.5,2017-09-02,2336,N,VIIRS,n,1.0NRT,279,2.5,N
51.9702,30.74234,331.8,0.4,0.6,2017-09-03,0924,N,VIIRS,n,1.0NRT,292.9,3.4,D
52.84857,29.99073,333.7,0.4,0.4,2017-09-09,1048,N,VIIRS,n,1.0NRT,292.5,4.1,D
52.71016,29.59109,331,0.4,0.4,2017-09-10,1030,N,VIIRS,n,1.0NRT,296.2,2.6,D
51.89859,30.73792,338.5,0.5,0.4,2017-09-11,1012,N,VIIRS,n,1.0NRT,295.9,5.4,D
52.08344,30.68206,335.8,0.4,0.5,2017-09-12,0954,N,VIIRS,n,1.0NRT,296.2,3.7,D
52.84833,29.98945,325,0.5,0.5,2017-09-12,0954,N,VIIRS,l,1.0NRT,297.4,3.5,D
