latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.17508,3.8013,309.1,0.73,0.76,2017-02-15,0028,N,VIIRS,n,1,276.8,3.6,
51.17135,3.80083,306.3,0.54,0.68,2017-04-14,0040,N,VIIRS,n,1,278.9,3.3,
51.17192,3.80157,302.7,0.4,0.44,2017-04-19,0227,N,VIIRS,n,1,276.5,3,
51.19658,3.01234,336.9,0.39,0.36,2017-05-10,1221,N,VIIRS,n,1,297.1,3,
51.19922,3.01407,338,0.39,0.36,2017-05-26,1221,N,VIIRS,n,1,302,4.4,
51.23717,3.21679,337.9,0.39,0.36,2017-05-26,1221,N,VIIRS,n,1,308.9,0.9,
51.16539,3.8166,321.1,0.48,0.4,2017-01-16,0131,N,VIIRS,n,1,272.5,3.6,
51.16456,3.8146,317.4,0.43,0.38,2017-01-21,0137,N,VIIRS,n,1,269.9,1.8,
51.1587,3.80132,312.9,0.47,0.4,2017-02-04,0215,N,VIIRS,n,1,277.4,1.7,
51.16542,3.8145,345.5,0.57,0.52,2017-02-13,0106,N,VIIRS,n,1,273.5,5.4,
51.1613,3.79675,299,0.39,0.36,2017-02-16,0150,N,VIIRS,n,1,277,1.3,
51.16537,3.81141,313.1,0.35,0.57,2017-04-07,0252,N,VIIRS,n,1,278.1,2.1,
51.15039,3.77318,336.1,0.39,0.36,2017-04-08,1221,N,VIIRS,n,1,298.8,2.1,
51.16399,3.80943,299.7,0.54,0.68,2017-04-14,0040,N,VIIRS,n,1,275.7,2.1,
51.16504,3.80929,314.6,0.53,0.42,2017-04-14,0221,N,VIIRS,n,1,277.2,1.9,
51.16405,3.81381,320,0.61,0.71,2017-04-27,0317,N,VIIRS,n,1,274,2.4,
51.16482,3.80992,311.4,0.35,0.57,2017-05-09,0252,N,VIIRS,n,1,277.2,2.1,
51.15856,3.79752,332.2,0.47,0.4,2017-05-14,1246,N,VIIRS,n,1,294.8,3.7,
51.16559,3.80435,303.9,0.53,0.5,2017-05-31,0239,N,VIIRS,n,1,284,2.2,
51.16392,3.80996,295.5,0.4,0.37,2017-06-02,0202,N,VIIRS,n,1,284.8,1.1,
51.16124,3.79817,318.9,0.4,0.37,2017-06-03,0143,N,VIIRS,n,1,262,2.4,
51.16353,3.81196,295.2,0.47,0.64,2017-06-04,0304,N,VIIRS,n,1,281.6,2.5,
51.16533,3.80953,299.8,0.35,0.57,2017-06-10,0252,N,VIIRS,n,1,278.8,1.9,
51.16392,3.81423,302.4,0.35,0.57,2017-06-10,0252,N,VIIRS,n,1,278.8,1.4,
51.16527,3.81127,342.5,0.47,0.48,2017-06-14,1305,N,VIIRS,n,1,307.8,17.4,
51.16469,3.80873,305.1,0.69,0.74,2017-06-19,0323,N,VIIRS,n,1,287.9,3.3,
51.26704,4.325,296.6,0.46,0.47,2017-02-02,0112,N,VIIRS,n,1,282.4,1.5,
51.26805,4.32573,295.3,0.49,0.4,2017-02-04,0215,N,VIIRS,n,1,281,1.1,
51.25588,4.32778,353.7,0.54,0.51,2017-02-13,0106,N,VIIRS,n,1,279.5,24.5,
51.25451,4.33038,334.4,0.32,0.55,2017-02-13,0246,N,VIIRS,n,1,275.4,4.1,
51.27435,4.3218,331.3,0.42,0.38,2017-03-10,0137,N,VIIRS,n,1,272.7,3.4,
51.26903,4.32866,310.7,0.63,0.72,2017-03-10,0317,N,VIIRS,n,1,277.3,2.7,
51.27576,4.28128,314.3,0.42,0.61,2017-03-11,0258,N,VIIRS,n,1,272.6,1,
51.2679,4.31711,328.5,0.6,0.53,2017-03-15,1131,N,VIIRS,n,1,287.9,4.2,
51.26783,4.32625,296.3,0.53,0.42,2017-04-01,0124,N,VIIRS,n,1,284.3,1.7,
51.27619,4.27574,297.5,0.47,0.4,2017-04-06,0130,N,VIIRS,n,1,275.8,0.7,
51.26685,4.32484,304.1,0.39,0.36,2017-04-10,0156,N,VIIRS,n,1,287.2,1.4,
51.26693,4.3246,295.5,0.55,0.42,2017-04-14,0221,N,VIIRS,n,1,280.6,2,
51.25475,4.3293,309.4,0.4,0.37,2017-04-16,0143,N,VIIRS,n,1,277.9,1.5,
51.23932,4.32197,338.1,0.55,0.51,2017-04-29,0239,N,VIIRS,n,1,275.7,5.4,
51.26645,4.32612,307.2,0.38,0.36,2017-05-23,0149,N,VIIRS,n,1,288.6,2,
51.26617,4.32565,300,0.47,0.48,2017-05-25,0112,N,VIIRS,n,1,286.2,1.8,
51.27976,4.27495,299.6,0.6,0.71,2017-05-27,0034,N,VIIRS,n,1,289.5,1.3,
51.2663,4.32471,304.3,0.49,0.4,2017-05-27,0214,N,VIIRS,n,1,292.1,1.8,
51.27587,4.28383,345,0.63,0.72,2017-05-27,1343,N,VIIRS,n,1,295.2,8.4,
51.27708,4.28505,338,0.63,0.72,2017-05-27,1343,N,VIIRS,n,1,295.2,7.4,
51.26557,4.32492,299.6,0.4,0.44,2017-05-30,0118,N,VIIRS,n,1,286.5,1.3,
51.26815,4.32531,301.2,0.32,0.55,2017-05-31,0059,N,VIIRS,n,1,287.2,1.4,
51.26702,4.32717,305.2,0.41,0.37,2017-06-02,0202,N,VIIRS,n,1,291.2,1.9,
51.26768,4.32888,296.4,0.63,0.72,2017-06-14,0317,N,VIIRS,n,1,285.5,2.6,
51.26591,4.32718,298.5,0.4,0.44,2017-06-15,0118,N,VIIRS,n,1,284.2,1,
51.26671,4.32348,303.1,0.41,0.37,2017-06-18,0202,N,VIIRS,n,1,290.2,1.7,
51.3544,4.28326,302.9,0.4,0.37,2017-06-19,0143,N,VIIRS,n,1,290.7,1,
51.26599,4.32508,299.5,0.71,0.75,2017-06-19,0323,N,VIIRS,n,1,289.2,2.3,
51.26514,4.32525,297.1,0.44,0.38,2017-06-23,0208,N,VIIRS,n,1,281.7,0.8,
51.1649,4.33488,295.4,0.49,0.41,2017-01-03,0215,N,VIIRS,n,1,273.9,1,
51.16514,4.3342,295.8,0.46,0.47,2017-02-02,0112,N,VIIRS,n,1,278,0.6,
51.16464,4.33334,297.2,0.42,0.45,2017-02-14,0227,N,VIIRS,n,1,274.3,0.9,
51.16537,4.32984,304.8,0.44,0.39,2017-02-15,0209,N,VIIRS,n,1,277.5,0.9,
51.1643,4.33369,305.5,0.38,0.36,2017-02-16,0150,N,VIIRS,n,1,278.3,0.8,
51.16466,4.33367,295.5,0.42,0.38,2017-03-26,0137,N,VIIRS,n,1,279.3,0.5,
51.16561,4.33174,301.4,0.44,0.38,2017-04-04,0208,N,VIIRS,n,1,281.7,1.4,
51.16537,4.3298,300.2,0.38,0.36,2017-04-05,0149,N,VIIRS,n,1,282.3,1.2,
51.16592,4.33339,302.7,0.39,0.36,2017-04-10,0156,N,VIIRS,n,1,282.7,1,
51.16422,4.33525,295.4,0.55,0.43,2017-04-14,0221,N,VIIRS,n,1,277.7,1.7,
