latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
50.57183,5.36536,298,0.3,0.6,2017-09-04,0236,N,VIIRS,n,1.0NRT,277.2,0.6,N
50.47151,3.99324,310.7,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,281.7,1,N
50.57012,5.36597,302.5,0.4,0.4,2017-09-18,0136,N,VIIRS,n,1.0NRT,279.3,1,N
50.43023,4.48833,308.9,0.4,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,278,1,N
50.57628,3.44092,295.3,0.4,0.4,2017-09-23,0142,N,VIIRS,n,1.0NRT,282.6,0.4,N
50.5693,5.36627,301.6,0.5,0.5,2017-09-25,0106,N,VIIRS,n,1.0NRT,283.4,1.4,N
50.47219,3.98964,299.6,0.6,0.5,2017-10-06,0236,N,VIIRS,n,1.0NRT,279.7,1.6,N
50.57436,3.44004,296.1,0.4,0.4,2017-10-14,0148,N,VIIRS,n,1.0NRT,284,0.5,N
50.56983,5.36907,298.6,0.32,0.55,2017-11-07,0236,N,VIIRS,n,1.0NRT,274.6,0.6,N
50.4719,3.9936,307.9,0.39,0.37,2017-11-26,0142,N,VIIRS,n,1.0NRT,275,0.9,N
51.16761,3.81552,329.7,0.4,0.4,2017-09-01,0154,N,VIIRS,n,1.0NRT,286.9,2.6,N
51.16723,3.81398,336.1,0.4,0.4,2017-09-02,0136,N,VIIRS,n,1.0NRT,285.1,4.6,N
51.16798,3.80778,312.3,0.4,0.4,2017-09-02,0136,N,VIIRS,n,1.0NRT,284.3,2.9,N
51.17374,3.80731,321.9,0.6,0.7,2017-09-02,0312,N,VIIRS,n,1.0NRT,281.4,4.7,N
51.16992,3.81414,327.1,0.4,0.6,2017-09-03,0254,N,VIIRS,n,1.0NRT,282.8,2.4,N
51.16141,3.80062,325.6,0.4,0.4,2017-09-05,1206,N,VIIRS,n,1.0NRT,288.6,2.2,D
51.17056,3.80943,338.4,0.4,0.4,2017-09-05,1206,N,VIIRS,n,1.0NRT,292.1,3.1,D
51.16926,3.80645,313.6,0.5,0.7,2017-09-10,0042,N,VIIRS,n,1.0NRT,282.6,2.3,N
51.17321,3.8118,327.7,0.4,0.5,2017-09-10,0224,N,VIIRS,n,1.0NRT,283.8,2.6,N
51.17381,3.8071,329.5,0.4,0.4,2017-09-12,0148,N,VIIRS,n,1.0NRT,284.8,2.2,N
51.17299,3.81256,343.3,0.4,0.4,2017-09-12,0148,N,VIIRS,n,1.0NRT,285.6,2.2,N
51.16563,3.81552,314,0.4,0.4,2017-09-12,0148,N,VIIRS,n,1.0NRT,284.3,6.5,N
51.17035,3.81881,295.8,0.5,0.5,2017-09-14,0112,N,VIIRS,n,1.0NRT,278.1,1.2,N
51.16875,3.81084,331.8,0.4,0.4,2017-09-15,1218,N,VIIRS,n,1.0NRT,289.8,6.8,D
51.18162,3.81334,295.4,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,276.9,0.7,N
51.17564,3.81155,318.9,0.4,0.4,2017-09-18,0136,N,VIIRS,n,1.0NRT,267.7,1.7,N
51.17001,3.80557,314.7,0.3,0.6,2017-09-20,0100,N,VIIRS,n,1.0NRT,282.9,4.5,N
51.17609,3.81188,328.8,0.5,0.7,2017-09-21,0036,N,VIIRS,n,1.0NRT,281.6,3.8,N
51.17605,3.80905,314.1,0.5,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,283.9,3,N
51.17489,3.80994,335.2,0.5,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,285.4,6.4,N
51.17208,3.80733,342,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,275.8,2.2,N
51.17108,3.81292,302.1,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,272.8,2.2,N
51.16879,3.80584,313.8,0.4,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,274.2,1.9,N
51.17158,3.81384,300.3,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,281.3,4,N
51.16767,3.81289,331.3,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,285.2,4,N
51.17034,3.79947,297,0.5,0.4,2017-09-24,0124,N,VIIRS,n,1.0NRT,285.1,1.5,N
51.16681,3.80352,298.2,0.5,0.7,2017-09-24,0300,N,VIIRS,n,1.0NRT,282.3,2.7,N
51.165,3.80745,298,0.6,0.6,2017-09-25,0242,N,VIIRS,n,1.0NRT,281.9,1.4,N
51.18163,3.81418,296.4,0.4,0.5,2017-09-26,0224,N,VIIRS,n,1.0NRT,276.7,0.9,N
51.17228,3.8018,299.3,0.5,0.5,2017-10-01,0230,N,VIIRS,n,1.0NRT,277.9,1.3,N
51.1684,3.80948,325.4,0.5,0.4,2017-10-02,1200,N,VIIRS,n,1.0NRT,290.2,6.1,D
51.17169,3.81099,332.7,0.5,0.7,2017-10-05,1106,N,VIIRS,n,1.0NRT,282.5,5,D
51.17621,3.81401,321.2,0.6,0.5,2017-10-11,0106,N,VIIRS,n,1.0NRT,267.7,2.8,N
51.16013,3.79742,295.8,0.5,0.7,2017-10-12,0042,N,VIIRS,n,1.0NRT,285.1,1.5,N
51.17363,3.81125,313.6,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,281.2,1.2,N
51.17107,3.80334,306.2,0.4,0.5,2017-10-12,0224,N,VIIRS,n,1.0NRT,283,1,N
