latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.96455,16.69436,312.6,0.39,0.36,2017-11-02,0054,N,VIIRS,n,1.0NRT,269.8,1.3,N
44.07597,16.62774,339.4,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,282.8,8.9,D
44.01987,16.61055,330.1,0.4,0.6,2017-09-30,1236,N,VIIRS,n,1.0NRT,291.4,2.5,D
44.07051,16.62766,344.9,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,279.9,5.6,N
44.06959,16.61515,338.2,0.61,0.71,2017-10-28,1030,N,VIIRS,n,1.0NRT,280.6,13.9,D
44.07912,16.63437,350.1,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,283,5.6,D
43.96227,16.69789,327.6,0.49,0.48,2017-11-02,1218,N,VIIRS,n,1.0NRT,266.4,3.7,D
43.44854,17.96397,316.8,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,287.3,2.4,N
44.0698,16.63245,310.3,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,277.9,1.4,N
44.06794,16.62193,329.1,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,279.1,5.6,N
44.06394,16.62577,303.3,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,273.9,1.8,N
44.0736,16.6197,349.8,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,284.8,10.5,D
44.07313,16.61458,341.8,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,284.3,18.4,D
44.07865,16.62925,325,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,280.2,5.6,D
44.07818,16.62413,348.6,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,283,5.1,D
44.07553,16.62261,367,0.41,0.45,2017-10-28,1212,N,VIIRS,l,1.0NRT,285.4,8.9,D
44.07123,16.62287,326.3,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,277.4,5.6,N
44.06908,16.63724,297.5,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,276.5,1.4,N
44.06757,16.6147,332.1,0.61,0.71,2017-10-28,1030,N,VIIRS,n,1.0NRT,280.4,5.2,D
45.09333,16.44236,335.1,0.4,0.4,2017-10-13,1154,N,VIIRS,n,1.0NRT,293.1,3.9,D
44.79836,15.91908,316.4,0.43,0.38,2017-12-26,0042,N,VIIRS,n,1.0NRT,273.7,1.8,N
43.98172,16.68579,367,0.42,0.61,2017-11-01,1236,N,VIIRS,n,1.0NRT,297.1,15.1,D
43.98153,16.68043,367,0.42,0.61,2017-11-01,1236,N,VIIRS,n,1.0NRT,291.7,15.1,D
44.06466,16.62098,322.6,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,278.3,1.8,N
44.06065,16.62482,303.5,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,273.1,1.8,N
44.07605,16.61804,350.8,0.61,0.71,2017-10-28,1030,N,VIIRS,n,1.0NRT,282.3,14.4,D
44.07407,16.62481,343.5,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,283.8,10.5,D
44.07959,16.63947,338.6,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,284.4,8.7,D
44.07771,16.61901,331.9,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,280.9,5.1,D
44.07509,16.61749,355.5,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,287.5,23.4,D
44.08097,16.63729,367,0.41,0.45,2017-10-28,1212,N,VIIRS,l,1.0NRT,283.3,8.2,D
43.50765,18.01421,347.4,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,309.3,7.4,D
44.06651,16.6315,318.3,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,277.1,1.4,N
44.06137,16.62003,332.9,0.39,0.36,2017-10-28,0048,N,VIIRS,n,1.0NRT,278.6,1.8,N
44.08053,16.63218,338.9,0.41,0.45,2017-10-28,1212,N,VIIRS,n,1.0NRT,279.8,8.2,D
44.0148,16.61283,326.1,0.41,0.61,2017-11-01,1236,N,VIIRS,n,1.0NRT,290.1,3.5,D
44.22048,17.90754,304.5,0.51,0.66,2017-10-25,2342,N,VIIRS,n,1.0NRT,276.1,1.2,N
43.45053,17.9987,341.2,0.5,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,304.2,12,D
43.5802,17.65203,334.1,0.5,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,278.2,5.7,D
44.98855,18.74511,329,0.4,0.37,2017-10-19,1142,N,VIIRS,n,1.0NRT,300.6,2.3,D
43.50494,18.01476,296.8,0.4,0.6,2017-09-01,2354,N,VIIRS,n,1.0NRT,284.1,1.4,N
44.62047,19.22937,334.8,0.4,0.44,2017-10-21,1100,N,VIIRS,n,1.0NRT,294.7,3.6,D
43.49025,18.01235,320.4,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,280.7,1.6,N
43.50444,17.96286,296,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,281.3,1.3,N
43.10372,18.44608,323.4,0.4,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,287.9,2.5,N
43.49493,17.99383,302.1,0.6,0.7,2017-09-01,0154,N,VIIRS,n,1.0NRT,282.9,1,N
43.44667,17.96588,334.5,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,297.5,5,D
43.50478,18.0179,308.7,0.4,0.6,2017-09-01,2354,N,VIIRS,n,1.0NRT,285.6,1.4,N
43.50389,17.95712,315.5,0.4,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,285,1,N
43.57935,17.64228,295.9,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,284.5,0.3,N
43.56524,17.63685,299.3,0.4,0.6,2017-09-01,2354,N,VIIRS,n,1.0NRT,283.2,1.5,N
45.03058,17.41537,325.5,0.4,0.4,2017-10-03,1142,N,VIIRS,n,1.0NRT,288.2,1.8,D
44.9964,17.94185,336.2,0.5,0.5,2017-10-16,1054,N,VIIRS,n,1.0NRT,292.2,6.2,D
45.00528,17.13421,326.8,0.5,0.4,2017-10-02,1200,N,VIIRS,n,1.0NRT,290.8,2.2,D
43.81505,18.367,327.3,0.4,0.4,2017-10-03,1142,N,VIIRS,n,1.0NRT,294.2,2.1,D
44.86029,19.31736,326.7,0.3,0.6,2017-09-15,1218,N,VIIRS,n,1.0NRT,294.7,1.5,D
44.55019,18.50562,327.3,0.5,0.4,2017-10-02,1200,N,VIIRS,n,1.0NRT,295.4,3.4,D
45.17719,16.78361,330.5,0.5,0.4,2017-10-02,1200,N,VIIRS,n,1.0NRT,290.7,2.6,D
45.09547,18.32508,333.6,0.59,0.53,2017-10-17,1218,N,VIIRS,n,1.0NRT,292.4,3.8,D
44.95346,17.37189,337.8,0.38,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,299,3.3,D
44.22141,17.89903,307.5,0.35,0.57,2017-10-19,2354,N,VIIRS,n,1.0NRT,281.1,0.9,N
43.45124,17.9701,296,0.6,0.7,2017-09-01,0154,N,VIIRS,n,1.0NRT,283.2,1.5,N
43.44859,17.95572,343.8,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,295.8,4.8,D
43.49782,18.01711,338.6,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,312.1,22.5,D
43.50767,17.95626,306,0.4,0.6,2017-09-01,2354,N,VIIRS,n,1.0NRT,283.7,1.1,N
43.57915,17.64667,332,0.5,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,275.3,4.6,D
43.05732,17.78627,317.9,0.46,0.63,2017-10-25,0142,N,VIIRS,n,1.0NRT,280.9,6.8,N
42.76966,18.46697,301,0.6,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,289.3,2.6,N
43.44372,17.97083,309.3,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,283.4,1.5,N
43.10331,18.45033,300.2,0.4,0.4,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.6,0.9,N
43.13643,18.06267,310.5,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,278.4,2.5,N
43.44714,17.96037,328.1,0.6,0.7,2017-09-01,0154,N,VIIRS,n,1.0NRT,286.9,5.5,N
43.50232,17.9555,325.9,0.4,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,286.9,2.7,N
44.91683,18.10999,325.3,0.5,0.7,2017-10-16,1236,N,VIIRS,n,1.0NRT,293.5,3.1,D
43.562,17.63995,295.1,0.4,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,281.6,0.8,N
43.05371,17.7753,367,0.46,0.63,2017-10-25,0142,N,VIIRS,n,1.0NRT,281.6,9,N
44.95394,18.75199,331.9,0.4,0.4,2017-09-06,1148,N,VIIRS,n,1.0NRT,299.6,5.1,D
45.03918,18.42052,325.1,0.4,0.4,2017-10-03,1142,N,VIIRS,l,1.0NRT,296.4,2.9,D
45.10841,17.61731,331.9,0.39,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,297.9,3.3,D
44.55109,18.50403,311.6,0.45,0.39,2017-12-25,0100,N,VIIRS,n,1.0NRT,275,1.9,N
43.5756,17.63638,296.3,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.1,0.8,N
43.57098,17.64029,301.7,0.4,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,286.6,1.5,N
43.57788,17.64286,353.7,0.4,0.4,2017-09-01,1142,N,VIIRS,n,1.0NRT,308.1,30.8,D
43.5743,17.6193,331.4,0.4,0.4,2017-09-01,1142,N,VIIRS,n,1.0NRT,299.7,2.8,D
43.58116,17.64192,345.7,0.4,0.4,2017-09-01,1142,N,VIIRS,n,1.0NRT,302.1,30.8,D
43.58228,17.62683,335.4,0.4,0.4,2017-09-01,1142,N,VIIRS,n,1.0NRT,301.2,12.2,D
43.05551,17.79047,301.8,0.58,0.52,2017-10-25,0000,N,VIIRS,n,1.0NRT,280.9,9.6,N
43.05917,17.77841,367,0.46,0.63,2017-10-25,0142,N,VIIRS,n,1.0NRT,282.7,17.3,N
43.05508,17.77233,306.7,0.46,0.63,2017-10-25,0142,N,VIIRS,n,1.0NRT,279.4,7.7,N
43.06026,17.77332,327.6,0.42,0.38,2017-10-25,1124,N,VIIRS,n,1.0NRT,293.2,7.1,D
43.06797,17.77614,342.6,0.42,0.38,2017-10-25,1124,N,VIIRS,n,1.0NRT,296,7.7,D
43.07318,17.78518,356.3,0.42,0.38,2017-10-25,1124,N,VIIRS,n,1.0NRT,294.2,8,D
43.07137,17.775,345.3,0.42,0.38,2017-10-25,1124,N,VIIRS,n,1.0NRT,293.9,8.2,D
43.07511,17.78698,352.1,0.42,0.38,2017-10-25,1124,N,VIIRS,n,1.0NRT,292,9.2,D
43.07326,17.77682,345.5,0.42,0.38,2017-10-25,1124,N,VIIRS,n,1.0NRT,292.2,3.9,D
43.06047,17.79851,339.5,0.39,0.36,2017-10-30,1130,N,VIIRS,n,1.0NRT,290.6,3.3,D
44.77305,19.2963,332.9,0.4,0.4,2017-10-15,1112,N,VIIRS,n,1.0NRT,298.3,2.9,D
44.75869,19.32216,327.5,0.41,0.37,2017-10-19,1142,N,VIIRS,n,1.0NRT,299.3,1.8,D
44.03725,17.09332,297.3,0.5,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,283.4,0.8,N
44.03633,17.10456,296.4,0.5,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,284.8,1,N
