latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.92149,18.63448,329,0.39,0.36,2017-03-25,1141,N,VIIRS,n,1,291.3,3.8,
43.86934,19.12078,338.8,0.39,0.36,2017-03-31,1128,N,VIIRS,n,1,298.4,4.5,
44.34071,19.03869,295.9,0.78,0.78,2017-04-01,2326,N,VIIRS,n,1,281.4,1.4,
44.20225,18.99124,310,0.53,0.42,2017-04-02,0107,N,VIIRS,n,1,279.1,2.3,
43.82713,18.90974,335.7,0.44,0.63,2017-04-02,1231,N,VIIRS,n,1,295,4.4,
43.66447,19.49647,329.2,0.48,0.48,2017-07-12,1057,N,VIIRS,n,1,298.7,3.4,
43.71461,17.08188,343.4,0.39,0.36,2017-01-02,0055,N,VIIRS,n,1,269.2,5.2,
43.70872,17.05523,312,0.39,0.36,2017-01-02,0055,N,VIIRS,n,1,266.3,1.4,
43.75045,16.99642,308.2,0.54,0.51,2017-02-16,0011,N,VIIRS,n,1,271.7,1.6,
43.71964,17.07544,325.2,0.48,0.64,2017-02-16,0151,N,VIIRS,n,1,273.8,3.1,
43.77213,16.99043,330.9,0.4,0.37,2017-02-16,1135,N,VIIRS,n,1,291.3,2.2,
43.72502,16.94578,332.7,0.39,0.36,2017-03-14,1147,N,VIIRS,n,1,287.2,5.1,
44.05496,17.11579,332,0.43,0.62,2017-03-28,1045,N,VIIRS,n,1,292.5,5.6,
44.06659,17.14945,332.6,0.54,0.42,2017-03-29,1206,N,VIIRS,n,1,296,3.7,
43.73666,17.15972,335.5,0.43,0.38,2017-03-31,1128,N,VIIRS,n,1,301.4,5.4,
43.76793,17.05187,330.4,0.44,0.38,2017-03-31,1128,N,VIIRS,l,1,301.9,2.5,
43.81191,17.10866,328.8,0.43,0.38,2017-03-31,1128,N,VIIRS,l,1,302.3,7.3,
43.81635,17.11285,337.8,0.43,0.38,2017-03-31,1128,N,VIIRS,n,1,306.6,7.4,
43.81436,17.10217,351.6,0.43,0.38,2017-03-31,1128,N,VIIRS,n,1,301.2,24.9,
43.8198,17.11173,345,0.43,0.38,2017-03-31,1128,N,VIIRS,n,1,303.1,7.4,
43.8188,17.10639,348.4,0.43,0.38,2017-03-31,1128,N,VIIRS,n,1,300.8,7.4,
44.06005,17.16182,337.3,0.36,0.57,2017-04-02,1051,N,VIIRS,n,1,296.6,2.3,
43.94958,16.92896,298.1,0.39,0.36,2017-04-03,0048,N,VIIRS,n,1,272.4,0.6,
43.8569,16.97668,340,0.38,0.36,2017-04-10,1141,N,VIIRS,n,1,300.8,4,
43.28413,17.99878,296.2,0.45,0.39,2017-02-15,0030,N,VIIRS,n,1,268.6,0.6,
43.32378,18.09134,332.2,0.38,0.36,2017-03-25,1141,N,VIIRS,l,1,302.8,3.4,
43.35423,18.11229,332.8,0.39,0.36,2017-03-25,1141,N,VIIRS,n,1,301,2.5,
43.28206,18.1178,342.6,0.41,0.45,2017-04-01,1109,N,VIIRS,n,1,298.5,4.4,
43.31993,18.22892,327.7,0.51,0.41,2017-04-09,1200,N,VIIRS,n,1,294.9,1.7,
42.89751,18.16932,349.7,0.42,0.37,2017-03-15,1128,N,VIIRS,n,1,295.7,9.2,
42.90088,18.16823,342.5,0.42,0.37,2017-03-15,1128,N,VIIRS,n,1,292.1,4.2,
42.9113,18.16176,336,0.5,0.41,2017-04-09,1200,N,VIIRS,n,1,297.6,3.7,
45.09062,17.40893,336.5,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,295.6,5.6,
44.97562,17.55701,336.2,0.39,0.36,2017-03-20,1135,N,VIIRS,n,1,294.1,4.2,
45.066,17.5454,345,0.39,0.36,2017-03-20,1135,N,VIIRS,n,1,292.3,8.4,
44.95671,17.5477,342.8,0.51,0.41,2017-03-21,1116,N,VIIRS,n,1,296.4,10.1,
44.95456,17.40931,326.9,0.52,0.41,2017-03-21,1116,N,VIIRS,n,1,299.8,2.7,
45.01247,17.58364,345,0.32,0.55,2017-03-28,1225,N,VIIRS,n,1,293.9,3.2,
45.04416,16.61507,328.5,0.41,0.45,2017-02-14,1213,N,VIIRS,n,1,282.7,2.6,
45.00179,16.65878,325.4,0.5,0.49,2017-02-23,1104,N,VIIRS,n,1,287.4,4.6,
45.18842,17.05697,329.7,0.48,0.48,2017-02-23,1104,N,VIIRS,n,1,288.2,3.1,
44.81521,16.54272,332.4,0.4,0.37,2017-03-04,1135,N,VIIRS,n,1,290.3,8.2,
44.99087,16.67678,332.5,0.4,0.37,2017-03-04,1135,N,VIIRS,n,1,292.4,7,
45.04808,16.68413,327,0.4,0.37,2017-03-04,1135,N,VIIRS,n,1,294.1,1.7,
45.05891,16.53127,332.2,0.44,0.46,2017-03-16,1110,N,VIIRS,n,1,288.7,4.3,
45.04805,16.4646,329.9,0.44,0.46,2017-03-16,1110,N,VIIRS,n,1,290.6,1.8,
44.99947,16.54751,326.1,0.59,0.7,2017-03-16,1251,N,VIIRS,n,1,284.4,2.5,
44.84619,16.51313,326.4,0.36,0.58,2017-03-17,1051,N,VIIRS,n,1,294.1,3.9,
44.84488,16.50842,332.4,0.36,0.58,2017-03-17,1051,N,VIIRS,n,1,295.2,3.4,
44.77484,16.53078,326.7,0.34,0.56,2017-03-17,1232,N,VIIRS,n,1,294.5,2.3,
44.82746,17.00942,327.1,0.36,0.58,2017-03-17,1232,N,VIIRS,n,1,294.4,2.8,
44.901,17.08836,341.7,0.37,0.58,2017-03-17,1232,N,VIIRS,n,1,294.5,3.5,
45.03768,16.65947,329.5,0.35,0.57,2017-03-17,1232,N,VIIRS,n,1,296.4,3.1,
45.05666,16.61159,344.6,0.35,0.57,2017-03-17,1232,N,VIIRS,n,1,296.5,3,
45.09805,16.81584,326.2,0.36,0.57,2017-03-17,1232,N,VIIRS,n,1,293.2,1.6,
45.09311,16.71021,350.1,0.35,0.57,2017-03-17,1232,N,VIIRS,n,1,297.9,3.6,
45.15797,16.89813,333.6,0.36,0.57,2017-03-17,1232,N,VIIRS,n,1,292.9,2,
44.81845,16.43712,301.1,0.54,0.42,2017-03-19,0029,N,VIIRS,n,1,270,1.7,
45.04267,17.17117,326.1,0.43,0.38,2017-03-19,1154,N,VIIRS,n,1,279.6,2.4,
44.9113,16.59593,333.6,0.4,0.37,2017-03-20,1135,N,VIIRS,n,1,293.4,4.9,
45.05237,17.05692,334.4,0.53,0.42,2017-03-21,1116,N,VIIRS,n,1,290.8,6.5,
44.83218,16.53398,298,0.48,0.4,2017-03-22,0113,N,VIIRS,n,1,276.2,0.5,
44.83097,16.53992,301.9,0.48,0.4,2017-03-22,0113,N,VIIRS,n,1,275.3,0.9,
45.20436,16.93924,334.4,0.43,0.62,2017-03-22,1238,N,VIIRS,n,1,292.3,3.1,
45.06206,17.04055,331.6,0.38,0.36,2017-03-25,1141,N,VIIRS,n,1,292.9,2.4,
45.05519,16.66336,327.5,0.38,0.36,2017-03-25,1141,N,VIIRS,n,1,293.1,1.7,
45.12392,16.96011,330.1,0.6,0.53,2017-03-28,1225,N,VIIRS,n,1,295.8,4.8,
45.00391,16.50691,325.9,0.68,0.74,2017-03-29,1026,N,VIIRS,n,1,291.9,3.4,
45.00037,16.50747,346,0.52,0.42,2017-03-29,1206,N,VIIRS,n,1,300.4,7.7,
44.92764,16.45748,328,0.44,0.38,2017-03-31,1129,N,VIIRS,n,1,297.4,2.2,
45.11441,16.79724,350,0.35,0.56,2017-04-02,1051,N,VIIRS,n,1,297.6,3.3,
