latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
44.10232,26.95996,300.9,0.38,0.58,2017-02-23,2320,N,VIIRS,n,1,275.5,0.5,
43.62587,23.30581,327.5,0.45,0.47,2017-02-24,1045,N,VIIRS,n,1,290.5,1.8,
43.71725,23.28599,351.9,0.63,0.54,2017-03-02,1032,N,VIIRS,n,1,297.7,89.5,
43.48933,23.27915,349.6,0.42,0.61,2017-03-02,1213,N,VIIRS,n,1,293.8,5.8,
43.58627,26.38408,328.8,0.4,0.37,2017-03-22,1057,N,VIIRS,n,1,297.2,2.3,
43.36661,24.92621,330.2,0.44,0.38,2017-03-22,1057,N,VIIRS,n,1,300.2,3.9,
43.82418,26.4517,343.8,0.4,0.37,2017-03-22,1057,N,VIIRS,n,1,298,6.1,
43.69779,26.83073,328.9,0.51,0.49,2017-04-26,1141,N,VIIRS,l,1,303.6,2.9,
43.56631,23.55363,338.6,0.52,0.5,2017-07-13,1038,N,VIIRS,n,1,299.3,6.7,
43.55416,23.38315,354.8,0.59,0.53,2017-07-14,1200,N,VIIRS,n,1,316.2,25.9,
43.67474,25.59608,333.3,0.38,0.59,2017-07-14,1200,N,VIIRS,n,1,296.4,4.7,
43.64573,23.33188,367,0.38,0.58,2017-07-19,1026,N,VIIRS,h,1,297,5.3,
43.46441,23.69962,343.3,0.36,0.58,2017-07-19,1206,N,VIIRS,n,1,296.6,12.7,
43.5546,24.10133,298.6,0.38,0.36,2017-07-20,0023,N,VIIRS,n,1,286.7,0.4,
43.36966,23.65132,309.1,0.49,0.65,2017-07-22,0125,N,VIIRS,n,1,287.4,3.1,
43.96989,27.57847,335.6,0.4,0.37,2017-07-22,1109,N,VIIRS,n,1,301.7,3.7,
43.60689,24.37965,338.7,0.39,0.36,2017-07-22,1109,N,VIIRS,n,1,312.1,4.5,
43.6565,24.16541,342.2,0.39,0.36,2017-07-22,1109,N,VIIRS,n,1,311.5,6.9,
43.42935,23.91853,334.7,0.55,0.43,2017-07-23,1050,N,VIIRS,l,1,307.4,4.4,
43.65308,23.96264,339.5,0.54,0.42,2017-07-23,1051,N,VIIRS,n,1,307.7,7.4,
43.56069,23.9212,306.1,0.42,0.38,2017-07-26,0010,N,VIIRS,n,1,267.7,1.4,
43.57153,24.34786,343.3,0.5,0.41,2017-07-26,1134,N,VIIRS,n,1,299.1,6.6,
43.6637,23.18489,310.1,0.41,0.6,2017-07-27,2332,N,VIIRS,n,1,285,1.5,
43.64754,23.23438,323.8,0.4,0.6,2017-07-27,2332,N,VIIRS,n,1,285,2.1,
43.59557,24.50309,307.1,0.6,0.71,2017-07-28,2313,N,VIIRS,n,1,285.4,3.1,
43.59551,24.51059,311.5,0.6,0.71,2017-07-28,2313,N,VIIRS,n,1,285.6,1.5,
43.67054,23.13359,300.6,0.39,0.44,2017-07-29,0054,N,VIIRS,n,1,288.9,0.5,
43.34986,23.92174,307.3,0.43,0.46,2017-07-29,0054,N,VIIRS,n,1,288.6,1.3,
43.4326,23.53376,307.8,0.42,0.38,2017-07-30,0035,N,VIIRS,n,1,286.9,1,
