latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.44725,26.56437,302.1,0.4,0.5,2017-09-02,2336,N,VIIRS,n,1.0NRT,286.8,0.5,N
43.49249,27.5165,333.3,0.4,0.4,2017-09-25,1048,N,VIIRS,n,1.0NRT,277.4,3.5,D
43.93688,27.85382,331.9,0.5,0.41,2017-10-17,1036,N,VIIRS,n,1.0NRT,298.8,6.9,D
42.33798,26.6901,331.5,0.51,0.41,2017-10-22,1042,N,VIIRS,n,1.0NRT,298,2,D
42.50881,26.0988,333.1,0.4,0.4,2017-09-24,1106,N,VIIRS,n,1.0NRT,305.5,2.2,D
42.28875,26.21525,332.3,0.4,0.4,2017-10-10,1106,N,VIIRS,n,1.0NRT,296.5,2.7,D
43.94925,26.48796,302,0.5,0.5,2017-09-18,2336,N,VIIRS,n,1.0NRT,285.3,1,N
43.85518,27.81707,326.3,0.5,0.5,2017-10-14,1130,N,VIIRS,n,1.0NRT,290.7,1.6,D
43.9888,27.15376,340.2,0.57,0.52,2017-10-18,1018,N,VIIRS,n,1.0NRT,300.3,5.8,D
44.03262,26.59429,338.8,0.4,0.4,2017-09-03,1100,N,VIIRS,n,1.0NRT,302.8,3.9,D
43.94938,26.26958,336,0.4,0.4,2017-09-24,1106,N,VIIRS,n,1.0NRT,297.7,2.6,D
42.17451,24.98492,328.6,0.41,0.37,2017-11-06,1100,N,VIIRS,n,1.0NRT,288.1,3.8,D
44.03335,26.59904,333.4,0.4,0.4,2017-09-03,1100,N,VIIRS,n,1.0NRT,303.4,3.9,D
44.06471,26.6323,330.4,0.4,0.4,2017-09-24,1106,N,VIIRS,n,1.0NRT,292.7,1.4,D
43.47839,27.13036,333.7,0.54,0.42,2017-10-17,1036,N,VIIRS,n,1.0NRT,299.1,5.9,D
43.34652,25.9091,345.5,0.4,0.4,2017-09-14,1054,N,VIIRS,n,1.0NRT,307.3,8.6,D
43.35184,25.44277,328,0.6,0.7,2017-10-03,1000,N,VIIRS,n,1.0NRT,294.4,2.9,D
43.68344,23.21122,325.5,0.4,0.6,2017-09-19,0118,N,VIIRS,n,1.0NRT,282.7,1.4,N
43.36494,25.32341,340.6,0.4,0.4,2017-09-14,1054,N,VIIRS,n,1.0NRT,307.8,6.2,D
42.26701,25.89831,344.2,0.4,0.5,2017-09-15,1036,N,VIIRS,n,1.0NRT,312.8,4.4,D
43.46398,25.3641,336.7,0.4,0.6,2017-10-02,1200,N,VIIRS,n,1.0NRT,297.6,2.1,D
43.50785,25.41141,336.3,0.6,0.7,2017-10-03,1000,N,VIIRS,n,1.0NRT,297.7,5,D
43.43752,25.19097,332.6,0.4,0.4,2017-10-05,1100,N,VIIRS,n,1.0NRT,287.9,3.6,D
43.34173,25.84413,331.2,0.34,0.56,2017-10-18,1018,N,VIIRS,n,1.0NRT,292,1.6,D
43.89912,27.82691,333.4,0.5,0.7,2017-10-14,0954,N,VIIRS,n,1.0NRT,288.4,4,D
43.63812,27.85891,339.1,0.39,0.36,2017-10-21,1100,N,VIIRS,n,1.0NRT,300.8,4.4,D
43.43808,23.65526,337.3,0.5,0.4,2017-09-14,1054,N,VIIRS,l,1.0NRT,309.5,5.9,D
43.61137,24.35755,350.4,0.4,0.4,2017-09-24,1106,N,VIIRS,n,1.0NRT,313.3,17.6,D
43.10807,24.73033,342.1,0.47,0.48,2017-10-17,1036,N,VIIRS,n,1.0NRT,299.3,5.5,D
44.13078,22.64407,330,0.39,0.36,2017-10-31,1112,N,VIIRS,n,1.0NRT,287.8,9.6,D
43.66425,28.13574,345.3,0.52,0.5,2017-10-18,1018,N,VIIRS,n,1.0NRT,303.5,20.8,D
43.52774,27.37548,305.8,0.4,0.5,2017-09-02,2336,N,VIIRS,n,1.0NRT,285.8,0.7,N
44.0219,27.20086,317.2,0.4,0.5,2017-09-18,2336,N,VIIRS,n,1.0NRT,286.8,2.1,N
43.96258,27.237,350,0.5,0.5,2017-09-28,1130,N,VIIRS,n,1.0NRT,293.2,46.3,D
44.03188,27.08284,340.4,0.5,0.5,2017-10-03,1142,N,VIIRS,n,1.0NRT,300.2,5,D
43.59627,27.2736,336.9,0.5,0.4,2017-10-04,1118,N,VIIRS,n,1.0NRT,300.3,4.5,D
43.70875,27.30316,344.6,0.5,0.4,2017-10-06,1042,N,VIIRS,n,1.0NRT,296.9,6.2,D
42.39275,26.52539,342.6,0.4,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,296.8,6.8,D
43.96106,27.27555,338.1,0.48,0.48,2017-10-23,1024,N,VIIRS,n,1.0NRT,289,8.1,D
42.22678,24.18833,348.8,0.4,0.4,2017-09-03,1100,N,VIIRS,n,1.0NRT,305.9,7.7,D
43.87984,23.29352,337.4,0.5,0.4,2017-09-14,1054,N,VIIRS,n,1.0NRT,305.3,3.5,D
43.64232,23.62588,338.2,0.7,0.8,2017-10-03,1000,N,VIIRS,n,1.0NRT,292.1,18.8,D
43.74342,23.46963,321.6,0.6,0.7,2017-09-19,2318,N,VIIRS,n,1.0NRT,284.6,2.2,N
43.65534,23.83329,330.9,0.4,0.5,2017-09-20,1042,N,VIIRS,n,1.0NRT,293,5,D
43.59418,24.16768,342.6,0.4,0.4,2017-09-24,1106,N,VIIRS,n,1.0NRT,303.5,4,D
44.15895,22.61267,336.5,0.5,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,302.7,6.4,D
43.59989,23.2119,300.1,0.5,0.7,2017-09-13,0130,N,VIIRS,n,1.0NRT,282.4,0.9,N
43.65065,23.32161,339.9,0.7,0.8,2017-09-14,2312,N,VIIRS,n,1.0NRT,286.4,8.5,N
43.71998,23.18826,337,0.4,0.6,2017-09-19,0118,N,VIIRS,n,1.0NRT,285.3,3.3,N
43.77481,23.36514,325.5,0.4,0.6,2017-09-21,1206,N,VIIRS,n,1.0NRT,284.6,2.1,D
43.7293,23.24441,304.7,0.6,0.5,2017-09-25,0106,N,VIIRS,n,1.0NRT,268.6,1.4,N
43.53598,24.56042,345.6,0.4,0.5,2017-10-03,1142,N,VIIRS,n,1.0NRT,297.7,26.1,D
42.71195,24.17274,329.9,0.6,0.7,2017-09-15,1218,N,VIIRS,l,1.0NRT,302,5.9,D
42.71466,24.17303,316.4,0.6,0.5,2017-09-20,0100,N,VIIRS,n,1.0NRT,286.5,3.7,N
42.71405,24.17364,321.1,0.4,0.6,2017-10-16,0112,N,VIIRS,n,1.0NRT,279.5,1.6,N
42.71523,24.17022,346,0.32,0.55,2017-10-18,1200,N,VIIRS,n,1.0NRT,299.4,3.6,D
43.52621,23.46496,333.6,0.4,0.4,2017-09-24,1106,N,VIIRS,l,1.0NRT,308.4,25.9,D
42.29845,24.6098,329.6,0.4,0.4,2017-10-15,1112,N,VIIRS,n,1.0NRT,298.4,2.6,D
43.56794,23.75189,295.8,0.53,0.67,2017-10-21,2318,N,VIIRS,n,1.0NRT,280.1,1,N
43.41108,24.29779,333.8,0.46,0.39,2017-11-01,1054,N,VIIRS,n,1.0NRT,288.6,4.1,D
42.42749,24.29121,324,0.46,0.39,2017-12-05,0036,N,VIIRS,n,1.0NRT,272.3,3.2,N
43.75457,23.14763,308.9,0.6,0.7,2017-09-19,2318,N,VIIRS,n,1.0NRT,284,1.8,N
43.39615,25.55978,338.8,0.7,0.8,2017-09-15,1218,N,VIIRS,n,1.0NRT,298.2,4.8,D
43.89986,26.69483,339.5,0.5,0.7,2017-09-17,1000,N,VIIRS,n,1.0NRT,304.3,7.4,D
43.461,26.04718,330,0.4,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,303.5,2.1,D
43.5009,23.40364,341.7,0.6,0.5,2017-09-16,1200,N,VIIRS,n,1.0NRT,307.1,16.1,D
43.48608,23.25455,343.6,0.5,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,299.9,3.4,D
43.72878,23.97374,339,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,304.2,2.7,D
43.52263,27.50269,350.9,0.4,0.4,2017-10-15,1112,N,VIIRS,n,1.0NRT,273.4,14,D
43.4175,24.19084,341.8,0.4,0.4,2017-10-15,1112,N,VIIRS,n,1.0NRT,295.9,2.4,D
43.51007,24.86304,331.1,0.4,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,299,2.8,D
43.94417,26.44018,351.3,0.5,0.5,2017-09-17,1142,N,VIIRS,n,1.0NRT,311.3,18.7,D
43.9147,26.4634,336.3,0.4,0.6,2017-09-22,1006,N,VIIRS,n,1.0NRT,277.1,4.5,D
44.04349,27.19454,335.3,0.5,0.5,2017-09-28,1130,N,VIIRS,n,1.0NRT,293.4,3,D
43.9426,27.24726,346.3,0.5,0.4,2017-09-20,1042,N,VIIRS,n,1.0NRT,297.5,66.7,D
43.90558,27.36487,367,0.7,0.8,2017-10-12,1212,N,VIIRS,n,1.0NRT,299.1,33.5,D
44.03773,26.69965,337.8,0.4,0.4,2017-09-17,2354,N,VIIRS,n,1.0NRT,294.1,9.8,N
43.93792,26.70667,339.4,0.4,0.4,2017-09-19,1100,N,VIIRS,n,1.0NRT,303.1,3.4,D
43.91787,26.46992,344.7,0.4,0.6,2017-09-22,1006,N,VIIRS,n,1.0NRT,280.5,44.6,D
43.52998,25.61765,339.4,0.5,0.4,2017-09-23,1124,N,VIIRS,n,1.0NRT,299.6,8.6,D
43.99623,26.64844,318,0.4,0.4,2017-09-23,2342,N,VIIRS,n,1.0NRT,281.4,4.2,N
44.03844,27.23028,351.2,0.6,0.5,2017-10-02,1018,N,VIIRS,n,1.0NRT,297.2,11.4,D
43.78184,27.92601,330.5,0.5,0.5,2017-10-14,1130,N,VIIRS,n,1.0NRT,292.9,3.2,D
43.66853,28.26289,342.3,0.7,0.8,2017-10-12,1212,N,VIIRS,n,1.0NRT,289.5,30,D
43.66269,28.12951,329.6,0.52,0.5,2017-10-18,1018,N,VIIRS,n,1.0NRT,298.5,1.8,D
43.85245,27.90199,367,0.44,0.62,2017-10-19,1000,N,VIIRS,n,1.0NRT,305.5,32,D
