latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
45.44158,18.66059,339.4,0.41,0.45,2017-03-27,1104,N,VIIRS,n,1,292.4,2.4,
43.87451,16.60398,346.1,0.34,0.56,2017-07-23,1231,N,VIIRS,n,1,307.1,5.9,
45.24615,17.17875,356.1,0.47,0.48,2017-02-23,1104,N,VIIRS,n,1,290.6,8.5,
45.25213,17.15614,332.6,0.41,0.45,2017-04-01,1110,N,VIIRS,n,1,298.5,2.2,
43.51615,17.03181,328.6,0.53,0.42,2017-03-29,1206,N,VIIRS,n,1,301.4,3.4,
45.11233,17.90224,342,0.44,0.46,2017-02-23,1104,N,VIIRS,n,1,294.6,24,
45.75801,17.88321,341.3,0.43,0.46,2017-02-23,1104,N,VIIRS,n,1,284.5,15,
45.63223,18.0492,343.8,0.59,0.53,2017-03-17,1051,N,VIIRS,n,1,288.3,6,
45.31088,18.09983,329.9,0.38,0.36,2017-03-20,1135,N,VIIRS,n,1,295,2.3,
45.17499,17.9364,328.9,0.44,0.46,2017-03-27,1104,N,VIIRS,n,1,291.7,3,
45.32853,17.61438,345.8,0.33,0.55,2017-03-28,1225,N,VIIRS,n,1,296.9,3.3,
45.33336,17.73794,329.5,0.39,0.44,2017-03-29,1206,N,VIIRS,n,1,298,3,
45.33889,17.62112,332.8,0.39,0.44,2017-03-29,1207,N,VIIRS,n,1,297.8,2.4,
45.32199,17.63025,326.8,0.41,0.37,2017-03-31,1129,N,VIIRS,n,1,294.6,2.2,
45.74127,17.71798,335.2,0.56,0.43,2017-04-01,1110,N,VIIRS,n,1,300.2,8,
45.41488,18.11848,326.3,0.48,0.65,2017-04-03,1033,N,VIIRS,n,1,290.3,3.1,
43.3182,17.20505,307.7,0.39,0.37,2017-01-02,0055,N,VIIRS,n,1,267.4,1.1,
43.39952,17.27472,325.6,0.43,0.38,2017-01-10,1129,N,VIIRS,n,1,274.8,3,
45.1717,18.38962,328.1,0.43,0.62,2017-03-17,1232,N,VIIRS,n,1,293.2,1.5,
45.77303,17.00261,327.7,0.44,0.46,2017-02-14,1213,N,VIIRS,n,1,280,2.5,
45.6488,17.12691,341.5,0.53,0.67,2017-02-23,1245,N,VIIRS,n,1,284.8,6.8,
45.66136,17.12007,335.2,0.53,0.67,2017-02-23,1245,N,VIIRS,n,1,282.5,6.1,
45.58878,17.11239,346.6,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,295.7,9.6,
45.56245,17.33871,330.4,0.45,0.63,2017-03-22,1238,N,VIIRS,n,1,292.6,3.2,
45.63662,17.01359,329.6,0.38,0.36,2017-03-25,1141,N,VIIRS,n,1,290.2,1.8,
46.09574,17.02649,367,0.52,0.67,2017-03-27,1245,N,VIIRS,h,1,292.6,7.5,
45.67118,16.89432,326.7,0.41,0.45,2017-04-01,1110,N,VIIRS,n,1,297.4,0.9,
45.8593,17.42954,328.7,0.38,0.43,2017-04-01,1110,N,VIIRS,l,1,299.2,2.6,
46.1191,17.16129,334.5,0.63,0.72,2017-04-01,1251,N,VIIRS,n,1,294.3,4.1,
45.90947,17.35661,340.9,0.45,0.47,2017-04-03,1213,N,VIIRS,n,1,303.5,2.9,
45.23994,17.41768,328.3,0.32,0.55,2017-03-17,1051,N,VIIRS,n,1,290,2.1,
45.44485,17.12235,329.9,0.56,0.51,2017-03-22,1058,N,VIIRS,n,1,294.2,5.6,
45.44707,17.12775,339,0.55,0.51,2017-03-22,1058,N,VIIRS,n,1,294.8,7.7,
45.35889,16.9687,331.9,0.48,0.4,2017-03-24,1200,N,VIIRS,n,1,268.1,4.9,
45.36255,16.96783,331.8,0.48,0.4,2017-03-24,1200,N,VIIRS,n,1,268.1,4.9,
45.23716,17.15812,335.6,0.39,0.59,2017-03-28,1045,N,VIIRS,n,1,291.1,2.9,
45.40239,17.15245,343.7,0.56,0.43,2017-03-29,1207,N,VIIRS,n,1,301.5,33.9,
45.2877,17.13794,327.1,0.42,0.37,2017-03-31,1129,N,VIIRS,n,1,296.8,2.8,
42.99112,17.58656,337.5,0.51,0.49,2017-01-06,1104,N,VIIRS,n,1,272,4.1,
43.0131,17.49948,296,0.39,0.36,2017-01-08,0043,N,VIIRS,n,1,263.6,0.6,
42.98038,17.64796,301.6,0.38,0.59,2017-01-21,0139,N,VIIRS,n,1,272.5,1.9,
43.00644,17.59591,328.1,0.39,0.37,2017-02-16,1135,N,VIIRS,n,1,288.1,2.7,
43.01897,17.63777,334.8,0.55,0.68,2017-03-11,1244,N,VIIRS,n,1,286.1,6.1,
43.00587,17.58338,349.4,0.37,0.58,2017-04-02,1231,N,VIIRS,n,1,293.9,4.2,
42.53889,18.32969,325.8,0.53,0.42,2017-02-17,1116,N,VIIRS,n,1,288.7,2.8,
