latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
44.63976,15.89219,311.7,0.4,0.6,2017-10-14,0148,N,VIIRS,n,1.0NRT,272.7,0.9,N
44.86438,13.82821,296.7,0.45,0.39,2017-12-31,0048,N,VIIRS,n,1.0NRT,274.4,0.9,N
46.14593,15.99968,327.8,0.48,0.4,2017-10-20,1124,N,VIIRS,n,1.0NRT,291.5,2.8,D
46.11987,15.71588,325.4,0.49,0.41,2017-10-20,1124,N,VIIRS,n,1.0NRT,291.9,2.4,D
44.28082,15.68757,307.7,0.5,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.3,2.4,N
43.81446,15.31056,338.9,0.6,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,296.4,9.2,D
43.94915,15.52499,333,0.6,0.53,2017-12-24,1100,N,VIIRS,n,1.0NRT,284.9,6.8,D
45.69388,15.46247,329,0.39,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,294.4,2,D
46.26676,16.2652,328.1,0.38,0.36,2017-11-04,1142,N,VIIRS,n,1.0NRT,286.6,2.1,D
45.48954,16.71069,330.2,0.38,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,296.3,1.1,D
45.71104,16.46977,333.9,0.39,0.37,2017-10-30,1136,N,VIIRS,n,1.0NRT,288,4.7,D
43.99955,15.43,304.5,0.39,0.36,2017-12-25,0100,N,VIIRS,n,1.0NRT,272.9,0.8,N
44.30209,15.72195,298.4,0.5,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.2,1.1,N
45.18667,15.68475,332.1,0.39,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,295.2,2.7,D
45.65647,16.61596,328.5,0.4,0.4,2017-10-14,1136,N,VIIRS,n,1.0NRT,285,2.5,D
45.44511,16.39311,306,0.42,0.38,2017-12-30,0106,N,VIIRS,n,1.0NRT,268.9,0.8,N
45.52637,16.59319,334.2,0.47,0.4,2017-10-20,1124,N,VIIRS,n,1.0NRT,294.4,3.7,D
44.28646,15.74223,300.4,0.5,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,286.5,0.6,N
44.19114,15.7328,308,0.48,0.4,2017-11-19,0036,N,VIIRS,n,1.0NRT,272.8,1.4,N
44.336,16.19639,297.7,0.5,0.5,2017-09-01,0012,N,VIIRS,n,1.0NRT,285.9,0.5,N
45.46866,16.45321,331.2,0.48,0.4,2017-11-05,1124,N,VIIRS,n,1.0NRT,289.1,4,D
43.81217,15.3194,345,0.6,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,296.7,9.2,D
43.81057,15.31201,332.3,0.6,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,298,9.2,D
43.95184,15.52261,335.4,0.6,0.53,2017-12-24,1100,N,VIIRS,n,1.0NRT,284.9,6.4,D
44.02452,15.84675,329,0.48,0.65,2017-12-25,1042,N,VIIRS,n,1.0NRT,283,3.3,D
43.54964,16.13465,367,0.5,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,299.9,23.5,D
43.88793,15.96696,354.8,0.3,0.6,2017-10-16,1054,N,VIIRS,n,1.0NRT,294.6,5.2,D
45.23539,13.63016,327,0.4,0.4,2017-09-01,1142,N,VIIRS,n,1.0NRT,289.7,2.6,D
43.17366,16.6355,297,0.46,0.47,2017-11-20,0018,N,VIIRS,n,1.0NRT,278.5,1.3,N
43.54581,16.13576,347.7,0.5,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,301.3,16.1,D
43.54823,16.12785,333.4,0.5,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,295,4.3,D
46.4277,16.65531,328.1,0.5,0.4,2017-10-02,1200,N,VIIRS,n,1.0NRT,291,3.1,D
46.11705,16.61743,325.4,0.4,0.5,2017-10-12,1212,N,VIIRS,n,1.0NRT,292.4,2.5,D
46.35057,16.49432,328.7,0.47,0.4,2017-10-18,1200,N,VIIRS,n,1.0NRT,293.5,1.9,D
45.98339,16.49116,333.2,0.38,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,295.9,3,D
