latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.78093,32.52613,343.4,0.42,0.38,2017-02-07,1101,N,VIIRS,n,1,297.7,9.3,
34.95697,32.50182,337.2,0.42,0.45,2017-02-25,1023,N,VIIRS,n,1,294.3,4.1,
34.72618,33.31485,299,0.51,0.49,2017-04-13,2303,N,VIIRS,n,1,285.8,1.8,
34.72035,33.10164,295.2,0.46,0.47,2017-04-16,0006,N,VIIRS,n,1,283.1,0.3,
34.75705,32.86213,300.4,0.39,0.36,2017-04-22,2334,N,VIIRS,n,1,284.3,0.4,
34.72652,33.31506,302.7,0.45,0.39,2017-04-28,2322,N,VIIRS,n,1,287,1.1,
34.72515,33.31714,307.5,0.35,0.56,2017-05-12,0018,N,VIIRS,n,1,288.3,1.2,
34.72408,33.31713,309.5,0.43,0.38,2017-05-18,2347,N,VIIRS,n,1,288.3,1.3,
34.66334,33.01261,302.8,0.54,0.42,2017-05-25,2316,N,VIIRS,n,1,287,1.2,
34.92006,33.49939,341.6,0.45,0.39,2017-05-30,1100,N,VIIRS,n,1,307.5,8.1,
34.72712,33.31412,304.1,0.57,0.52,2017-06-24,0012,N,VIIRS,n,1,291.4,1,
34.72411,33.31445,312.8,0.39,0.36,2017-07-16,2341,N,VIIRS,n,1,295.8,1.6,
34.72412,33.31639,308.4,0.42,0.61,2017-07-20,0024,N,VIIRS,n,1,295.3,1.3,
34.6994,32.88054,339.3,0.39,0.44,2017-07-27,1113,N,VIIRS,l,1,312.2,2.3,
34.72443,33.31738,308.6,0.49,0.4,2017-08-11,2354,N,VIIRS,n,1,295.7,1.5,
34.72404,33.31672,309.3,0.35,0.56,2017-08-16,0019,N,VIIRS,n,1,294.7,0.9,
34.72579,33.31863,296.5,0.43,0.38,2017-01-10,2348,N,VIIRS,n,1,279.9,0.8,
35.13762,33.16288,335.8,0.39,0.36,2017-02-08,1042,N,VIIRS,n,1,293.3,1.7,
34.72353,33.31789,302.9,0.39,0.44,2017-02-22,0000,N,VIIRS,n,1,279.8,1.3,
35.15956,32.5459,295.2,0.42,0.45,2017-04-16,0006,N,VIIRS,n,1,284,0.4,
34.8635,33.59007,298.1,0.48,0.48,2017-04-16,0006,N,VIIRS,n,1,283.7,0.7,
34.72544,33.31446,303.1,0.39,0.44,2017-04-27,0000,N,VIIRS,n,1,284.2,0.8,
34.72619,33.31535,303.7,0.38,0.36,2017-05-08,2335,N,VIIRS,n,1,285.3,0.8,
34.72862,33.30984,334.7,0.48,0.64,2017-07-03,2244,N,VIIRS,n,1,299,7.7,
34.94012,33.6343,342.6,0.43,0.46,2017-06-09,1113,N,VIIRS,n,1,307.6,2.4,
34.72409,33.31405,305.8,0.4,0.37,2017-01-11,2329,N,VIIRS,n,1,278.5,1.1,
34.71144,32.66702,352.1,0.44,0.62,2017-02-05,1139,N,VIIRS,n,1,285.3,6.1,
34.94916,33.57515,295.6,0.48,0.48,2017-04-16,0006,N,VIIRS,n,1,283.6,0.7,
34.67711,32.91985,295,0.45,0.47,2017-04-16,0006,N,VIIRS,n,1,283.7,0.5,
34.7241,33.31663,303.1,0.42,0.61,2017-05-17,0025,N,VIIRS,n,1,285.7,1,
35.11926,33.1189,298.8,0.4,0.6,2017-06-06,2250,N,VIIRS,n,1,287.1,0.8,
34.72585,33.31392,307.9,0.43,0.38,2017-08-06,2347,N,VIIRS,n,1,294.1,1.5,
34.77526,33.3055,350.2,0.41,0.45,2017-08-28,1113,N,VIIRS,n,1,314.8,50.2,
34.7248,33.31812,303.6,0.38,0.36,2017-04-22,2334,N,VIIRS,n,1,286.7,1.4,
34.72314,33.31688,305.8,0.4,0.37,2017-05-03,2328,N,VIIRS,n,1,287.3,1.3,
35.11079,33.14628,318.8,0.48,0.4,2017-04-05,2353,N,VIIRS,n,1,283.2,2.1,
35.10743,33.14938,295.6,0.48,0.4,2017-04-05,2353,N,VIIRS,n,1,281.6,0.4,
34.99595,33.09602,296,0.56,0.43,2017-04-27,0000,N,VIIRS,n,1,280.6,0.5,
34.71286,33.10007,336.9,0.44,0.38,2017-05-30,1100,N,VIIRS,n,1,308.1,2,
34.93147,33.61847,303.5,0.48,0.48,2017-04-16,0006,N,VIIRS,n,1,284.2,0.7,
34.9784,33.57373,336,0.45,0.47,2017-07-14,1016,N,VIIRS,l,1,310.5,5.4,
35.08077,32.49418,331.1,0.53,0.42,2017-03-02,1029,N,VIIRS,n,1,291.4,3.6,
34.67819,32.75519,296.4,0.44,0.46,2017-05-18,0006,N,VIIRS,n,1,273.9,0.7,
34.91818,32.58373,337.2,0.35,0.56,2017-06-24,1132,N,VIIRS,l,1,307.6,2.8,
35.10458,33.01104,342.6,0.4,0.37,2017-08-13,1054,N,VIIRS,n,1,308.8,3.5,
35.14492,33.4019,297.5,0.46,0.47,2017-04-16,0006,N,VIIRS,n,1,282.9,0.5,
35.09704,33.31041,295.3,0.46,0.47,2017-04-16,0006,N,VIIRS,n,1,281.7,0.3,
