latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.96867,32.40616,347.5,0.4,0.5,2017-09-21,1018,N,VIIRS,n,1.0NRT,309.8,7.7,D
34.7253,33.31608,306.8,0.5,0.5,2017-09-23,0006,N,VIIRS,n,1.0NRT,290.8,1.4,N
34.72519,33.31589,309.5,0.4,0.4,2017-09-19,2318,N,VIIRS,n,1.0NRT,294.7,1.4,N
34.72708,33.31594,302.2,0.39,0.44,2017-10-20,0000,N,VIIRS,n,1.0NRT,288.8,0.6,N
34.72517,33.31749,306,0.38,0.36,2017-11-16,2330,N,VIIRS,n,1.0NRT,281.3,0.5,N
34.72685,33.31816,297.6,0.5,0.7,2017-10-13,0030,N,VIIRS,n,1.0NRT,285.5,0.7,N
34.96001,32.33842,344.3,0.43,0.46,2017-11-08,1024,N,VIIRS,n,1.0NRT,299,5.2,D
35.10518,33.16092,331,0.34,0.56,2017-11-09,1000,N,VIIRS,n,1.0NRT,299.2,2.1,D
34.72576,33.3144,301.6,0.58,0.52,2017-11-15,0012,N,VIIRS,n,1.0NRT,285.9,0.8,N
34.72616,33.31492,306.2,0.4,0.37,2017-12-07,2336,N,VIIRS,n,1.0NRT,278.4,0.9,N
34.72335,33.31672,304.7,0.43,0.62,2017-12-11,0024,N,VIIRS,n,1.0NRT,282,1,N
34.84324,33.52351,325.3,0.54,0.42,2017-12-13,1106,N,VIIRS,n,1.0NRT,293.4,2.3,D
34.72412,33.31476,304.8,0.4,0.37,2017-12-13,2324,N,VIIRS,n,1.0NRT,283.1,1,N
34.96301,32.45115,351.2,0.5,0.4,2017-09-10,1030,N,VIIRS,n,1.0NRT,315.2,5.5,D
34.72636,33.31616,308.7,0.4,0.4,2017-09-24,2324,N,VIIRS,n,1.0NRT,292.1,1.2,N
34.72373,33.31824,300.1,0.5,0.7,2017-09-27,0030,N,VIIRS,n,1.0NRT,290,0.9,N
34.72498,33.31496,306,0.5,0.4,2017-09-28,2354,N,VIIRS,n,1.0NRT,291.3,1.2,N
35.0814,33.1497,335.4,0.58,0.69,2017-10-24,1142,N,VIIRS,n,1.0NRT,297.3,4.4,D
34.72626,33.31802,301.8,0.48,0.48,2017-11-10,0006,N,VIIRS,n,1.0NRT,281.2,0.8,N
34.72395,33.31821,305.9,0.5,0.41,2017-11-15,2354,N,VIIRS,n,1.0NRT,287.1,0.7,N
34.72531,33.31615,306.4,0.44,0.38,2017-12-24,2318,N,VIIRS,n,1.0NRT,279.2,1,N
