latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.67961,18.66503,306.5,0.4,0.44,2017-04-01,0124,N,VIIRS,n,1,280.2,0.9,
49.69151,18.65057,299,0.42,0.38,2017-04-02,0105,N,VIIRS,n,1,283,0.8,
49.6851,18.66372,298.9,0.39,0.36,2017-05-05,0046,N,VIIRS,n,1,281.4,0.7,
49.6806,18.66584,295.8,0.62,0.54,2017-05-18,0143,N,VIIRS,n,1,278.4,2.7,
49.68539,18.66392,300.1,0.52,0.42,2017-06-15,0118,N,VIIRS,n,1,282.7,1.2,
49.81537,18.31589,367,0.51,0.66,2017-01-10,2344,N,VIIRS,h,1,261.9,11.9,
49.81599,18.31142,298.7,0.6,0.71,2017-01-21,2337,N,VIIRS,n,1,266.5,0.9,
49.81293,18.31653,303.9,0.39,0.36,2017-01-23,0100,N,VIIRS,n,1,267,0.8,
49.81489,18.312,328.2,0.45,0.39,2017-01-27,1112,N,VIIRS,n,1,275.3,4.1,
49.81556,18.31224,299.5,0.42,0.37,2017-02-25,0040,N,VIIRS,n,1,271,0.8,
49.81227,18.31201,330.8,0.39,0.36,2017-03-04,1137,N,VIIRS,n,1,289.1,4,
49.81303,18.31642,315.4,0.39,0.44,2017-03-16,0124,N,VIIRS,n,1,270.8,6.2,
49.8165,18.3153,311.5,0.39,0.36,2017-03-28,0059,N,VIIRS,n,1,275.9,0.8,
49.81455,18.31271,328.3,0.38,0.59,2017-03-28,1227,N,VIIRS,n,1,296.2,2.5,
49.81742,18.31123,305,0.42,0.38,2017-03-29,0040,N,VIIRS,n,1,278,1.7,
49.81456,18.31043,295.8,0.46,0.47,2017-04-10,0015,N,VIIRS,n,1,277.7,0.5,
49.5448,18.09455,330.1,0.39,0.36,2017-01-21,1124,N,VIIRS,n,1,273,2.1,
49.67106,17.61775,337.4,0.55,0.51,2017-03-28,1046,N,VIIRS,n,1,292.9,5.1,
49.67347,17.60753,354.9,0.55,0.51,2017-03-28,1046,N,VIIRS,n,1,297.6,25.1,
49.66923,17.60964,344.9,0.35,0.57,2017-03-28,1227,N,VIIRS,n,1,294.9,6.8,
49.66905,17.60478,337.9,0.35,0.57,2017-03-28,1227,N,VIIRS,n,1,294.7,5.4,
49.6749,17.61887,327.1,0.35,0.57,2017-03-28,1227,N,VIIRS,n,1,292,4.9,
49.67434,17.60428,338.3,0.35,0.57,2017-03-28,1227,N,VIIRS,n,1,294.3,5.1,
49.68001,17.61346,329.7,0.35,0.57,2017-03-28,1227,N,VIIRS,n,1,291.2,4.8,
49.21548,16.77335,295.2,0.45,0.39,2017-03-29,0040,N,VIIRS,n,1,278.3,0.8,
49.21523,16.77436,295.3,0.37,0.58,2017-03-31,0002,N,VIIRS,n,1,279.5,0.7,
49.94207,17.60794,316.9,0.4,0.37,2017-04-03,0046,N,VIIRS,n,1,280.3,1.2,
49.40191,16.95648,335.8,0.4,0.6,2017-04-03,1034,N,VIIRS,n,1,288.6,4,
49.6754,17.49223,325.9,0.4,0.37,2017-04-10,1143,N,VIIRS,n,1,295.6,3,
49.8139,18.31344,309.9,0.44,0.62,2017-01-15,2350,N,VIIRS,n,1,265.4,1.3,
49.81705,18.31454,331.7,0.41,0.37,2017-03-05,1118,N,VIIRS,n,1,287.6,7.1,
49.81124,18.31207,311.3,0.41,0.37,2017-03-17,0105,N,VIIRS,n,1,265.1,15.2,
49.81324,18.31395,298.7,0.39,0.36,2017-03-28,0059,N,VIIRS,n,1,273.6,0.8,
49.81756,18.31154,325.6,0.4,0.6,2017-03-29,1027,N,VIIRS,n,1,293.4,1.9,
49.81108,18.31846,295.1,0.59,0.53,2017-03-31,0143,N,VIIRS,n,1,272.9,0.6,
49.81217,18.31845,298,0.41,0.37,2017-04-02,0105,N,VIIRS,n,1,281.3,0.4,
49.81791,18.31549,298,0.4,0.6,2017-04-10,0155,N,VIIRS,n,1,276.4,0.4,
