latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.89589,15.64139,297.7,0.4,0.5,2017-10-04,0136,N,VIIRS,n,1.0NRT,279.5,1,N
49.89403,15.64278,297,0.57,0.43,2017-10-18,0030,N,VIIRS,n,1.0NRT,283.5,0.6,N
50.22714,14.51776,308.4,0.4,0.6,2017-09-12,0006,N,VIIRS,n,1.0NRT,280.4,1.4,N
50.40869,14.8184,315.1,0.4,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,282.7,1.1,N
49.90862,17.87973,340.1,0.39,0.36,2017-12-07,1124,N,VIIRS,n,1.0NRT,272.5,3.4,D
49.89461,15.63725,297.8,0.5,0.4,2017-09-08,0124,N,VIIRS,n,1.0NRT,280.9,0.7,N
50.41039,14.81995,331.3,0.5,0.4,2017-10-15,1118,N,VIIRS,n,1.0NRT,290.4,4.6,D
49.89448,15.63809,301.7,0.4,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,285,1,N
49.00637,14.51344,344.8,0.4,0.37,2017-11-15,1136,N,VIIRS,n,1.0NRT,280.4,3.5,D
49.74183,16.72416,345.8,0.41,0.37,2017-12-07,1124,N,VIIRS,n,1.0NRT,279.1,4.6,D
50.14795,15.41658,300,0.51,0.41,2017-12-26,0036,N,VIIRS,n,1.0NRT,270.3,0.6,N
49.89525,15.63774,297.3,0.5,0.4,2017-09-29,0130,N,VIIRS,n,1.0NRT,282.3,1.1,N
50.44585,15.91764,299.3,0.4,0.4,2017-10-01,0048,N,VIIRS,n,1.0NRT,277.4,0.6,N
49.89405,15.6389,296.2,0.41,0.37,2017-10-17,0054,N,VIIRS,n,1.0NRT,282.6,0.9,N
49.99641,12.58726,325.1,0.5,0.7,2017-10-15,1254,N,VIIRS,n,1.0NRT,290,1.3,D
50.12879,14.35612,332.6,0.4,0.4,2017-09-06,1148,N,VIIRS,n,1.0NRT,296.8,5.2,D
49.81635,18.31663,317.1,0.5,0.4,2017-10-02,0030,N,VIIRS,n,1.0NRT,279,2.5,N
49.81598,18.31357,334.7,0.6,0.7,2017-10-02,0212,N,VIIRS,n,1.0NRT,276.9,8.9,N
48.80789,17.01738,297.1,0.4,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,282.5,0.7,N
49.81269,18.31713,295.4,0.41,0.37,2017-12-26,0036,N,VIIRS,n,1.0NRT,272.8,0.7,N
49.68,18.66449,301.6,0.4,0.4,2017-09-15,0048,N,VIIRS,n,1.0NRT,282.7,1.3,N
49.67811,18.66493,343.4,0.6,0.5,2017-10-01,1036,N,VIIRS,n,1.0NRT,293.8,17.2,D
49.78488,18.32116,298.5,0.6,0.7,2017-10-02,0212,N,VIIRS,n,1.0NRT,276.7,0.8,N
49.81242,18.31797,303.8,0.6,0.6,2017-10-09,0000,N,VIIRS,n,1.0NRT,276.6,1.9,N
49.67939,18.66372,332.3,0.4,0.4,2017-10-15,1118,N,VIIRS,n,1.0NRT,292.5,4.6,D
49.6782,18.65581,303.2,0.5,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,282.5,1.5,N
49.85925,18.27543,298.3,0.38,0.36,2017-10-17,0048,N,VIIRS,n,1.0NRT,285.2,0.5,N
49.78371,18.32053,295.2,0.35,0.57,2017-10-30,0148,N,VIIRS,n,1.0NRT,273,1,N
49.85966,18.27743,299.4,0.4,0.4,2017-09-10,0042,N,VIIRS,n,1.0NRT,287.3,0.6,N
49.81454,18.30976,329.8,0.6,0.6,2017-10-09,0000,N,VIIRS,n,1.0NRT,276.8,5.7,N
49.81442,18.31516,341.3,0.35,0.57,2017-10-30,0148,N,VIIRS,n,1.0NRT,275.3,3.3,N
49.8939,15.63948,298.7,0.4,0.4,2017-09-30,0112,N,VIIRS,n,1.0NRT,281.3,1.1,N
50.57063,13.59461,345.5,0.5,0.7,2017-10-15,1300,N,VIIRS,n,1.0NRT,290,9.5,D
49.67995,18.66519,331.9,0.6,0.4,2017-10-16,1100,N,VIIRS,n,1.0NRT,295.6,5.4,D
50.57475,13.5987,353.6,0.5,0.7,2017-10-15,1300,N,VIIRS,n,1.0NRT,291,7.6,D
49.86131,18.28056,296.5,0.61,0.71,2017-10-18,0212,N,VIIRS,n,1.0NRT,279.8,1.2,N
50.56106,13.61604,297.6,0.5,0.4,2017-10-12,0042,N,VIIRS,n,1.0NRT,281.2,1.2,N
49.89431,15.6385,298.9,0.4,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,277.4,0.6,N
49.81497,18.316,307.9,0.5,0.4,2017-09-19,0118,N,VIIRS,n,1.0NRT,277.3,0.9,N
49.89527,15.63991,300.9,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,282.2,0.9,N
49.81556,18.31559,302.2,0.6,0.5,2017-10-09,0142,N,VIIRS,n,1.0NRT,276.4,1.8,N
49.68195,18.66255,296.3,0.44,0.46,2017-10-19,0012,N,VIIRS,n,1.0NRT,283.1,1,N
49.67789,18.66047,308,0.42,0.61,2017-10-19,0154,N,VIIRS,n,1.0NRT,281.2,1.6,N
