latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
57.06211,9.97988,326.5,0.5,0.41,2017-01-16,1121,N,VIIRS,n,1,277.2,3.2,
57.06052,9.97565,341.2,0.41,0.37,2017-04-26,0154,N,VIIRS,n,1,282.4,5.3,
57.06391,9.97371,307.9,0.49,0.65,2017-05-01,0019,N,VIIRS,n,1,279.1,3.1,
57.06129,9.985,296.3,0.5,0.66,2017-05-08,0309,N,VIIRS,n,1,275.9,1.3,
57.06229,9.98159,314.8,0.4,0.44,2017-06-01,0219,N,VIIRS,n,1,282.3,1.2,
57.06158,9.97849,338.1,0.4,0.44,2017-06-17,0219,N,VIIRS,n,1,289.8,5,
57.06217,9.97459,334.2,0.4,0.37,2017-06-24,1139,N,VIIRS,n,1,300.6,4.2,
57.06076,9.98092,335.4,0.42,0.45,2017-07-01,1107,N,VIIRS,n,1,297.4,5.8,
57.06064,9.97827,339.1,0.43,0.38,2017-07-05,1132,N,VIIRS,n,1,305.7,8,
57.06064,9.98061,309.1,0.43,0.62,2017-07-09,0026,N,VIIRS,n,1,282.9,2,
57.06166,9.97618,337.5,0.51,0.41,2017-07-28,0110,N,VIIRS,n,1,289.4,5.7,
57.06318,9.97521,309.7,0.4,0.44,2017-08-04,0219,N,VIIRS,n,1,286.4,2.6,
57.06106,9.98052,328.9,0.42,0.38,2017-08-07,0123,N,VIIRS,n,1,286.8,2.5,
57.06104,9.98167,307.3,0.39,0.36,2017-08-11,0148,N,VIIRS,n,1,286.9,2.1,
57.05896,9.98009,296.2,0.5,0.49,2017-08-14,0232,N,VIIRS,n,1,282.2,1.5,
56.61752,9.81108,327,0.39,0.36,2017-08-16,1145,N,VIIRS,n,1,297.6,2.9,
57.06358,9.98114,311.4,0.43,0.46,2017-08-19,0058,N,VIIRS,n,1,285.3,1.2,
57.06054,9.97725,337.7,0.42,0.38,2017-08-23,0123,N,VIIRS,n,1,290,5.3,
55.59628,8.13608,347.6,0.4,0.37,2017-05-01,1151,N,VIIRS,n,1,272.3,8.1,
55.1835,10.3247,324.7,0.47,0.4,2017-01-17,0111,N,VIIRS,n,1,267.4,1.8,
56.31464,8.5343,333.1,0.41,0.45,2017-02-13,1236,N,VIIRS,n,1,275.3,1.9,
56.33676,9.09226,329.1,0.39,0.37,2017-03-24,1204,N,VIIRS,n,1,285.1,3.5,
55.92621,8.64561,335.6,0.48,0.4,2017-05-02,1132,N,VIIRS,n,1,289.1,52.7,
55.40047,9.08765,330.9,0.45,0.47,2017-05-03,1113,N,VIIRS,n,1,289.9,3.9,
56.01084,10.03363,330.1,0.6,0.53,2017-03-27,1248,N,VIIRS,n,1,287,3.9,
55.4446,10.40683,331.1,0.43,0.38,2017-06-17,1210,N,VIIRS,n,1,296.9,1.2,
56.68915,9.46265,325.9,0.4,0.37,2017-04-09,1204,N,VIIRS,n,1,294.1,1.5,
55.4438,10.41002,343.8,0.43,0.38,2017-06-01,1210,N,VIIRS,n,1,295.4,2.9,
55.43622,12.07278,328.6,0.53,0.67,2017-04-04,1017,N,VIIRS,n,1,282.6,4.1,
55.27246,11.91987,344.2,0.41,0.37,2017-05-02,1132,N,VIIRS,n,1,281.3,5.4,
55.20955,12.07933,325.1,0.41,0.37,2017-05-06,1157,N,VIIRS,n,1,292.1,1.8,
54.86666,11.19711,335.6,0.45,0.39,2017-07-19,1209,N,VIIRS,n,1,296.7,3.1,
54.90955,11.20379,331.9,0.39,0.36,2017-08-16,1145,N,VIIRS,n,1,297.3,5.1,
54.84755,11.74107,352.6,0.4,0.37,2017-07-09,1157,N,VIIRS,n,1,296.3,5.7,
55.32187,10.80293,297.1,0.42,0.38,2017-04-05,0148,N,VIIRS,n,1,276.7,0.6,
57.06156,9.97794,320.2,0.54,0.42,2017-01-19,0213,N,VIIRS,n,1,280.8,3.2,
57.05826,9.9773,296.2,0.48,0.65,2017-01-25,0020,N,VIIRS,n,1,269.4,1,
57.06085,9.97631,313,0.45,0.39,2017-01-25,0201,N,VIIRS,n,1,278.4,1.9,
57.06312,9.97648,303.1,0.42,0.61,2017-01-30,0026,N,VIIRS,n,1,276.3,1.8,
57.06266,9.97353,302.5,0.57,0.52,2017-02-08,0238,N,VIIRS,n,1,269.2,1.9,
57.06013,9.98202,296.6,0.57,0.52,2017-02-08,0238,N,VIIRS,n,1,266.8,1.9,
57.06062,9.97367,302.4,0.42,0.37,2017-02-21,0154,N,VIIRS,n,1,271.6,1,
57.06234,9.97902,299.8,0.46,0.39,2017-02-23,0116,N,VIIRS,n,1,276.9,1.5,
57.06025,9.97709,334,0.48,0.4,2017-04-03,1216,N,VIIRS,n,1,293.3,3.6,
57.0579,9.9743,297.4,0.56,0.69,2017-04-11,0315,N,VIIRS,n,1,274.1,1.3,
57.06258,9.97608,331.5,0.45,0.47,2017-04-19,0225,N,VIIRS,n,1,278.8,4.4,
57.06114,9.97806,335.1,0.41,0.45,2017-05-15,1229,N,VIIRS,n,1,293.5,3.7,
57.06236,9.97641,336.3,0.41,0.45,2017-05-15,1229,N,VIIRS,n,1,293.4,2.7,
57.06408,9.9826,297,0.49,0.49,2017-05-26,0051,N,VIIRS,n,1,283.9,0.6,
57.06391,9.97574,301.6,0.56,0.69,2017-05-28,0013,N,VIIRS,n,1,288.4,1.8,
57.06003,9.97255,299.9,0.45,0.47,2017-06-06,0225,N,VIIRS,n,1,281.3,1.5,
57.06129,9.97704,331.5,0.42,0.61,2017-06-17,1030,N,VIIRS,n,1,297.7,2.3,
57.06181,9.97529,337.3,0.43,0.38,2017-06-19,1132,N,VIIRS,n,1,300.2,4.9,
57.0621,9.98044,326.2,0.42,0.38,2017-06-20,0122,N,VIIRS,n,1,288.7,1.5,
57.06121,9.97422,331.5,0.57,0.43,2017-06-20,1114,N,VIIRS,n,1,297.4,4.1,
57.0607,9.9733,315.2,0.43,0.62,2017-07-09,0026,N,VIIRS,n,1,284.8,3.2,
57.06359,9.97451,317.1,0.37,0.58,2017-07-14,0032,N,VIIRS,n,1,285.6,1.5,
57.06143,9.97331,320.2,0.41,0.37,2017-07-15,0154,N,VIIRS,n,1,286.2,2.9,
57.06005,9.97688,313.1,0.41,0.37,2017-07-31,0154,N,VIIRS,n,1,273.1,1.9,
57.06448,9.97363,296.2,0.32,0.55,2017-08-04,0038,N,VIIRS,n,1,283,1.1,
57.06108,9.97252,321.6,0.5,0.49,2017-08-14,0232,N,VIIRS,n,1,284.4,3.3,
57.05914,9.97889,315.1,0.38,0.36,2017-08-22,0142,N,VIIRS,n,1,286.4,2.1,
57.06177,9.97765,336.1,0.45,0.63,2017-08-23,0303,N,VIIRS,n,1,287,4.9,
57.05925,9.97485,323.7,0.5,0.66,2017-08-28,0309,N,VIIRS,n,1,284.1,1.9,
55.2489,12.24833,296,0.45,0.39,2017-05-07,0148,N,VIIRS,n,1,273.7,0.6,
55.65071,11.09765,307,0.33,0.55,2017-03-24,0032,N,VIIRS,n,1,273.2,0.8,
57.30484,11.01374,344.3,0.4,0.37,2017-04-04,1157,N,VIIRS,n,1,290.6,5.2,
54.90896,11.03261,339.2,0.45,0.47,2017-08-02,1107,N,VIIRS,n,1,291.7,6.3,
57.06113,9.97479,319.8,0.4,0.44,2017-01-24,0219,N,VIIRS,n,1,277.8,3.3,
57.06263,9.97487,319.4,0.49,0.4,2017-02-15,0207,N,VIIRS,n,1,273.1,3.1,
