latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
57.06404,9.97303,295.4,0.6,0.5,2017-09-26,0042,N,VIIRS,n,1.0NRT,283,1.1,N
57.06186,9.97136,305.5,0.6,0.5,2017-10-06,0236,N,VIIRS,n,1.0NRT,280.2,3.4,N
57.06231,9.97638,332.8,0.4,0.4,2017-10-09,1130,N,VIIRS,n,1.0NRT,289.1,3.5,D
57.06047,9.97618,325.4,0.5,0.7,2017-10-09,1312,N,VIIRS,n,1.0NRT,287.5,3.4,D
57.06069,9.98095,326.1,0.4,0.4,2017-10-10,0118,N,VIIRS,n,1.0NRT,279.9,2.1,N
57.06041,9.97958,332.7,0.39,0.36,2017-10-29,1154,N,VIIRS,n,1.0NRT,287.9,4.7,D
57.06274,9.97136,302.5,0.63,0.72,2017-10-30,0006,N,VIIRS,n,1.0NRT,276.8,2.5,N
57.06173,9.97727,315.4,0.63,0.72,2017-10-30,0006,N,VIIRS,n,1.0NRT,278.1,2.3,N
57.06148,9.98045,327.6,0.4,0.37,2017-10-30,1136,N,VIIRS,n,1.0NRT,284.2,2.6,D
57.06274,9.9742,313.2,0.4,0.37,2017-10-31,0130,N,VIIRS,n,1.0NRT,277.6,2,N
57.06087,9.97384,305.1,0.41,0.6,2017-11-06,0254,N,VIIRS,n,1.0NRT,277.4,2,N
57.06148,9.97287,306.1,0.72,0.76,2017-11-10,0000,N,VIIRS,n,1.0NRT,277.2,2.7,N
57.06384,9.97451,310,0.56,0.51,2017-11-13,0042,N,VIIRS,n,1.0NRT,276.5,2.8,N
57.06285,9.97409,315.4,0.45,0.47,2017-11-13,0224,N,VIIRS,n,1.0NRT,277,2.9,N
55.69817,11.84897,313.1,0.4,0.44,2017-11-14,0206,N,VIIRS,n,1.0NRT,271.4,1.7,N
57.06355,9.97413,303.2,0.5,0.41,2017-11-17,0106,N,VIIRS,n,1.0NRT,277.6,1.3,N
