latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
59.31461,27.0927,321.5,0.53,0.67,2017-08-20,0217,N,VIIRS,n,1,277,2.1,
59.49566,26.52803,298.5,0.43,0.38,2017-03-14,0018,N,VIIRS,n,1,270.9,0.9,
59.49655,26.52968,301.2,0.39,0.36,2017-05-27,0031,N,VIIRS,n,1,273.4,0.7,
59.49799,26.52934,313.8,0.38,0.36,2017-06-17,0037,N,VIIRS,n,1,284.2,1.9,
59.49546,26.52882,306.2,0.44,0.38,2017-06-18,0018,N,VIIRS,n,1,285.1,0.9,
59.49687,26.52513,300,0.39,0.36,2017-06-22,0043,N,VIIRS,n,1,280.7,1,
59.49747,26.52774,303.2,0.47,0.64,2017-08-02,2315,N,VIIRS,n,1,284.1,1.3,
59.49961,26.52773,298.9,0.55,0.68,2017-08-25,0224,N,VIIRS,n,1,276.3,1.7,
58.38823,26.76336,296.8,0.57,0.69,2017-03-29,0217,N,VIIRS,n,1,266,1.3,
59.36066,27.04799,295.5,0.39,0.36,2017-07-08,0043,N,VIIRS,n,1,277.5,0.6,
59.27953,25.65638,310.6,0.4,0.37,2017-04-09,0031,N,VIIRS,n,1,267.9,1,
59.49455,26.52791,303.9,0.54,0.51,2017-04-16,0140,N,VIIRS,n,1,267.3,1.3,
59.49566,26.52787,311.2,0.39,0.44,2017-05-01,2359,N,VIIRS,n,1,276.1,2.2,
59.4958,26.52516,309.9,0.49,0.48,2017-08-01,0133,N,VIIRS,n,1,285.5,2.2,
59.49584,26.52078,296.5,0.77,0.77,2017-08-14,2250,N,VIIRS,n,1,281,1.2,
59.49771,26.52833,314.7,0.54,0.42,2017-08-18,0115,N,VIIRS,n,1,286.9,2.3,
59.49613,26.52812,313.5,0.41,0.61,2017-04-20,0204,N,VIIRS,n,1,268.4,1.5,
59.50026,26.52432,300,0.49,0.49,2017-08-11,2347,N,VIIRS,n,1,285.7,1.3,
59.49666,26.52614,307.3,0.46,0.64,2017-08-18,2315,N,VIIRS,n,1,284.8,1.8,
59.49659,26.52938,302.6,0.42,0.38,2017-08-19,0056,N,VIIRS,n,1,267.6,0.6,
59.49783,26.53059,303.3,0.36,0.57,2017-03-21,2328,N,VIIRS,n,1,274.7,1,
59.38421,25.54125,310.2,0.39,0.59,2017-03-21,2328,N,VIIRS,n,1,272.2,1.5,
59.49512,26.52259,298,0.61,0.71,2017-03-23,0229,N,VIIRS,n,1,270.6,2.4,
59.4957,26.53028,304.7,0.61,0.53,2017-04-05,0146,N,VIIRS,n,1,276.3,2.1,
59.49673,26.52861,311.1,0.49,0.48,2017-04-11,0133,N,VIIRS,n,1,276.5,2.2,
59.33484,24.5582,302.7,0.4,0.37,2017-04-29,0056,N,VIIRS,n,1,264.1,0.7,
59.33387,24.55832,300.3,0.4,0.37,2017-04-29,0056,N,VIIRS,n,1,263.2,0.5,
59.49774,26.53396,298.2,0.37,0.58,2017-05-01,0158,N,VIIRS,n,1,272,1.3,
59.49586,26.52868,317.2,0.39,0.44,2017-05-01,2359,N,VIIRS,n,1,277.2,1.9,
58.53645,25.46155,327.8,0.58,0.7,2017-05-05,1217,N,VIIRS,n,1,278,4,
59.36558,25.24797,332.6,0.41,0.45,2017-05-13,1126,N,VIIRS,n,1,290.7,5.9,
59.49883,26.52645,295.1,0.6,0.7,2017-05-20,2302,N,VIIRS,n,1,278.9,0.9,
59.49649,26.52691,310.2,0.41,0.37,2017-05-22,0025,N,VIIRS,n,1,281.8,1.6,
58.08353,26.28676,296.7,0.51,0.41,2017-06-24,0006,N,VIIRS,n,1,273.3,1,
58.39165,24.64287,327.7,0.42,0.45,2017-06-29,1004,N,VIIRS,n,1,290.6,1,
59.49611,26.53069,303,0.38,0.36,2017-07-03,0037,N,VIIRS,n,1,283.5,0.6,
59.49606,26.52943,316.2,0.39,0.36,2017-08-09,0044,N,VIIRS,n,1,283.3,1.2,
59.49574,26.52337,302.3,0.49,0.49,2017-08-11,2347,N,VIIRS,n,1,284.8,1.3,
59.49874,26.52655,296.6,0.49,0.48,2017-08-17,0134,N,VIIRS,n,1,269.9,0.9,
59.4977,26.53087,307.8,0.49,0.4,2017-08-29,0109,N,VIIRS,n,1,279.7,1.9,
59.49501,26.52838,303.3,0.4,0.37,2017-08-30,0050,N,VIIRS,n,1,279.5,1.2,
59.31161,27.09213,305.3,0.53,0.67,2017-08-20,0217,N,VIIRS,n,1,275.2,1.4,
58.02317,26.66722,301,0.61,0.53,2017-05-13,2335,N,VIIRS,n,1,271.6,0.1,
58.00807,26.94073,326.3,0.48,0.4,2017-05-14,1107,N,VIIRS,n,1,295.4,3.2,
