latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
59.49694,26.52832,297.1,0.5,0.7,2017-10-05,2312,N,VIIRS,n,1.0NRT,273.9,1.5,N
59.49659,26.53285,295.8,0.63,0.54,2017-10-20,2330,N,VIIRS,n,1.0NRT,272.2,1.3,N
59.49674,26.52375,296.6,0.4,0.6,2017-09-06,0154,N,VIIRS,n,1.0NRT,278.6,1.4,N
59.50036,26.52827,295.3,0.62,0.71,2017-11-02,0230,N,VIIRS,n,1.0NRT,268.1,1.4,N
59.32436,26.2031,340.8,0.4,0.6,2017-09-11,0200,N,VIIRS,n,1.0NRT,238.3,0.1,N
59.49992,26.52472,295.8,0.61,0.71,2017-10-17,0230,N,VIIRS,n,1.0NRT,274.5,2.2,N
59.49791,26.52648,303.3,0.57,0.43,2017-10-25,0000,N,VIIRS,n,1.0NRT,271.2,2.1,N
59.49788,26.53106,306.2,0.4,0.5,2017-09-24,0118,N,VIIRS,n,1.0NRT,280.8,0.7,N
59.4972,26.52347,305.8,0.61,0.71,2017-10-17,0230,N,VIIRS,n,1.0NRT,275.6,2,N
59.4967,26.52185,295.4,0.59,0.7,2017-11-12,2300,N,VIIRS,n,1.0NRT,273.4,1.3,N
59.49619,26.52226,304.9,0.55,0.51,2017-10-25,0136,N,VIIRS,n,1.0NRT,269.4,1.4,N
59.49863,26.52824,298.9,0.4,0.37,2017-11-02,0048,N,VIIRS,n,1.0NRT,271.1,1.2,N
59.4965,26.53107,299.8,0.47,0.39,2017-11-04,0012,N,VIIRS,n,1.0NRT,273.4,1.2,N
59.49518,26.52931,297.1,0.4,0.37,2017-11-18,0048,N,VIIRS,n,1.0NRT,275.2,0.6,N
59.4963,26.52859,306.3,0.5,0.7,2017-09-05,0218,N,VIIRS,n,1.0NRT,280.5,1.1,N
59.49859,26.5312,301.2,0.4,0.4,2017-09-06,0018,N,VIIRS,n,1.0NRT,280.5,1,N
59.49736,26.53143,303.8,0.6,0.5,2017-09-23,2336,N,VIIRS,n,1.0NRT,280.3,0.9,N
59.49501,26.52983,295.3,0.4,0.4,2017-09-26,0042,N,VIIRS,n,1.0NRT,273.9,0.3,N
59.49794,26.52586,314.6,0.4,0.4,2017-10-06,0054,N,VIIRS,n,1.0NRT,274.2,2.2,N
