latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
63.00086,21.70363,349.6,0.37,0.58,2017-05-04,0916,N,VIIRS,n,1,285.4,3.9,
61.32019,22.12212,346.1,0.39,0.36,2017-07-07,1055,N,VIIRS,n,1,301.5,6.1,
63.52862,24.06416,335.4,0.52,0.5,2017-06-15,0928,N,VIIRS,n,1,295.4,4.1,
64.20787,27.00445,337.1,0.41,0.45,2017-07-01,0928,N,VIIRS,n,1,288.8,4.1,
64.64777,24.42936,310.2,0.42,0.37,2017-03-18,0042,N,VIIRS,n,1,270.9,1.5,
64.64627,24.43426,307.3,0.63,0.54,2017-05-07,2345,N,VIIRS,n,1,270.3,3.8,
64.64771,24.43196,300,0.44,0.39,2017-05-16,0036,N,VIIRS,n,1,271.5,1.7,
64.64697,24.42713,335.2,0.44,0.38,2017-05-20,1056,N,VIIRS,n,1,290.5,6.5,
64.64547,24.42362,311,0.63,0.54,2017-05-23,2345,N,VIIRS,n,1,274.7,2.7,
64.64432,24.42822,342,0.4,0.45,2017-05-24,1121,N,VIIRS,n,1,297.9,6.6,
64.64442,24.42628,309,0.35,0.57,2017-06-03,2339,N,VIIRS,n,1,275.3,1.2,
64.65582,24.43522,300.6,0.48,0.4,2017-07-30,0030,N,VIIRS,n,1,284.2,1.3,
64.65038,24.41831,300.9,0.43,0.38,2017-08-12,0126,N,VIIRS,n,1,284.8,1,
60.29274,25.48802,314.5,0.4,0.6,2017-03-24,0211,N,VIIRS,n,1,268.4,1.7,
60.28581,22.29087,300.7,0.36,0.57,2017-04-14,0217,N,VIIRS,n,1,269.8,1,
60.77583,26.29994,344.4,0.55,0.43,2017-05-03,1114,N,VIIRS,n,1,301.2,14.6,
60.28423,22.28738,298.3,0.65,0.73,2017-07-17,2315,N,VIIRS,n,1,278.9,1.4,
60.28638,22.2923,313.8,0.43,0.46,2017-08-11,0146,N,VIIRS,n,1,286.7,1.9,
60.28789,22.29244,295.4,0.57,0.69,2017-08-29,0249,N,VIIRS,n,1,281.2,0.9,
61.37762,23.94595,332.6,0.49,0.4,2017-05-19,1114,N,VIIRS,n,1,294.1,4.7,
61.38131,23.94441,333.1,0.49,0.4,2017-05-19,1114,N,VIIRS,n,1,294.1,4.7,
63.39561,23.24836,331.3,0.4,0.44,2017-06-14,1127,N,VIIRS,n,1,290,2.9,
60.28824,22.29449,296.4,0.54,0.51,2017-04-15,2359,N,VIIRS,n,1,268.6,1.7,
60.28648,22.28759,329.7,0.41,0.37,2017-06-15,1108,N,VIIRS,n,1,302.2,1.7,
64.64492,24.42811,328.2,0.41,0.37,2017-05-03,0120,N,VIIRS,n,1,274.2,3.1,
64.64394,24.42426,295.7,0.44,0.62,2017-05-08,2326,N,VIIRS,n,1,270,2,
64.64425,24.42777,340,0.42,0.61,2017-05-11,1206,N,VIIRS,n,1,283.3,5.8,
64.64736,24.43063,326.9,0.41,0.45,2017-06-13,0011,N,VIIRS,n,1,283.1,3.1,
64.64597,24.42488,334.8,0.54,0.42,2017-06-14,0947,N,VIIRS,n,1,297.8,7.4,
64.64961,24.42557,300,0.74,0.76,2017-06-16,2255,N,VIIRS,n,1,281.4,2.2,
64.64766,24.42863,304.6,0.49,0.65,2017-06-20,2320,N,VIIRS,n,1,277.3,1.6,
64.64841,24.42965,302.2,0.4,0.37,2017-07-29,0048,N,VIIRS,n,1,287.2,1.7,
65.82822,25.03067,334.3,0.48,0.48,2017-06-14,1128,N,VIIRS,n,1,293.6,3.2,
60.28671,22.28571,296.3,0.54,0.51,2017-08-22,0000,N,VIIRS,n,1,282.6,1.6,
60.28479,22.29264,301.9,0.53,0.42,2017-04-11,0133,N,VIIRS,n,1,274.7,1.2,
61.48786,23.82082,300,0.42,0.38,2017-04-28,0114,N,VIIRS,n,1,270.4,0.7,
60.75331,26.59146,338.6,0.35,0.57,2017-05-04,0915,N,VIIRS,n,1,291.3,24.1,
62.07419,30.24984,330.5,0.46,0.39,2017-04-24,1043,N,VIIRS,n,1,272.5,5.4,
61.02964,28.1725,299.3,0.39,0.36,2017-06-28,0030,N,VIIRS,n,1,281.3,0.5,
61.14901,28.79749,315.4,0.43,0.46,2017-08-27,2344,N,VIIRS,n,1,281.2,1.7,
60.28556,22.28577,296.3,0.61,0.53,2017-01-20,2354,N,VIIRS,n,1,270.8,2,
61.82906,21.79947,338.7,0.52,0.67,2017-02-07,0255,N,VIIRS,n,1,254.6,3.7,
60.28603,22.28889,303.2,0.45,0.39,2017-04-17,0121,N,VIIRS,n,1,267.3,1.6,
60.28625,22.29189,310.7,0.43,0.46,2017-05-12,0012,N,VIIRS,n,1,273.3,2.2,
60.28637,22.28999,311.7,0.42,0.37,2017-05-30,0115,N,VIIRS,n,1,279.6,1.9,
60.28671,22.29357,305.5,0.53,0.42,2017-07-16,0133,N,VIIRS,n,1,283.9,2.2,
60.28534,22.29035,317.8,0.39,0.36,2017-07-23,0102,N,VIIRS,n,1,286.3,1.9,
63.03177,23.3686,326,0.44,0.62,2017-08-20,1212,N,VIIRS,n,1,284.1,2.1,
60.28597,22.28973,317.2,0.35,0.57,2017-08-27,2344,N,VIIRS,n,1,281.7,1.7,
62.54661,24.12366,326.4,0.47,0.4,2017-03-11,1108,N,VIIRS,n,1,270.2,2.1,
64.64761,24.43423,298.9,0.39,0.37,2017-08-02,0114,N,VIIRS,n,1,283.9,0.7,
64.65417,24.43026,330,0.4,0.37,2017-05-10,1044,N,VIIRS,n,1,288.8,3.8,
64.64922,24.42924,301.8,0.67,0.73,2017-05-20,2301,N,VIIRS,n,1,270.4,2.3,
64.64614,24.4258,327.9,0.38,0.36,2017-06-05,0101,N,VIIRS,n,1,277.1,5.3,
64.64554,24.42961,304.1,0.54,0.68,2017-06-15,2314,N,VIIRS,n,1,281.6,1.6,
64.64838,24.42175,306.2,0.74,0.76,2017-06-16,2255,N,VIIRS,n,1,281,3.9,
64.64867,24.43126,297.2,0.6,0.71,2017-06-26,2307,N,VIIRS,n,1,278.8,1.1,
64.64442,24.41785,315.8,0.74,0.76,2017-08-03,2255,N,VIIRS,n,1,281.6,4.4,
64.65368,24.42785,320.4,0.46,0.39,2017-08-17,0133,N,VIIRS,n,1,284.8,1.1,
64.64912,24.43146,298.3,0.39,0.59,2017-08-17,2333,N,VIIRS,n,1,283.2,1.2,
64.64592,24.43241,300.4,0.41,0.45,2017-08-16,0011,N,VIIRS,n,1,277,1.1,
60.90234,25.49028,296.1,0.39,0.44,2017-05-23,0005,N,VIIRS,n,1,261.2,0.7,
60.30069,25.5223,352.4,0.62,0.72,2017-06-28,0844,N,VIIRS,n,1,293.4,12.7,
59.8652,23.19789,333.2,0.46,0.47,2017-07-26,0959,N,VIIRS,n,1,296.1,7.8,
60.52225,23.32805,296.9,0.45,0.47,2017-08-11,0146,N,VIIRS,n,1,283.7,0.7,
64.64697,24.43138,320.6,0.57,0.52,2017-06-29,2352,N,VIIRS,n,1,284.5,2.5,
64.64703,24.43322,310,0.63,0.54,2017-08-11,2346,N,VIIRS,n,1,285.1,2.1,
60.28871,22.29016,300.2,0.45,0.63,2017-05-13,2334,N,VIIRS,n,1,274.8,0.9,
60.28505,22.29362,308.7,0.41,0.37,2017-06-22,0043,N,VIIRS,n,1,282.4,0.9,
60.28565,22.29302,313.4,0.48,0.48,2017-08-27,0006,N,VIIRS,n,1,281.1,2.4,
64.64442,24.42255,296.3,0.47,0.4,2017-01-19,0030,N,VIIRS,n,1,272.8,0.8,
64.64492,24.4266,298.8,0.57,0.52,2017-05-12,2352,N,VIIRS,n,1,271.2,1.9,
64.64996,24.43021,312.8,0.49,0.65,2017-06-04,2320,N,VIIRS,n,1,275.8,3.2,
64.64847,24.42424,309.7,0.52,0.41,2017-07-09,0023,N,VIIRS,n,1,282.5,1.8,
64.64568,24.42807,327.1,0.46,0.47,2017-07-26,0004,N,VIIRS,n,1,282.1,4,
64.64787,24.42228,303.8,0.39,0.36,2017-07-28,0107,N,VIIRS,n,1,285.9,1.5,
