latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
62.00086,25.50863,295.2,0.4,0.4,2017-09-26,0042,N,VIIRS,n,1.0NRT,280,0.4,N
64.64394,24.42457,295,0.53,0.67,2017-11-06,2312,N,VIIRS,n,1.0NRT,271.8,0.6,N
64.64459,24.42914,320.4,0.4,0.4,2017-09-25,0100,N,VIIRS,n,1.0NRT,281,2.6,N
64.64674,24.42876,325.7,0.41,0.37,2017-11-07,1048,N,VIIRS,n,1.0NRT,276,2.4,D
60.28708,22.2881,310,0.61,0.53,2017-10-19,2354,N,VIIRS,n,1.0NRT,274.7,1.8,N
61.14529,28.79864,296.6,0.5,0.4,2017-09-12,0006,N,VIIRS,n,1.0NRT,281.7,1.1,N
64.64581,24.42472,301.5,0.7,0.8,2017-09-04,2254,N,VIIRS,n,1.0NRT,278.5,2.2,N
64.64732,24.43011,308.5,0.6,0.6,2017-09-28,2342,N,VIIRS,n,1.0NRT,278,2.2,N
68.74221,25.66508,301.2,0.6,0.6,2017-10-15,0306,N,VIIRS,n,1.0NRT,267.7,0,N
60.29486,25.52938,299.3,0.54,0.5,2017-10-30,0142,N,VIIRS,n,1.0NRT,265.8,2.1,N
64.64471,24.42354,309.6,0.46,0.39,2017-11-05,0130,N,VIIRS,n,1.0NRT,272,1.2,N
64.64613,24.42438,330.9,0.5,0.4,2017-09-02,0130,N,VIIRS,n,1.0NRT,280.1,5.1,N
64.64236,24.42627,347.5,0.5,0.7,2017-09-03,2312,N,VIIRS,n,1.0NRT,279.7,3.8,N
64.64615,24.42476,307.8,0.5,0.4,2017-09-07,0136,N,VIIRS,n,1.0NRT,278.6,2.2,N
64.6544,24.43546,296.8,0.46,0.39,2017-11-05,0130,N,VIIRS,n,1.0NRT,272,0.8,N
60.2852,22.29169,306,0.34,0.56,2017-11-15,2342,N,VIIRS,n,1.0NRT,274.5,1.3,N
60.2966,25.52349,310.2,0.39,0.44,2017-10-31,0124,N,VIIRS,n,1.0NRT,271,1.2,N
60.28418,22.2933,305.1,0.53,0.42,2017-10-20,0130,N,VIIRS,n,1.0NRT,276.4,1.5,N
64.64281,24.42707,295.8,0.5,0.5,2017-09-05,0212,N,VIIRS,n,1.0NRT,277.4,2.5,N
60.29777,25.5287,331.8,0.39,0.44,2017-10-31,1118,N,VIIRS,n,1.0NRT,274.2,3.8,D
60.29721,25.5216,331,0.39,0.44,2017-10-31,1118,N,VIIRS,n,1.0NRT,276.2,2.8,D
60.28477,22.28923,297.4,0.39,0.36,2017-10-17,0048,N,VIIRS,n,1.0NRT,276.2,1,N
