latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.03528,2.2873,322.8,0.43,0.38,2017-01-10,0144,N,VIIRS,n,1,275.5,3.2,
51.03604,2.28912,341.2,0.45,0.63,2017-01-18,0053,N,VIIRS,n,1,271.5,4.1,
51.03619,2.28736,297.6,0.72,0.76,2017-01-19,0034,N,VIIRS,n,1,270.2,3.7,
51.03528,2.28823,315.7,0.55,0.68,2017-01-21,0318,N,VIIRS,n,1,270.8,3.5,
51.03553,2.28717,305.9,0.41,0.45,2017-01-27,0125,N,VIIRS,n,1,271.8,1.4,
51.0347,2.28908,331.4,0.54,0.42,2017-02-14,0227,N,VIIRS,n,1,277.2,6.6,
51.03239,2.28799,300.3,0.41,0.45,2017-03-07,0233,N,VIIRS,n,1,274.4,1.1,
51.03872,2.29064,326.6,0.33,0.55,2017-03-09,1324,N,VIIRS,n,1,285.3,3.4,
51.03228,2.29017,331.4,0.48,0.48,2017-03-11,0118,N,VIIRS,n,1,276,5.2,
51.03517,2.29018,344,0.36,0.57,2017-03-11,0258,N,VIIRS,n,1,281.3,3,
51.03322,2.28755,335.4,0.37,0.58,2017-03-15,1131,N,VIIRS,n,1,293.7,3.7,
51.03297,2.28946,339.9,0.47,0.48,2017-03-15,1312,N,VIIRS,n,1,294.5,3.9,
51.0335,2.28855,338.1,0.47,0.64,2017-03-21,0311,N,VIIRS,n,1,278.6,4.5,
51.03681,2.28757,304.1,0.48,0.4,2017-03-26,0137,N,VIIRS,n,1,278.7,1.9,
51.03599,2.28762,345.8,0.36,0.57,2017-03-27,0258,N,VIIRS,n,1,276.2,5.9,
51.03283,2.28774,333.5,0.63,0.72,2017-03-27,1106,N,VIIRS,n,1,295.3,5.4,
51.03436,2.2888,345.3,0.43,0.38,2017-03-27,1246,N,VIIRS,n,1,302,5.6,
51.03827,2.28747,298.9,0.62,0.71,2017-03-31,0323,N,VIIRS,n,1,279.4,1.3,
51.03756,2.28766,299.4,0.41,0.45,2017-04-08,0233,N,VIIRS,n,1,280,2.1,
51.0343,2.28814,340.9,0.55,0.42,2017-04-09,1202,N,VIIRS,n,1,308.8,9.4,
51.03376,2.2873,367,0.32,0.55,2017-04-10,1324,N,VIIRS,h,1,301.1,7.1,
51.03687,2.28781,313.6,0.54,0.68,2017-04-11,0317,N,VIIRS,n,1,277.5,2.7,
51.03695,2.28754,305.2,0.36,0.57,2017-04-12,0258,N,VIIRS,n,1,268.1,1.7,
51.03488,2.28785,323.1,0.41,0.45,2017-04-24,0233,N,VIIRS,n,1,275.2,2.9,
51.03715,2.28717,304,0.39,0.36,2017-04-26,0156,N,VIIRS,n,1,278.6,1.3,
51.03416,2.2886,337.3,0.62,0.54,2017-05-09,0252,N,VIIRS,n,1,281.3,7.9,
51.03674,2.28897,325.1,0.46,0.63,2017-05-10,0053,N,VIIRS,n,1,281.6,2,
51.03349,2.28988,314,0.41,0.45,2017-05-10,0233,N,VIIRS,n,1,278.5,4.4,
51.03371,2.28779,328.2,0.73,0.76,2017-05-11,0034,N,VIIRS,n,1,282.7,3.4,
51.03224,2.28838,330.8,0.38,0.36,2017-05-20,1234,N,VIIRS,l,1,304,5.2,
51.03341,2.29032,328,0.53,0.42,2017-05-21,0227,N,VIIRS,n,1,275.8,2.6,
51.03328,2.28859,305.1,0.7,0.75,2017-05-23,0329,N,VIIRS,n,1,280.5,3.8,
51.0324,2.29018,325.4,0.46,0.63,2017-05-26,0053,N,VIIRS,n,1,287,2,
51.0368,2.28711,300.5,0.39,0.36,2017-05-28,0156,N,VIIRS,n,1,277.8,0.8,
51.03218,2.2872,317.9,0.47,0.47,2017-05-31,0240,N,VIIRS,n,1,284.2,2.1,
51.03438,2.28706,311.7,0.47,0.4,2017-06-01,0221,N,VIIRS,n,1,284.2,1.9,
51.03813,2.28713,328.1,0.37,0.58,2017-06-03,1131,N,VIIRS,n,1,278.6,5.2,
51.03763,2.29043,295.6,0.42,0.45,2017-06-04,0124,N,VIIRS,n,1,283.8,1.3,
51.03447,2.28956,342.7,0.55,0.51,2017-06-08,1318,N,VIIRS,n,1,300,8.4,
51.03277,2.28832,330.3,0.41,0.45,2017-06-14,1305,N,VIIRS,l,1,305,4.7,
51.03609,2.28804,318.8,0.36,0.57,2017-06-15,0258,N,VIIRS,n,1,285.5,1.6,
51.03474,2.28895,339.8,0.43,0.38,2017-06-15,1246,N,VIIRS,n,1,309.8,5.5,
51.03539,2.29005,333,0.39,0.36,2017-06-18,0202,N,VIIRS,n,1,288.3,3.4,
51.03451,2.28811,343.1,0.55,0.68,2017-06-20,1113,N,VIIRS,n,1,299.4,15.6,
51.03558,2.28912,330.7,0.44,0.38,2017-06-22,1215,N,VIIRS,n,1,288.5,6.7,
51.03571,2.28938,328.5,0.44,0.63,2017-06-23,1337,N,VIIRS,l,1,299.5,4.1,
51.03404,2.28705,347.9,0.4,0.37,2017-06-26,1240,N,VIIRS,n,1,309.2,8.9,
51.04502,2.29642,306.6,0.43,0.38,2017-01-03,0215,N,VIIRS,n,1,273.6,1.9,
51.04463,2.29423,329.7,0.47,0.4,2017-01-05,0138,N,VIIRS,n,1,279.8,5.6,
51.04449,2.30327,299.1,0.43,0.38,2017-01-10,0144,N,VIIRS,n,1,274.2,1.9,
51.04703,2.29698,340.2,0.45,0.63,2017-01-14,1338,N,VIIRS,n,1,277.4,4.7,
51.04409,2.30398,297.6,0.56,0.51,2017-01-17,0112,N,VIIRS,n,1,271.4,4.2,
51.04554,2.29339,310,0.63,0.54,2017-01-17,0253,N,VIIRS,n,1,272.4,4.1,
