latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.51728,5.3612,327.5,0.4,0.4,2017-09-13,0130,N,VIIRS,n,1.0NRT,284.1,5,N
43.51328,5.36503,320.9,0.4,0.4,2017-09-13,0130,N,VIIRS,n,1.0NRT,282,2.7,N
43.50789,5.19214,328,0.5,0.4,2017-09-14,0112,N,VIIRS,n,1.0NRT,286.4,2.3,N
43.50074,4.75378,341.8,0.5,0.4,2017-09-26,1212,N,VIIRS,n,1.0NRT,292.7,8.3,D
43.55058,4.65964,338.6,0.5,0.4,2017-09-26,1212,N,VIIRS,n,1.0NRT,290,9.3,D
43.55682,4.67692,344.2,0.4,0.4,2017-10-05,1242,N,VIIRS,n,1.0NRT,299,4.1,D
43.56028,4.67611,336.8,0.4,0.4,2017-10-05,1242,N,VIIRS,n,1.0NRT,302.8,4.1,D
43.57076,1.4042,296.8,0.4,0.6,2017-10-06,0100,N,VIIRS,n,1.0NRT,284.5,0.4,N
43.54055,3.58506,337.2,0.4,0.6,2017-10-06,0242,N,VIIRS,n,1.0NRT,283.4,4.8,N
43.539,3.5901,344.3,0.4,0.6,2017-10-06,0242,N,VIIRS,n,1.0NRT,285.2,3.6,N
43.54092,4.70615,332.5,0.5,0.4,2017-10-07,1206,N,VIIRS,n,1.0NRT,295.2,8.7,D
43.50319,4.7084,347.5,0.5,0.4,2017-10-12,1212,N,VIIRS,n,1.0NRT,300.3,8.7,D
43.55111,4.6781,344.7,0.5,0.4,2017-10-12,1212,N,VIIRS,n,1.0NRT,296.9,6.5,D
43.56752,4.63231,331.6,0.5,0.4,2017-10-12,1212,N,VIIRS,n,1.0NRT,297.6,2.9,D
43.58906,4.62426,332,0.5,0.4,2017-10-12,1212,N,VIIRS,n,1.0NRT,297.3,3.4,D
43.59108,4.40358,336.6,0.5,0.4,2017-10-15,1254,N,VIIRS,n,1.0NRT,297,15.5,D
43.50982,4.88136,330.9,0.4,0.4,2017-10-16,1236,N,VIIRS,n,1.0NRT,298.3,2.1,D
43.50142,5.78537,336.9,0.4,0.37,2017-10-17,1218,N,VIIRS,n,1.0NRT,298,2.4,D
43.52982,5.78675,344.9,0.4,0.37,2017-10-17,1218,N,VIIRS,n,1.0NRT,299,6.5,D
43.52896,5.78182,348.2,0.4,0.37,2017-10-17,1218,N,VIIRS,n,1.0NRT,298.6,6.5,D
43.57163,5.92817,345.5,0.4,0.37,2017-10-17,1218,N,VIIRS,n,1.0NRT,298.1,5.5,D
43.513,4.64095,347,0.43,0.38,2017-10-17,1218,N,VIIRS,n,1.0NRT,297.8,11.5,D
43.58374,4.44685,328,0.43,0.38,2017-10-17,1218,N,VIIRS,n,1.0NRT,293.4,6.5,D
43.58086,3.48058,345.1,0.42,0.37,2017-10-22,1224,N,VIIRS,n,1.0NRT,286.8,5.6,D
