latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.63223,45.9735,336.9,0.41,0.37,2017-02-22,0940,N,VIIRS,n,1,294.1,4,
41.60786,46.03479,331.1,0.39,0.36,2017-02-27,0946,N,VIIRS,n,1,294.5,3.3,
41.58111,41.70826,335.6,0.39,0.36,2017-03-03,1012,N,VIIRS,n,1,274.5,4,
41.57872,41.59999,330.9,0.4,0.37,2017-03-09,0959,N,VIIRS,n,1,297.7,2,
41.8334,41.8063,320.8,0.41,0.6,2017-03-09,2217,N,VIIRS,n,1,280.3,1.3,
41.71972,45.73706,345.9,0.41,0.37,2017-03-10,0940,N,VIIRS,n,1,284.2,6.3,
41.83282,41.79112,341.3,0.56,0.43,2017-03-10,0940,N,VIIRS,n,1,297,9.7,
41.86199,41.865,345.5,0.52,0.67,2017-03-12,0903,N,VIIRS,n,1,293.8,4.7,
41.44183,43.46531,331.2,0.32,0.55,2017-03-12,1043,N,VIIRS,n,1,286.3,2.5,
41.87627,41.89346,336.8,0.54,0.51,2017-03-12,1043,N,VIIRS,n,1,298.5,4.4,
41.48956,43.35192,367,0.38,0.59,2017-03-17,1049,N,VIIRS,h,1,299.9,24,
41.51545,45.04778,295.2,0.38,0.36,2017-03-23,2254,N,VIIRS,n,1,277.6,0.5,
41.41151,44.56585,341.7,0.53,0.42,2017-03-24,1018,N,VIIRS,n,1,297.5,6.9,
41.44577,46.12587,328.5,0.57,0.69,2017-03-29,0844,N,VIIRS,n,1,301.2,4.2,
41.68367,45.72076,345.3,0.39,0.36,2017-04-05,0952,N,VIIRS,n,1,304.9,12.4,
41.29874,43.22032,331.5,0.39,0.44,2017-04-06,0934,N,VIIRS,n,1,295.1,4.3,
41.29745,43.21933,338.1,0.8,0.78,2017-04-06,1114,N,VIIRS,n,1,297.6,8.7,
41.4797,45.63275,341.2,0.42,0.45,2017-04-12,0921,N,VIIRS,n,1,301.4,5.2,
41.29338,43.67011,338.7,0.43,0.38,2017-04-20,1011,N,VIIRS,n,1,300.9,7.2,
41.5159,43.28993,333.9,0.38,0.36,2017-04-26,0959,N,VIIRS,n,1,305.2,2.2,
41.72659,44.79012,328.6,0.44,0.38,2017-04-27,0940,N,VIIRS,n,1,293,2.3,
41.16034,43.77116,332.2,0.4,0.37,2017-06-02,1005,N,VIIRS,n,1,294,2.2,
41.51117,45.04564,298.6,0.43,0.62,2017-06-08,2351,N,VIIRS,n,1,285.8,1.8,
41.51641,45.04756,298.1,0.61,0.71,2017-06-19,0003,N,VIIRS,n,1,284.2,0.8,
41.5159,45.04794,300.4,0.51,0.49,2017-06-25,2332,N,VIIRS,n,1,288.9,0.9,
41.59545,46.12036,329.6,0.4,0.6,2017-06-27,0856,N,VIIRS,n,1,297.9,3.3,
41.5871,46.07043,333.4,0.39,0.36,2017-07-10,0952,N,VIIRS,l,1,306.7,4.1,
41.64009,46.01318,343.6,0.41,0.45,2017-07-14,1018,N,VIIRS,n,1,304.6,11,
41.54336,45.86231,346.1,0.41,0.45,2017-07-17,0921,N,VIIRS,n,1,311.6,6.9,
41.42826,44.966,309.7,0.51,0.49,2017-07-27,2332,N,VIIRS,n,1,290.6,1.3,
41.64112,43.13747,333.5,0.45,0.63,2017-07-28,1056,N,VIIRS,n,1,303.1,3.9,
41.51411,45.79168,335.6,0.42,0.61,2017-07-29,0856,N,VIIRS,l,1,306.2,2.4,
41.45628,46.03888,336.8,0.41,0.37,2017-08-01,0940,N,VIIRS,n,1,308.1,3.5,
41.51721,45.87658,342.1,0.35,0.57,2017-08-03,0903,N,VIIRS,n,1,308.5,7,
41.51607,45.87232,353.8,0.35,0.57,2017-08-03,0903,N,VIIRS,n,1,311.1,6.2,
41.51479,45.04772,311.1,0.44,0.38,2017-08-04,2242,N,VIIRS,n,1,294,2.1,
41.61791,45.82895,337.5,0.45,0.39,2017-08-05,1005,N,VIIRS,n,1,306.3,2.8,
41.53304,45.9113,346.3,0.41,0.45,2017-08-15,1018,N,VIIRS,n,1,300.6,6.6,
41.32753,46.03607,354.9,0.41,0.45,2017-08-18,0921,N,VIIRS,n,1,312,14,
41.47011,45.75874,345.4,0.35,0.57,2017-08-19,0903,N,VIIRS,n,1,298.7,4.7,
41.82973,43.44486,351.6,0.5,0.41,2017-08-20,2242,N,VIIRS,n,1,294.8,39.6,
41.82669,43.43778,326.8,0.5,0.41,2017-08-20,2242,N,VIIRS,n,1,287.9,8.5,
41.82949,43.4469,351.7,0.39,0.36,2017-08-21,1006,N,VIIRS,n,1,309,229.5,
41.83881,43.4604,304.8,0.56,0.51,2017-08-21,2223,N,VIIRS,n,1,291,1.9,
41.83026,43.44469,317.3,0.56,0.51,2017-08-21,2223,N,VIIRS,n,1,289,4.2,
41.82559,43.44239,320.3,0.56,0.51,2017-08-21,2223,N,VIIRS,n,1,311.3,146.2,
41.82363,43.47148,367,0.56,0.51,2017-08-21,2223,N,VIIRS,h,1,343.8,128.3,
41.82247,43.41701,302.5,0.56,0.52,2017-08-21,2223,N,VIIRS,n,1,288.5,68,
41.82738,43.42095,342.6,0.56,0.52,2017-08-21,2223,N,VIIRS,n,1,296.1,41.5,
41.82071,43.44624,335.4,0.56,0.51,2017-08-21,2223,N,VIIRS,n,1,311.3,99.2,
41.81651,43.43786,305.8,0.56,0.51,2017-08-21,2223,N,VIIRS,n,1,289.6,2.1,
41.82576,43.46689,367,0.51,0.66,2017-08-22,0004,N,VIIRS,h,1,294.5,20.3,
41.83107,43.46737,318.4,0.51,0.66,2017-08-22,0004,N,VIIRS,n,1,289.1,3.5,
41.82839,43.47612,297.3,0.51,0.66,2017-08-22,0004,N,VIIRS,n,1,285.9,1.3,
41.82432,43.42408,300.1,0.5,0.66,2017-08-22,0004,N,VIIRS,n,1,286.9,5.7,
41.81942,43.46864,345.2,0.43,0.38,2017-08-22,0947,N,VIIRS,l,1,319.2,56.8,
41.82762,43.43423,339.9,0.43,0.38,2017-08-22,0947,N,VIIRS,n,1,298.8,46.1,
