latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.91702,44.41585,316.4,0.6,0.5,2017-09-02,2336,N,VIIRS,n,1.0NRT,288.7,3.4,N
41.89833,45.69286,330.3,0.4,0.5,2017-09-03,0918,N,VIIRS,l,1.0NRT,304.8,3.3,D
41.91418,44.41858,334.1,0.4,0.6,2017-09-04,1042,N,VIIRS,l,1.0NRT,308,1.7,D
41.78938,42.46134,313,0.5,0.4,2017-09-05,2242,N,VIIRS,n,1.0NRT,287.8,1.9,N
41.58624,45.79322,345.6,0.4,0.4,2017-09-07,0942,N,VIIRS,n,1.0NRT,313.8,5.9,D
41.91533,44.41885,305.1,0.4,0.6,2017-09-07,2200,N,VIIRS,n,1.0NRT,285.4,1.6,N
41.30314,46.41856,343.8,0.5,0.5,2017-09-09,0906,N,VIIRS,n,1.0NRT,309.3,6.4,D
41.91663,44.41982,336.5,0.3,0.6,2017-09-09,0906,N,VIIRS,n,1.0NRT,304.1,3.7,D
41.51336,45.04617,309.7,0.4,0.4,2017-09-09,2306,N,VIIRS,n,1.0NRT,291.7,1.5,N
41.91798,44.41531,298,0.5,0.7,2017-09-17,2354,N,VIIRS,n,1.0NRT,287.2,1.6,N
41.38038,46.57129,331.3,0.3,0.6,2017-09-20,0900,N,VIIRS,n,1.0NRT,298.4,3.3,D
41.41933,44.70356,333.9,0.4,0.5,2017-09-24,0924,N,VIIRS,n,1.0NRT,299.1,21.8,D
41.91919,44.41695,306.6,0.59,0.53,2017-10-19,2212,N,VIIRS,n,1.0NRT,280.1,1.8,N
41.51595,45.0504,296.1,0.55,0.43,2017-10-21,2318,N,VIIRS,n,1.0NRT,279.6,1.1,N
41.51617,45.04799,296.7,0.39,0.36,2017-11-07,2300,N,VIIRS,n,1.0NRT,281.4,0.6,N
41.91628,44.41236,295.2,0.75,0.77,2017-11-11,2142,N,VIIRS,n,1.0NRT,275.4,2,N
41.91432,44.41839,303.6,0.41,0.45,2017-11-30,2230,N,VIIRS,n,1.0NRT,271.4,1.3,N
41.91798,44.41635,320.5,0.45,0.39,2017-12-10,2242,N,VIIRS,n,1.0NRT,275.4,2.1,N
41.91449,44.42129,301.3,0.34,0.56,2017-12-12,2342,N,VIIRS,n,1.0NRT,271.2,1.2,N
41.51244,45.04684,299.2,0.37,0.58,2017-12-12,2342,N,VIIRS,n,1.0NRT,273.2,0.8,N
41.91801,44.41848,306,0.41,0.37,2017-12-15,2248,N,VIIRS,n,1.0NRT,274.8,2,N
42.57956,44.20153,337.1,0.4,0.4,2017-09-06,1006,N,VIIRS,l,1.0NRT,307.3,9,D
42.49644,45.43158,342.3,0.4,0.6,2017-09-20,1042,N,VIIRS,n,1.0NRT,304.6,10.4,D
42.50012,45.45498,298.2,0.4,0.4,2017-09-20,2300,N,VIIRS,n,1.0NRT,280.5,1,N
42.68387,45.15857,324,0.5,0.5,2017-10-08,2224,N,VIIRS,n,1.0NRT,275.2,2.5,N
42.6838,45.15766,323.5,0.5,0.5,2017-10-08,2224,N,VIIRS,n,1.0NRT,275.2,3.1,N
42.67993,45.15728,347.7,0.4,0.4,2017-10-09,0942,N,VIIRS,n,1.0NRT,304.7,10.1,D
42.50576,44.84003,336.3,0.49,0.4,2017-11-14,1012,N,VIIRS,n,1.0NRT,293.2,3.8,D
42.50684,44.857,332.3,0.38,0.36,2017-11-15,0954,N,VIIRS,n,1.0NRT,292.5,4.1,D
42.3802,45.11656,352.9,0.4,0.4,2017-09-01,1000,N,VIIRS,n,1.0NRT,320.6,21.9,D
42.17031,45.53144,331.3,0.4,0.5,2017-09-03,0918,N,VIIRS,n,1.0NRT,298.7,5.3,D
42.37467,45.60572,367,0.4,0.6,2017-09-15,1036,N,VIIRS,n,1.0NRT,299.1,10.8,D
42.46466,45.21335,296,0.4,0.4,2017-09-15,2254,N,VIIRS,n,1.0NRT,279.7,0.8,N
42.47527,45.37165,367,0.7,0.8,2017-09-16,0836,N,VIIRS,n,1.0NRT,297.8,25.5,D
42.03573,44.02212,340.5,0.5,0.4,2017-09-16,1018,N,VIIRS,l,1.0NRT,314.9,6.9,D
42.46542,45.22181,340,0.4,0.5,2017-09-16,1018,N,VIIRS,n,1.0NRT,297.9,5.4,D
42.21082,42.6571,334.2,0.4,0.4,2017-09-17,1000,N,VIIRS,n,1.0NRT,307,2.6,D
42.31875,45.39989,299.5,0.5,0.7,2017-09-17,2354,N,VIIRS,n,1.0NRT,279.2,1.2,N
42.3147,45.39591,308.2,0.5,0.7,2017-09-18,2154,N,VIIRS,n,1.0NRT,280.3,1.7,N
42.31821,45.38913,341.1,0.4,0.5,2017-09-19,0918,N,VIIRS,n,1.0NRT,301.5,5.8,D
42.11047,42.79137,331.8,0.6,0.5,2017-09-19,0918,N,VIIRS,n,1.0NRT,305.5,2.7,D
42.31571,45.39141,367,0.7,0.8,2017-09-19,1100,N,VIIRS,n,1.0NRT,309.3,34.7,D
42.3195,45.38837,357.6,0.7,0.8,2017-09-19,1100,N,VIIRS,n,1.0NRT,297.7,16.9,D
42.32004,45.38252,330.4,0.4,0.6,2017-09-20,1042,N,VIIRS,n,1.0NRT,298.2,7.3,D
42.27347,45.56565,340,0.6,0.7,2017-09-21,0842,N,VIIRS,n,1.0NRT,295.7,11.8,D
42.34913,45.23439,336.5,0.5,0.5,2017-09-21,1024,N,VIIRS,l,1.0NRT,309,7.5,D
42.50434,45.457,299.7,0.4,0.4,2017-09-21,2242,N,VIIRS,n,1.0NRT,280.5,2.4,N
42.34647,45.22579,308.4,0.5,0.5,2017-09-22,2224,N,VIIRS,n,1.0NRT,284.7,2.3,N
42.5066,45.44791,367,0.5,0.4,2017-09-24,0924,N,VIIRS,n,1.0NRT,294.1,15.1,D
42.03098,44.31652,367,0.4,0.6,2017-10-06,0900,N,VIIRS,n,1.0NRT,304.7,29.4,D
42.3581,44.44838,346.4,0.44,0.38,2017-11-05,0936,N,VIIRS,n,1.0NRT,287.1,13.7,D
42.13692,41.77798,299.4,0.54,0.42,2017-12-02,2330,N,VIIRS,n,1.0NRT,280.3,0.8,N
42.25821,41.66831,334.3,0.43,0.38,2017-12-17,0954,N,VIIRS,n,1.0NRT,286.9,1.8,D
42.2564,41.66075,319,0.49,0.65,2017-12-17,0006,N,VIIRS,n,1.0NRT,276.3,3.6,N
42.09378,41.82668,305.3,0.39,0.36,2017-12-03,2312,N,VIIRS,n,1.0NRT,279.9,0.9,N
41.54189,45.84432,340.7,0.4,0.4,2017-09-02,0936,N,VIIRS,l,1.0NRT,314.7,3.3,D
41.43599,46.17164,341.9,0.5,0.7,2017-09-10,0848,N,VIIRS,n,1.0NRT,300.2,4.8,D
41.91822,44.42036,302.7,0.4,0.6,2017-09-12,2206,N,VIIRS,n,1.0NRT,290.6,1.4,N
41.42794,46.3668,340.3,0.4,0.4,2017-09-13,0930,N,VIIRS,n,1.0NRT,311.6,4,D
41.51461,45.04761,315.6,0.4,0.4,2017-09-15,2254,N,VIIRS,n,1.0NRT,292.9,1.8,N
41.97952,45.52575,331.9,0.4,0.4,2017-09-17,1000,N,VIIRS,n,1.0NRT,303.4,2,D
41.91802,44.42077,310.1,0.5,0.4,2017-09-19,2318,N,VIIRS,n,1.0NRT,289.4,1.8,N
41.91825,44.41908,321.6,0.4,0.5,2017-10-13,2230,N,VIIRS,n,1.0NRT,282.9,3.1,N
41.42572,45.87273,367,0.36,0.57,2017-10-17,1036,N,VIIRS,l,1.0NRT,289.4,13.9,D
41.51616,45.04601,295.7,0.39,0.36,2017-10-22,2300,N,VIIRS,n,1.0NRT,283.6,0.4,N
41.51405,45.04715,298.1,0.62,0.71,2017-10-25,0000,N,VIIRS,n,1.0NRT,280.4,1.1,N
41.515,45.04726,301.2,0.37,0.58,2017-10-25,2342,N,VIIRS,n,1.0NRT,282.1,0.8,N
41.31745,46.51509,327,0.55,0.43,2017-10-29,1012,N,VIIRS,n,1.0NRT,298.5,3.1,D
41.43537,44.8468,346,0.47,0.4,2017-10-29,1012,N,VIIRS,n,1.0NRT,298.3,7.7,D
41.43902,44.84607,336.9,0.47,0.4,2017-10-29,1012,N,VIIRS,n,1.0NRT,296,9.6,D
41.51728,45.04721,296.5,0.38,0.36,2017-11-02,2254,N,VIIRS,n,1.0NRT,274.5,0.6,N
41.22778,44.2288,345.2,0.52,0.41,2017-11-03,1018,N,VIIRS,n,1.0NRT,287.5,6.1,D
41.91759,44.41791,329.2,0.53,0.42,2017-11-03,1018,N,VIIRS,n,1.0NRT,293,3.6,D
41.51549,45.04562,295.4,0.49,0.4,2017-11-03,2236,N,VIIRS,n,1.0NRT,274.8,0.8,N
41.9151,44.41773,321.2,0.39,0.36,2017-11-18,2254,N,VIIRS,n,1.0NRT,277.1,2.3,N
42.26009,41.65529,326.9,0.49,0.65,2017-12-17,0006,N,VIIRS,n,1.0NRT,274.3,3.3,N
42.23771,41.67504,335.3,0.43,0.38,2017-12-17,0954,N,VIIRS,n,1.0NRT,289.1,4.1,D
42.26413,41.66098,329.4,0.43,0.38,2017-12-17,0954,N,VIIRS,n,1.0NRT,286.5,3.2,D
42.26662,41.65477,339.7,0.43,0.38,2017-12-17,0954,N,VIIRS,n,1.0NRT,287.4,3,D
42.88342,41.4628,328.4,0.42,0.38,2017-12-17,0954,N,VIIRS,n,1.0NRT,289.6,3.8,D
42.23987,41.66038,321.3,0.5,0.66,2017-12-17,2206,N,VIIRS,n,1.0NRT,255.9,4.3,N
42.12487,43.01084,335,0.4,0.4,2017-09-01,1000,N,VIIRS,n,1.0NRT,301.1,3.1,D
42.13184,42.97586,328.7,0.4,0.5,2017-09-10,1030,N,VIIRS,l,1.0NRT,302.5,1.7,D
42.13062,42.97749,307.4,0.5,0.4,2017-09-10,2248,N,VIIRS,n,1.0NRT,290.2,0.9,N
42.06242,42.81196,337.3,0.4,0.4,2017-09-12,0948,N,VIIRS,n,1.0NRT,305.3,3.5,D
42.12998,42.97933,339.4,0.4,0.5,2017-09-13,2330,N,VIIRS,n,1.0NRT,290.1,3.5,N
42.12262,43.01208,300.5,0.4,0.5,2017-09-13,2330,N,VIIRS,n,1.0NRT,289.6,0.9,N
42.11761,43.0247,306.8,0.4,0.6,2017-09-17,2212,N,VIIRS,n,1.0NRT,291.2,0.6,N
41.38187,43.25713,336.6,0.4,0.4,2017-09-22,1006,N,VIIRS,l,1.0NRT,308,4.9,D
41.38051,43.24759,342,0.4,0.4,2017-09-22,1006,N,VIIRS,n,1.0NRT,310,8.3,D
41.40162,43.23452,367,0.4,0.4,2017-09-23,0942,N,VIIRS,n,1.0NRT,363,215.4,D
42.12912,42.9784,301.4,0.4,0.4,2017-09-25,2306,N,VIIRS,n,1.0NRT,289.5,0.5,N
42.12381,43.01075,301.7,0.4,0.4,2017-09-25,2306,N,VIIRS,n,1.0NRT,290,0.5,N
42.11662,43.02116,295.1,0.5,0.5,2017-10-04,2336,N,VIIRS,n,1.0NRT,280.7,0.8,N
42.13033,42.9781,296.8,0.4,0.4,2017-10-06,2300,N,VIIRS,n,1.0NRT,280.9,0.5,N
42.12892,42.97821,304.6,0.5,0.4,2017-10-07,2242,N,VIIRS,n,1.0NRT,283.8,0.7,N
42.1255,43.00988,295.7,0.5,0.4,2017-10-07,2242,N,VIIRS,n,1.0NRT,283.9,1.4,N
42.13224,42.98147,300.3,0.5,0.5,2017-10-13,2230,N,VIIRS,n,1.0NRT,279.9,1.3,N
42.12977,42.97862,332.4,0.38,0.36,2017-10-19,1000,N,VIIRS,n,1.0NRT,294.4,2.8,D
42.1298,42.97847,333.1,0.38,0.36,2017-11-04,1000,N,VIIRS,n,1.0NRT,292.7,3.6,D
42.13039,42.97964,309.4,0.41,0.37,2017-11-18,2254,N,VIIRS,n,1.0NRT,269.1,1,N
42.26746,42.63953,318.1,0.32,0.55,2017-12-01,2348,N,VIIRS,n,1.0NRT,280.4,1.1,N
42.12421,43.01099,312.9,0.41,0.37,2017-12-03,2312,N,VIIRS,n,1.0NRT,277.5,0.9,N
42.12257,43.01355,301.8,0.35,0.57,2017-12-06,2212,N,VIIRS,n,1.0NRT,268.6,0.7,N
42.11846,43.02216,297,0.39,0.36,2017-12-09,2300,N,VIIRS,n,1.0NRT,273.7,0.8,N
42.13078,42.98158,299.2,0.39,0.36,2017-12-14,2306,N,VIIRS,n,1.0NRT,270.8,0.9,N
41.79039,42.4594,332.7,0.4,0.4,2017-09-06,1006,N,VIIRS,l,1.0NRT,305.5,6.8,D
41.78066,42.64727,326,0.5,0.4,2017-09-21,2242,N,VIIRS,n,1.0NRT,287.2,3.4,N
41.3895,46.47485,330.4,0.5,0.7,2017-09-26,0848,N,VIIRS,n,1.0NRT,290.5,2.4,D
41.41632,44.77719,343,0.33,0.55,2017-10-27,0906,N,VIIRS,n,1.0NRT,295.4,5.1,D
42.13112,42.98233,301.6,0.4,0.4,2017-09-14,2312,N,VIIRS,n,1.0NRT,290.4,1.3,N
42.12281,43.01024,299.5,0.6,0.7,2017-10-04,2154,N,VIIRS,n,1.0NRT,280.4,0.8,N
42.58998,44.74889,336.9,0.4,0.4,2017-09-02,0936,N,VIIRS,n,1.0NRT,305.8,5.5,D
41.91755,44.42048,325.5,0.4,0.4,2017-09-04,2300,N,VIIRS,n,1.0NRT,294.1,2,N
41.91846,44.41579,319.7,0.4,0.6,2017-09-12,2206,N,VIIRS,n,1.0NRT,291.3,2.3,N
41.91827,44.41966,309.3,0.36,0.57,2017-11-15,2206,N,VIIRS,n,1.0NRT,280.2,1.1,N
41.91634,44.4207,313.9,0.41,0.45,2017-12-16,2230,N,VIIRS,n,1.0NRT,274.9,1.6,N
41.91631,44.41611,325.1,0.41,0.37,2017-12-27,1006,N,VIIRS,n,1.0NRT,287,3.6,D
42.45911,45.21979,351.3,0.3,0.6,2017-09-15,1036,N,VIIRS,n,1.0NRT,312.8,7.3,D
42.44568,45.23185,345.9,0.4,0.5,2017-09-16,1018,N,VIIRS,n,1.0NRT,299.5,4.5,D
42.68071,45.16204,367,0.4,0.4,2017-10-09,0942,N,VIIRS,n,1.0NRT,309.6,10.1,D
41.80455,44.77522,334.7,0.5,0.4,2017-09-13,0930,N,VIIRS,n,1.0NRT,306.8,2.2,D
41.74552,46.12285,340.2,0.46,0.47,2017-11-01,0912,N,VIIRS,n,1.0NRT,295.9,8.6,D
41.54993,45.56905,325.7,0.59,0.7,2017-12-10,0842,N,VIIRS,n,1.0NRT,282.4,3.6,D
41.39636,43.52744,336.3,0.5,0.6,2017-09-04,0900,N,VIIRS,n,1.0NRT,308.7,3.3,D
42.30947,41.62224,344.5,0.44,0.62,2017-12-30,0906,N,VIIRS,n,1.0NRT,278.3,11,D
43.01261,41.19843,297,0.43,0.38,2017-12-29,2324,N,VIIRS,n,1.0NRT,282.1,0.5,N
42.05215,41.73403,338.7,0.44,0.62,2017-12-30,0906,N,VIIRS,n,1.0NRT,275.2,2,D
41.49705,43.52131,342.4,0.4,0.4,2017-09-06,1006,N,VIIRS,n,1.0NRT,314.9,5.2,D
41.507,45.8463,337.8,0.6,0.5,2017-09-10,1030,N,VIIRS,n,1.0NRT,306.2,3.2,D
41.69113,43.33492,341.6,0.4,0.4,2017-09-23,0942,N,VIIRS,n,1.0NRT,305.9,6.3,D
41.39205,43.24218,347,0.4,0.4,2017-09-23,0942,N,VIIRS,l,1.0NRT,317.4,31.8,D
41.40254,43.23946,336.7,0.4,0.4,2017-09-23,0942,N,VIIRS,n,1.0NRT,299,215.4,D
41.40509,43.23347,338.5,0.4,0.4,2017-09-23,0942,N,VIIRS,n,1.0NRT,309.9,215.4,D
41.25026,43.60435,300.8,0.7,0.8,2017-09-13,2148,N,VIIRS,n,1.0NRT,276.1,2.2,N
41.37141,43.44241,334.9,0.3,0.6,2017-09-14,0912,N,VIIRS,n,1.0NRT,309.8,2.2,D
41.38578,43.2434,330.6,0.5,0.4,2017-09-21,2242,N,VIIRS,n,1.0NRT,292.1,27.6,N
41.38519,43.24862,354.6,0.5,0.4,2017-09-21,2242,N,VIIRS,n,1.0NRT,293.5,10.4,N
41.38223,43.43015,339,0.4,0.4,2017-09-22,1006,N,VIIRS,n,1.0NRT,309.9,3.4,D
41.38713,43.24316,302.8,0.6,0.5,2017-09-22,2224,N,VIIRS,n,1.0NRT,280.6,1.6,N
41.85546,45.08479,344.1,0.7,0.8,2017-09-19,1100,N,VIIRS,n,1.0NRT,287.9,9.1,D
