latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.36837,6.70819,320.1,0.6,0.53,2017-01-18,0234,N,VIIRS,n,1,273.3,2.8,
51.36634,6.70577,313.4,0.76,0.77,2017-01-21,0317,N,VIIRS,n,1,271.2,3.8,
51.36813,6.70644,324.8,0.52,0.67,2017-01-22,0258,N,VIIRS,n,1,273.1,3.3,
51.3678,6.7048,343,0.42,0.61,2017-01-22,1107,N,VIIRS,n,1,279.4,3.2,
51.36716,6.70509,334.4,0.36,0.58,2017-01-27,1113,N,VIIRS,n,1,279.2,3.4,
51.36514,6.70653,339.9,0.43,0.46,2017-02-13,0106,N,VIIRS,n,1,276.3,5.1,
51.36805,6.70571,323.9,0.55,0.68,2017-02-15,0028,N,VIIRS,n,1,281.1,3.4,
51.36697,6.70821,323.9,0.55,0.68,2017-02-15,0028,N,VIIRS,n,1,281,2.5,
51.36676,6.70597,335.4,0.44,0.38,2017-02-15,1156,N,VIIRS,n,1,289.3,3.6,
51.36478,6.70588,345.6,0.34,0.56,2017-02-24,0239,N,VIIRS,n,1,276.7,5.3,
51.3676,6.70686,326.7,0.55,0.68,2017-03-03,0027,N,VIIRS,n,1,268.3,4.6,
51.36523,6.70843,335.3,0.5,0.49,2017-03-12,0059,N,VIIRS,n,1,257.9,6.3,
51.36769,6.70502,316.6,0.4,0.6,2017-03-13,0040,N,VIIRS,n,1,271.9,1.5,
51.36724,6.70706,325.8,0.46,0.47,2017-03-16,1253,N,VIIRS,n,1,294.3,2.8,
51.36539,6.70752,325.7,0.49,0.65,2017-03-22,1100,N,VIIRS,n,1,290,3.3,
51.36804,6.70768,342.7,0.63,0.54,2017-03-26,1305,N,VIIRS,n,1,288.2,7.8,
51.36721,6.70742,351.7,0.42,0.61,2017-03-27,1106,N,VIIRS,n,1,298.5,8.6,
51.36564,6.70462,331.6,0.42,0.38,2017-03-28,1227,N,VIIRS,n,1,298.3,3.3,
51.36477,6.70429,339.8,0.35,0.56,2017-04-03,0046,N,VIIRS,n,1,281.1,5.5,
51.36517,6.70668,348,0.55,0.68,2017-04-04,0027,N,VIIRS,n,1,282.2,5.7,
51.36653,6.70726,338.5,0.37,0.58,2017-04-17,1112,N,VIIRS,n,1,286.8,3.2,
51.36626,6.70629,343.5,0.5,0.41,2017-04-28,0118,N,VIIRS,n,1,280.8,4.4,
51.36793,6.70469,331.9,0.39,0.36,2017-04-30,1209,N,VIIRS,n,1,300.1,3.8,
51.36528,6.70467,329,0.44,0.46,2017-07-07,0105,N,VIIRS,n,1,288,4.8,
51.36646,6.70636,346.9,0.4,0.44,2017-07-17,1246,N,VIIRS,n,1,298.9,7.9,
