latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
50.65632,11.43225,302.8,0.5,0.5,2017-09-05,0036,N,VIIRS,n,1.0NRT,281.5,0.9,N
50.65427,11.43566,296.9,0.4,0.4,2017-09-19,0118,N,VIIRS,n,1.0NRT,280.5,0.6,N
53.51247,10.03672,311.9,0.5,0.5,2017-09-10,0042,N,VIIRS,n,1.0NRT,282.7,2.6,N
53.51043,10.03611,324.5,0.4,0.4,2017-09-28,0148,N,VIIRS,n,1.0NRT,285.7,2.5,N
53.51971,9.90124,305.7,0.45,0.47,2017-10-17,0048,N,VIIRS,n,1.0NRT,279.9,1.7,N
52.35576,9.88895,299.1,0.44,0.46,2017-10-17,0048,N,VIIRS,n,1.0NRT,285.9,0.8,N
52.35197,9.8885,299.7,0.35,0.56,2017-11-03,0030,N,VIIRS,n,1.0NRT,279.2,0.7,N
53.5228,9.90496,323.7,0.47,0.4,2017-11-04,0154,N,VIIRS,n,1.0NRT,279.7,2.3,N
53.52281,9.89946,299.5,0.4,0.44,2017-11-14,0206,N,VIIRS,n,1.0NRT,274.9,1.5,N
53.51101,10.0344,300.7,0.5,0.66,2017-11-17,0248,N,VIIRS,n,1.0NRT,276.6,2,N
52.35319,9.88918,297.6,0.51,0.49,2017-11-29,0042,N,VIIRS,n,1.0NRT,274.3,1.1,N
52.35443,9.88886,296.3,0.42,0.45,2017-11-30,0206,N,VIIRS,n,1.0NRT,271.7,0.8,N
51.29632,7.01176,322.4,0.5,0.4,2017-09-03,0118,N,VIIRS,n,1.0NRT,284.1,3.7,N
52.56061,7.30281,296.4,0.3,0.6,2017-09-10,0042,N,VIIRS,n,1.0NRT,282.7,0.6,N
52.20852,8.04944,329.8,0.5,0.4,2017-09-17,1142,N,VIIRS,n,1.0NRT,294.9,3.2,D
52.20898,8.04261,303.1,0.5,0.4,2017-09-22,0200,N,VIIRS,n,1.0NRT,278.8,1.5,N
52.21029,8.04428,311.1,0.5,0.5,2017-10-01,0048,N,VIIRS,n,1.0NRT,280.2,1.2,N
51.47502,7.16176,295.8,0.6,0.5,2017-10-01,0048,N,VIIRS,n,1.0NRT,280.1,1.1,N
51.29839,7.01001,314.5,0.4,0.4,2017-10-15,0130,N,VIIRS,n,1.0NRT,286.1,1.8,N
51.69955,8.74677,296.4,0.5,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,284.8,0.6,N
51.61761,8.5085,301,0.5,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,286.7,1,N
52.20715,8.04869,302.1,0.5,0.7,2017-10-16,0248,N,VIIRS,n,1.0NRT,285.4,1.2,N
52.21114,8.04292,298.9,0.52,0.5,2017-10-17,0048,N,VIIRS,n,1.0NRT,285.2,1.2,N
51.76469,8.05429,306.4,0.41,0.61,2017-10-18,0030,N,VIIRS,n,1.0NRT,283.5,1,N
