latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.82767,21.45063,353.3,0.41,0.45,2017-08-15,1158,N,VIIRS,n,1,309.4,8.4,
37.85263,20.65052,356.6,0.48,0.4,2017-08-26,1152,N,VIIRS,n,1,324.4,21.7,
37.82605,20.66721,307.8,0.62,0.71,2017-08-28,0134,N,VIIRS,n,1,291.2,5.2,
37.81942,20.66541,330.7,0.62,0.71,2017-08-28,0134,N,VIIRS,n,1,292.9,5.2,
37.82203,20.68489,305.5,0.62,0.71,2017-08-28,0134,N,VIIRS,n,1,290.5,2.7,
39.6221,20.79305,348.2,0.51,0.41,2017-08-26,1153,N,VIIRS,n,1,319.9,8.7,
37.35402,22.39176,327.3,0.39,0.36,2017-03-20,1133,N,VIIRS,n,1,294.5,2.7,
37.24773,23.1317,343,0.39,0.36,2017-08-01,1120,N,VIIRS,l,1,313.4,26.2,
37.49562,21.72118,367,0.51,0.49,2017-08-20,1205,N,VIIRS,h,1,327.8,59.3,
38.56197,23.29319,300.5,0.55,0.68,2017-04-12,0120,N,VIIRS,n,1,283.2,1.4,
38.5634,23.29392,314.5,0.38,0.59,2017-05-20,0108,N,VIIRS,n,1,286.1,2.1,
38.56711,23.29674,337.8,0.46,0.39,2017-07-31,1139,N,VIIRS,n,1,308,6.2,
39.98428,25.25247,335.8,0.45,0.63,2017-02-04,1019,N,VIIRS,n,1,287,11.3,
38.37491,24.06168,298.1,0.45,0.39,2017-03-03,0031,N,VIIRS,n,1,279.8,1,
38.31857,23.62039,336.2,0.45,0.39,2017-04-01,1108,N,VIIRS,n,1,295.3,5.8,
38.37217,24.06058,307.1,0.35,0.57,2017-06-16,0102,N,VIIRS,n,1,287.4,1.5,
38.37257,24.062,303.7,0.45,0.39,2017-06-23,0030,N,VIIRS,n,1,292.3,1,
38.27155,23.88643,352.7,0.61,0.71,2017-08-13,2315,N,VIIRS,n,1,290.2,49.7,
38.26471,23.89421,324.1,0.6,0.71,2017-08-13,2315,N,VIIRS,n,1,289.8,49.7,
38.29089,23.86375,306.8,0.57,0.52,2017-08-14,0056,N,VIIRS,n,1,291.3,1.8,
38.25299,23.91496,354.4,0.58,0.52,2017-08-14,0056,N,VIIRS,n,1,295.2,11.7,
38.24538,23.94604,310.9,0.58,0.52,2017-08-14,0056,N,VIIRS,n,1,289.7,30,
38.23954,23.93976,367,0.34,0.56,2017-08-14,1037,N,VIIRS,h,1,304.4,13.7,
38.24522,23.88592,337,0.51,0.41,2017-08-15,0037,N,VIIRS,n,1,291.3,6.2,
38.37585,24.06104,304.3,0.4,0.45,2017-08-20,0043,N,VIIRS,n,1,293.3,0.9,
37.63611,22.38541,330.1,0.4,0.37,2017-02-22,1121,N,VIIRS,n,1,293.6,2.2,
36.23495,22.94623,344.7,0.49,0.4,2017-08-05,1145,N,VIIRS,n,1,316.6,71.2,
39.31438,22.55542,331.9,0.48,0.48,2017-07-30,1159,N,VIIRS,l,1,305.3,2.8,
37.58632,25.1623,307,0.35,0.56,2017-07-22,2328,N,VIIRS,n,1,292.4,0.7,
35.26447,23.60576,305.1,0.42,0.37,2017-07-04,0025,N,VIIRS,n,1,293.4,0.6,
38.12734,23.52544,300,0.39,0.44,2017-02-25,0043,N,VIIRS,n,1,278.1,0.7,
38.03813,23.78294,337.8,0.4,0.37,2017-03-21,1114,N,VIIRS,n,1,298.4,2.8,
38.13022,23.52731,308.4,0.5,0.41,2017-04-26,2359,N,VIIRS,n,1,285.4,1.5,
38.05249,23.41838,317.5,0.4,0.37,2017-08-27,0012,N,VIIRS,n,1,293.1,2.2,
35.36187,23.82117,329.4,0.45,0.39,2017-02-21,1139,N,VIIRS,n,1,288.6,4.3,
35.41435,25.01081,327.7,0.39,0.44,2017-02-02,1055,N,VIIRS,n,1,288.1,1.9,
38.13004,23.52592,308.3,0.38,0.44,2017-01-31,2353,N,VIIRS,n,1,277.6,0.8,
38.54921,23.28069,329.2,0.47,0.4,2017-02-05,1140,N,VIIRS,n,1,280.9,8.6,
39.46057,22.27594,337.8,0.4,0.44,2017-02-15,1153,N,VIIRS,n,1,291.3,2.4,
38.56391,23.29502,302,0.4,0.37,2017-02-16,0012,N,VIIRS,n,1,282.2,1.6,
38.5651,23.29285,308.4,0.48,0.4,2017-03-24,0037,N,VIIRS,n,1,287.8,1.4,
39.38723,22.80877,296.3,0.41,0.61,2017-04-23,0114,N,VIIRS,n,1,276.4,0.6,
38.13198,23.52579,296.7,0.35,0.57,2017-05-08,2334,N,VIIRS,n,1,282.6,0.5,
38.56353,23.29481,308.2,0.45,0.39,2017-06-19,0005,N,VIIRS,n,1,288.8,5.5,
39.48303,22.09752,367,0.6,0.71,2017-07-07,1230,N,VIIRS,h,1,300.2,11.8,
38.56755,23.29576,309.8,0.47,0.4,2017-07-14,0037,N,VIIRS,n,1,296.1,2.8,
39.48477,22.55482,340.5,0.64,0.72,2017-07-30,1018,N,VIIRS,n,1,301.1,7.3,
38.28273,23.89647,327.4,0.57,0.52,2017-08-14,0056,N,VIIRS,n,1,293.9,7.2,
38.27585,23.88382,340.2,0.57,0.52,2017-08-14,0056,N,VIIRS,n,1,295.9,30.6,
38.25143,23.92133,333,0.58,0.52,2017-08-14,0056,N,VIIRS,n,1,292.5,11.7,
38.26998,23.93888,314.2,0.51,0.41,2017-08-15,0037,N,VIIRS,n,1,292.5,2.5,
38.61542,21.64474,331.6,0.63,0.54,2017-08-25,1211,N,VIIRS,n,1,305.4,2.2,
39.76828,20.31991,315.8,0.5,0.49,2017-08-08,0108,N,VIIRS,n,1,290.5,2.3,
40.23841,20.72016,307.6,0.37,0.58,2017-04-28,0120,N,VIIRS,n,1,273.6,1.5,
