latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
39.58655,21.69701,332.9,0.4,0.4,2017-10-09,1124,N,VIIRS,n,1.0NRT,300.8,2.6,D
38.39912,21.50194,323.7,0.4,0.4,2017-10-08,0024,N,VIIRS,n,1.0NRT,283.1,2.6,N
39.89923,21.57703,333.8,0.4,0.4,2017-10-15,1112,N,VIIRS,n,1.0NRT,299.8,3,D
36.74675,25.32222,330.3,0.3,0.6,2017-09-08,2324,N,VIIRS,n,1.0NRT,293.4,3.6,N
35.38319,24.65698,326.5,0.39,0.36,2017-11-10,1124,N,VIIRS,n,1.0NRT,288.1,1.2,D
40.61137,22.3307,341.5,0.4,0.5,2017-09-14,1054,N,VIIRS,n,1.0NRT,303.8,4.8,D
37.47254,25.41065,331.2,0.51,0.41,2017-11-01,1054,N,VIIRS,n,1.0NRT,292.3,11.6,D
37.85282,22.715,309.5,0.5,0.4,2017-09-21,0042,N,VIIRS,n,1.0NRT,289.1,9.1,N
38.31071,23.64813,340.9,0.4,0.4,2017-09-08,1106,N,VIIRS,n,1.0NRT,303.9,4.2,D
38.52303,23.90545,295.3,0.5,0.7,2017-10-16,0112,N,VIIRS,n,1.0NRT,279.1,0.9,N
41.10918,24.05049,344.7,0.5,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,307.1,20.4,D
37.84164,22.72972,350.1,0.5,0.4,2017-09-21,0042,N,VIIRS,n,1.0NRT,325.1,42.3,N
40.67214,23.35219,344.7,0.5,0.5,2017-09-04,1042,N,VIIRS,n,1.0NRT,302,15.5,D
40.28445,23.4438,298.4,0.4,0.4,2017-10-13,0030,N,VIIRS,n,1.0NRT,285,0.5,N
39.52724,22.40663,340.9,0.4,0.4,2017-09-17,1136,N,VIIRS,n,1.0NRT,314.6,1.2,D
39.41193,22.51252,341.7,0.5,0.4,2017-09-24,1106,N,VIIRS,n,1.0NRT,308.3,7.1,D
39.54221,20.38958,328.8,0.39,0.44,2017-11-03,1154,N,VIIRS,n,1.0NRT,293.6,2.5,D
41.11696,23.29502,331.3,0.47,0.4,2017-10-21,1100,N,VIIRS,n,1.0NRT,298.2,3.9,D
40.7456,22.38304,348.9,0.78,0.78,2017-11-01,1236,N,VIIRS,n,1.0NRT,291.4,11,D
39.06216,20.86907,341.3,0.4,0.37,2017-11-04,1136,N,VIIRS,n,1.0NRT,297.1,11.8,D
37.97319,21.27946,333.4,0.45,0.63,2017-10-22,1224,N,VIIRS,n,1.0NRT,298,3.2,D
39.389,22.3767,332.3,0.4,0.5,2017-10-16,1054,N,VIIRS,l,1.0NRT,304.3,2.3,D
39.05665,22.3526,346.6,0.56,0.43,2017-10-21,1100,N,VIIRS,n,1.0NRT,305,20.3,D
38.56167,23.29189,306.8,0.6,0.7,2017-09-19,0118,N,VIIRS,n,1.0NRT,291.6,1.5,N
40.99499,24.94862,346.3,0.42,0.38,2017-12-08,1100,N,VIIRS,n,1.0NRT,287.4,4.8,D
41.03354,23.4056,331.6,0.38,0.36,2017-10-20,1118,N,VIIRS,n,1.0NRT,297.7,3.8,D
41.09649,23.3677,297.2,0.37,0.58,2017-10-31,2330,N,VIIRS,n,1.0NRT,276,0.3,N
40.93753,26.12713,334.5,0.4,0.4,2017-09-06,0024,N,VIIRS,n,1.0NRT,308.4,22.4,N
