latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
47.18961,19.29467,338.4,0.49,0.49,2017-02-25,1207,N,VIIRS,n,1,284.8,6.9,
47.50729,21.36851,327,0.61,0.54,2017-02-25,1207,N,VIIRS,n,1,283,2.8,
47.88402,20.84888,335.9,0.39,0.44,2017-03-17,1052,N,VIIRS,n,1,288.1,2.3,
48.15746,19.6537,331.7,0.49,0.4,2017-03-27,1104,N,VIIRS,n,1,290.8,3.9,
48.38866,20.47749,357.4,0.56,0.52,2017-03-29,1207,N,VIIRS,n,1,298.7,17.5,
47.90809,21.02075,339.2,0.44,0.62,2017-03-31,0143,N,VIIRS,n,1,279,7.9,
47.58696,19.12444,342,0.47,0.48,2017-04-02,1052,N,VIIRS,n,1,299.1,2.6,
46.94241,18.94338,303.5,0.47,0.4,2017-05-20,0106,N,VIIRS,n,1,287.8,1.3,
46.9455,18.93534,300.6,0.48,0.48,2017-05-23,0009,N,VIIRS,n,1,279.7,1.3,
46.93402,18.9506,296.5,0.42,0.38,2017-06-16,0100,N,VIIRS,n,1,282.3,1.1,
47.4687,19.28265,340.3,0.39,0.36,2017-06-24,1136,N,VIIRS,n,1,306.7,1.4,
47.56977,19.55977,331.5,0.53,0.5,2017-07-18,1046,N,VIIRS,n,1,298.5,3.4,
46.93929,18.9525,300.9,0.57,0.52,2017-07-21,0003,N,VIIRS,n,1,285.5,2.9,
47.03917,20.37207,356.2,0.39,0.36,2017-07-21,1129,N,VIIRS,n,1,303.8,18.8,
48.07955,21.18667,297.4,0.51,0.41,2017-07-31,0015,N,VIIRS,n,1,286.4,0.4,
47.91019,21.04712,303.5,0.47,0.4,2017-08-19,0100,N,VIIRS,n,1,289.3,0.7,
46.55374,17.92556,329.3,0.38,0.36,2017-03-04,1136,N,VIIRS,n,1,290,2.9,
46.79904,17.96832,332,0.42,0.38,2017-03-14,1148,N,VIIRS,n,1,290.2,6,
46.35057,18.56775,340.9,0.63,0.72,2017-01-06,1246,N,VIIRS,n,1,269.6,5.7,
47.08058,18.30099,325.2,0.39,0.36,2017-03-04,1136,N,VIIRS,n,1,290.8,1.7,
46.71193,18.38642,346.1,0.51,0.41,2017-03-16,1110,N,VIIRS,n,1,287.6,11.3,
46.70814,18.38682,325.2,0.51,0.41,2017-03-16,1110,N,VIIRS,l,1,295.5,16.5,
46.98004,18.35193,322.1,0.6,0.71,2017-03-26,2338,N,VIIRS,n,1,267.8,3.3,
46.44957,17.30766,349.8,0.35,0.57,2017-03-28,1045,N,VIIRS,n,1,294.6,4,
46.69907,18.36279,367,0.36,0.58,2017-03-28,1226,N,VIIRS,h,1,301.9,14.6,
46.70155,18.3643,333.9,0.36,0.58,2017-03-28,1226,N,VIIRS,n,1,300.6,44.6,
46.70137,18.35949,345,0.36,0.58,2017-03-28,1226,N,VIIRS,n,1,316.8,44.6,
46.70119,18.35464,329.7,0.36,0.58,2017-03-28,1226,N,VIIRS,l,1,302.3,18.3,
47.07679,18.52335,306.1,0.45,0.47,2017-03-29,1207,N,VIIRS,l,1,310,36.5,
46.5678,17.59297,325.1,0.4,0.6,2017-04-08,1039,N,VIIRS,n,1,287.9,4.2,
46.01429,17.98319,299.4,0.38,0.36,2017-04-03,0047,N,VIIRS,n,1,283.1,1,
47.20525,16.90094,329.1,0.38,0.43,2017-02-25,1207,N,VIIRS,n,1,283.1,2.2,
47.3425,17.71563,339.2,0.54,0.51,2017-03-17,1052,N,VIIRS,n,1,289,9.7,
47.34063,17.71799,338.3,0.54,0.51,2017-03-17,1052,N,VIIRS,n,1,287.8,9.8,
47.72858,18.56456,348.5,0.46,0.47,2017-02-25,1208,N,VIIRS,n,1,292,32.6,
47.40777,18.48089,339.9,0.45,0.47,2017-03-13,1207,N,VIIRS,n,1,286.4,5,
47.33881,17.71109,338.1,0.54,0.51,2017-03-17,1052,N,VIIRS,n,1,289.3,9.8,
47.67509,18.22792,340.2,0.43,0.46,2017-03-22,1058,N,VIIRS,n,1,291.2,11.2,
47.32067,18.21467,335.1,0.56,0.69,2017-03-24,1021,N,VIIRS,n,1,284.9,4.5,
47.48239,17.94267,331.5,0.41,0.37,2017-03-26,1123,N,VIIRS,n,1,295,2.7,
48.25365,20.35039,297.2,0.5,0.49,2017-02-11,0003,N,VIIRS,n,1,268,0.9,
47.02187,20.84957,367,0.45,0.63,2017-03-24,1020,N,VIIRS,h,1,294.7,6.4,
48.24563,20.21205,297.8,0.39,0.36,2017-03-29,0040,N,VIIRS,n,1,277,0.4,
48.27895,20.59449,339,0.57,0.52,2017-03-29,1207,N,VIIRS,n,1,298.7,5,
48.18891,20.23282,335.7,0.41,0.45,2017-04-02,1052,N,VIIRS,n,1,299,2.5,
47.65544,17.40135,332.8,0.68,0.74,2017-03-03,1015,N,VIIRS,n,1,285.6,4.4,
47.0626,18.53641,332,0.57,0.43,2017-03-27,1104,N,VIIRS,n,1,293.9,8.9,
46.36562,16.98819,327.1,0.45,0.63,2017-01-01,1239,N,VIIRS,n,1,275.5,2,
46.42144,16.87288,345.3,0.39,0.36,2017-03-04,1136,N,VIIRS,n,1,292.5,4.2,
