latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
48.04248,21.06017,340,0.42,0.61,2017-10-17,1218,N,VIIRS,n,1.0NRT,295.4,4.2,D
47.90557,22.38387,346.1,0.4,0.37,2017-11-05,1124,N,VIIRS,n,1.0NRT,290.4,5.7,D
46.93614,18.94587,298,0.4,0.4,2017-09-10,0048,N,VIIRS,n,1.0NRT,286.7,0.7,N
46.94559,18.93437,326.6,0.33,0.55,2017-10-17,1218,N,VIIRS,l,1.0NRT,296.8,2.9,D
46.23958,20.22084,330.8,0.4,0.4,2017-09-14,1054,N,VIIRS,n,1.0NRT,302.8,2.7,D
47.2027,21.72592,331.5,0.39,0.36,2017-10-20,1124,N,VIIRS,n,1.0NRT,295.5,1.5,D
46.29845,20.19247,340.2,0.4,0.4,2017-09-28,1136,N,VIIRS,n,1.0NRT,293.9,4.4,D
45.96066,18.32454,330.6,0.5,0.4,2017-09-29,1112,N,VIIRS,n,1.0NRT,292.9,1.7,D
46.94432,18.93683,308.6,0.4,0.37,2017-10-17,0054,N,VIIRS,n,1.0NRT,286.5,1.4,N
46.29399,20.74968,329.8,0.55,0.43,2017-11-01,1054,N,VIIRS,n,1.0NRT,285.7,2.8,D
47.02876,20.35795,339.4,0.45,0.39,2017-11-04,1142,N,VIIRS,n,1.0NRT,291.7,6.1,D
46.29891,20.18949,299.4,0.48,0.48,2017-11-10,0000,N,VIIRS,n,1.0NRT,274.6,0.6,N
46.94098,18.94329,299.9,0.34,0.56,2017-12-07,0136,N,VIIRS,n,1.0NRT,273.1,1.7,N
46.9413,18.93748,302.6,0.4,0.37,2017-12-20,0054,N,VIIRS,n,1.0NRT,272.6,1.6,N
48.20819,21.69079,329.4,0.5,0.4,2017-09-30,1054,N,VIIRS,n,1.0NRT,289.1,3.1,D
48.25378,20.35427,309.8,0.54,0.42,2017-11-04,0012,N,VIIRS,n,1.0NRT,272.9,1.7,N
47.13427,16.52191,327.3,0.4,0.4,2017-10-14,1136,N,VIIRS,n,1.0NRT,290.1,2.9,D
47.02258,21.1958,330.6,0.5,0.4,2017-09-19,1100,N,VIIRS,n,1.0NRT,297,2.8,D
47.90609,21.01996,300.4,0.5,0.4,2017-09-17,0012,N,VIIRS,n,1.0NRT,284.2,0.8,N
46.93923,18.94585,296.3,0.4,0.37,2017-10-17,0054,N,VIIRS,n,1.0NRT,284.4,0.8,N
47.76572,21.99535,326.4,0.52,0.42,2017-10-19,1142,N,VIIRS,n,1.0NRT,296,4.1,D
47.94933,21.84685,326.3,0.52,0.41,2017-10-19,1142,N,VIIRS,n,1.0NRT,295.6,5.7,D
47.81003,19.10172,299.6,0.4,0.4,2017-09-10,0048,N,VIIRS,n,1.0NRT,287.9,0.7,N
47.80938,19.10355,295.7,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,280.1,0.5,N
47.29037,18.88377,302.3,0.4,0.4,2017-10-01,0054,N,VIIRS,n,1.0NRT,279.5,0.5,N
46.94218,18.94031,301.2,0.4,0.44,2017-10-19,0012,N,VIIRS,n,1.0NRT,287.3,0.8,N
46.95292,18.92811,303.6,0.39,0.6,2017-12-17,2348,N,VIIRS,n,1.0NRT,269.4,1.1,N
46.93653,18.94682,327.8,0.41,0.37,2017-12-21,0030,N,VIIRS,n,1.0NRT,266.4,2.6,N
46.941,18.93701,306.9,0.4,0.4,2017-09-10,0048,N,VIIRS,n,1.0NRT,289.6,1.3,N
46.63376,18.99505,329.2,0.41,0.37,2017-10-19,1142,N,VIIRS,n,1.0NRT,295.7,1.9,D
46.94094,18.94166,295.6,0.39,0.36,2017-11-24,0042,N,VIIRS,n,1.0NRT,267,0.8,N
46.82967,21.46846,332.1,0.49,0.4,2017-10-19,1142,N,VIIRS,n,1.0NRT,300.6,2.5,D
46.93611,18.94761,296,0.5,0.4,2017-09-14,0112,N,VIIRS,n,1.0NRT,284.8,0.8,N
46.94085,18.93833,305.2,0.4,0.4,2017-10-02,0030,N,VIIRS,n,1.0NRT,283.5,1.1,N
46.95012,18.94001,300,0.33,0.55,2017-10-19,2354,N,VIIRS,n,1.0NRT,283.9,0.9,N
46.94274,18.93927,302.1,0.46,0.63,2017-12-01,0148,N,VIIRS,n,1.0NRT,273,1,N
48.08714,21.18745,336,0.6,0.5,2017-09-10,1030,N,VIIRS,n,1.0NRT,301,4.4,D
48.09128,21.19106,367,0.4,0.6,2017-09-10,1212,N,VIIRS,n,1.0NRT,301,8.5,D
46.78522,21.29511,327.4,0.5,0.5,2017-09-15,1036,N,VIIRS,n,1.0NRT,295.5,2.2,D
46.68639,20.4514,337,0.5,0.5,2017-09-16,1200,N,VIIRS,n,1.0NRT,301.5,2.4,D
48.25543,20.35049,340.7,0.4,0.4,2017-09-29,1118,N,VIIRS,n,1.0NRT,289.8,3.8,D
48.25369,20.34954,297.7,0.4,0.6,2017-10-09,0142,N,VIIRS,n,1.0NRT,275.8,0.6,N
48.37164,20.88226,335.2,0.41,0.37,2017-10-26,1112,N,VIIRS,n,1.0NRT,285.1,3.9,D
48.0176,21.55209,328.4,0.42,0.45,2017-11-07,1042,N,VIIRS,n,1.0NRT,284.8,2.2,D
48.01946,21.55433,326.9,0.42,0.45,2017-11-07,1042,N,VIIRS,n,1.0NRT,284.1,2.4,D
48.01749,20.56358,329.1,0.42,0.37,2017-11-11,1106,N,VIIRS,n,1.0NRT,281.2,4,D
45.81253,18.39738,300.7,0.3,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,286.8,0.5,N
45.91149,18.06301,337.7,0.39,0.36,2017-10-19,1142,N,VIIRS,n,1.0NRT,301,4.1,D
46.94313,18.93798,303.1,0.3,0.6,2017-09-02,0136,N,VIIRS,n,1.0NRT,287.2,1,N
46.936,18.94802,309.6,0.5,0.4,2017-09-06,0018,N,VIIRS,n,1.0NRT,282.6,1.4,N
46.94172,18.9414,298.6,0.5,0.4,2017-09-09,0106,N,VIIRS,n,1.0NRT,285.7,1.1,N
46.93686,18.94923,334.3,0.4,0.4,2017-09-18,1124,N,VIIRS,n,1.0NRT,291.1,3.2,D
46.93731,18.952,296.6,0.5,0.4,2017-09-25,0106,N,VIIRS,n,1.0NRT,277.7,0.8,N
47.3853,19.93875,325.9,0.4,0.4,2017-09-28,1136,N,VIIRS,n,1.0NRT,292.7,1.7,D
46.93602,18.94819,324.8,0.4,0.4,2017-10-02,0030,N,VIIRS,n,1.0NRT,280.4,2.7,N
46.94237,18.93756,295.6,0.3,0.6,2017-10-04,0136,N,VIIRS,n,1.0NRT,282.1,1,N
47.6151,18.79389,332.7,0.4,0.4,2017-10-09,1130,N,VIIRS,n,1.0NRT,286.3,2.6,D
46.95274,18.92943,295.2,0.4,0.4,2017-10-12,0048,N,VIIRS,n,1.0NRT,281.8,0.6,N
