latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
53.43098,-7.14162,295.4,0.39,0.36,2017-01-02,0234,N,VIIRS,n,1,272.6,0.4,
53.59365,-6.91659,334.3,0.45,0.47,2017-04-08,1222,N,VIIRS,n,1,289.6,3.3,
54.11771,-6.91889,331.2,0.52,0.42,2017-05-01,1332,N,VIIRS,n,1,287.9,3.8,
53.27123,-6.88048,333.3,0.39,0.37,2017-05-02,1313,N,VIIRS,n,1,295.3,3.3,
54.07898,-6.94346,330.2,0.39,0.44,2017-05-06,1338,N,VIIRS,n,1,288.9,5.1,
54.32597,-7.19168,339,0.42,0.38,2017-05-07,1319,N,VIIRS,l,1,311,80.8,
54.32939,-7.19296,334.6,0.42,0.38,2017-05-07,1319,N,VIIRS,n,1,294.3,17.3,
54.33356,-7.1851,309.5,0.47,0.64,2017-05-08,0130,N,VIIRS,n,1,277.4,2,
54.32755,-7.17831,303.1,0.47,0.64,2017-05-08,0130,N,VIIRS,n,1,277.2,1.9,
54.33236,-7.18189,319.8,0.47,0.64,2017-05-08,0130,N,VIIRS,n,1,277.3,1.5,
54.32631,-7.17505,308.7,0.47,0.64,2017-05-08,0130,N,VIIRS,n,1,277.4,0.9,
54.32775,-7.17691,296,0.51,0.41,2017-05-08,0310,N,VIIRS,n,1,277,0.7,
53.30952,-6.97315,335.7,0.48,0.4,2017-05-09,1241,N,VIIRS,n,1,295.3,3.4,
55.23223,-6.99291,350.7,0.44,0.39,2017-05-09,1242,N,VIIRS,n,1,301.8,33.3,
53.43239,-7.14265,296.9,0.41,0.37,2017-06-26,0252,N,VIIRS,n,1,278.5,0.6,
53.43142,-7.14219,296.1,0.4,0.37,2017-07-12,0252,N,VIIRS,n,1,281.2,0.6,
53.43332,-7.14397,295.1,0.38,0.36,2017-07-18,0239,N,VIIRS,n,1,283.7,1,
