latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
54.13129,-7.57987,296.3,0.5,0.5,2017-09-01,0154,N,VIIRS,n,1.0NRT,280.1,0.9,N
52.64101,-8.68798,301.5,0.39,0.59,2017-10-25,0142,N,VIIRS,n,1.0NRT,280.2,1.3,N
54.13145,-7.57794,297.9,0.49,0.49,2017-12-01,0330,N,VIIRS,n,1.0NRT,272.8,1.1,N
52.64164,-8.69164,311.4,0.4,0.4,2017-10-12,0224,N,VIIRS,n,1.0NRT,280.5,1.5,N
52.64112,-8.68753,301.1,0.43,0.46,2017-11-10,0324,N,VIIRS,n,1.0NRT,280.2,0.5,N
52.64363,-8.69207,297.2,0.49,0.4,2017-11-24,0218,N,VIIRS,n,1.0NRT,273.6,1.3,N
52.64307,-8.68819,301.5,0.49,0.49,2017-11-25,0200,N,VIIRS,n,1.0NRT,273.3,1.6,N
53.26487,-7.29714,295.2,0.4,0.4,2017-09-11,0206,N,VIIRS,n,1.0NRT,275.6,0.5,N
53.6852,-6.38926,302.2,0.41,0.45,2017-11-25,0200,N,VIIRS,n,1.0NRT,267.8,1.4,N
53.68298,-6.3893,297.1,0.41,0.45,2017-12-11,0200,N,VIIRS,n,1.0NRT,269.4,0.8,N
54.13297,-7.57937,297,0.4,0.37,2017-11-17,0248,N,VIIRS,n,1.0NRT,274.7,0.7,N
52.64199,-8.68796,300.5,0.6,0.5,2017-09-01,0154,N,VIIRS,n,1.0NRT,280.8,1.9,N
52.64366,-8.69032,297,0.6,0.5,2017-09-01,0336,N,VIIRS,n,1.0NRT,280.3,0.9,N
52.64066,-8.68665,303.1,0.6,0.4,2017-09-02,0318,N,VIIRS,n,1.0NRT,278.4,1,N
52.64196,-8.69155,311,0.5,0.4,2017-09-21,0218,N,VIIRS,n,1.0NRT,281.7,1.9,N
52.63992,-8.68977,304.8,0.3,0.6,2017-09-28,0148,N,VIIRS,n,1.0NRT,279.7,1.4,N
52.64249,-8.69029,296,0.49,0.4,2017-12-26,0218,N,VIIRS,n,1.0NRT,272.6,0.9,N
52.64362,-8.68896,312.3,0.4,0.4,2017-09-14,0248,N,VIIRS,n,1.0NRT,281.1,1.5,N
52.64124,-8.69062,301.7,0.6,0.5,2017-10-03,0154,N,VIIRS,n,1.0NRT,279,1.9,N
52.64189,-8.69039,308.9,0.38,0.36,2017-12-14,0242,N,VIIRS,n,1.0NRT,275.3,1.4,N
54.13063,-7.57694,295.6,0.4,0.4,2017-09-25,0242,N,VIIRS,n,1.0NRT,280.8,0.5,N
52.64239,-8.68975,314.9,0.4,0.4,2017-09-09,0242,N,VIIRS,n,1.0NRT,283.2,1.7,N
52.64172,-8.68864,299.5,0.6,0.4,2017-09-18,0318,N,VIIRS,n,1.0NRT,276.8,1.1,N
53.1328,-7.69542,295.2,0.4,0.4,2017-09-20,0236,N,VIIRS,n,1.0NRT,277.3,0.6,N
52.6402,-8.69,302.5,0.45,0.63,2017-10-20,0136,N,VIIRS,n,1.0NRT,278.4,1.4,N
52.64206,-8.68798,303.2,0.39,0.59,2017-10-25,0142,N,VIIRS,n,1.0NRT,280.5,0.8,N
52.64281,-8.687,314.7,0.38,0.36,2017-11-12,0242,N,VIIRS,n,1.0NRT,279,1.1,N
52.64285,-8.68587,310.2,0.38,0.36,2017-11-28,0242,N,VIIRS,n,1.0NRT,276.4,1.7,N
