latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
37.75048,14.99856,322.7,0.48,0.64,2017-01-26,0147,N,VIIRS,n,1,266.1,4.2,
37.74769,15.00084,322.6,0.33,0.55,2017-02-17,0134,N,VIIRS,n,1,266.7,11.1,
37.74201,15.00114,328.3,0.44,0.39,2017-03-02,1211,N,VIIRS,n,1,292,46.8,
37.74121,14.99776,347.9,0.39,0.36,2017-03-03,1152,N,VIIRS,n,1,315.3,8.9,
37.74872,14.99701,343.5,0.39,0.59,2017-03-10,0140,N,VIIRS,n,1,269.3,3.4,
37.74506,15.0016,340.2,0.41,0.45,2017-03-12,1224,N,VIIRS,n,1,297.9,6.7,
37.73969,14.92888,305,0.68,0.74,2017-03-15,2347,N,VIIRS,n,1,249.4,2.2,
37.73305,14.90282,308,0.69,0.74,2017-03-15,2347,N,VIIRS,n,1,252.7,3.4,
37.73965,14.99566,339.1,0.44,0.39,2017-03-18,1211,N,VIIRS,n,1,304.4,382.6,
37.74072,15.00391,317.2,0.45,0.39,2017-03-24,0037,N,VIIRS,n,1,268.9,45.8,
37.7378,14.99812,342.8,0.45,0.39,2017-03-24,0037,N,VIIRS,n,1,321.3,164.3,
37.72897,15.0012,301,0.5,0.49,2017-03-25,0018,N,VIIRS,n,1,269.6,19.4,
37.73027,14.9956,367,0.67,0.74,2017-03-25,0158,N,VIIRS,h,1,293.3,75.3,
37.74778,14.99673,318.8,0.39,0.59,2017-03-26,0140,N,VIIRS,n,1,263.3,15.8,
37.72967,14.99617,367,0.36,0.58,2017-03-27,1242,N,VIIRS,h,1,345.6,71,
37.73256,14.99491,338.7,0.42,0.45,2017-03-30,0024,N,VIIRS,n,1,283.6,48.3,
37.74045,14.99903,367,0.32,0.55,2017-04-06,0133,N,VIIRS,h,1,278,25.6,
37.73284,14.99385,367,0.46,0.63,2017-04-10,2359,N,VIIRS,h,1,279.3,192.1,
37.73366,14.97666,301.1,0.46,0.63,2017-04-10,2359,N,VIIRS,n,1,264.4,2.9,
37.75039,14.9905,314,0.39,0.36,2017-04-24,0056,N,VIIRS,n,1,266.6,0.9,
37.67101,14.9165,327.8,0.57,0.43,2017-03-20,1133,N,VIIRS,n,1,300.1,3.2,
37.72045,14.9993,321,0.67,0.74,2017-03-25,0158,N,VIIRS,n,1,268.6,26.4,
37.7247,14.99719,367,0.41,0.37,2017-03-29,0043,N,VIIRS,h,1,317.3,74.9,
37.72007,14.98779,332,0.55,0.43,2017-04-07,0115,N,VIIRS,n,1,261.8,58.9,
37.72268,14.9989,318.8,0.45,0.39,2017-04-09,0037,N,VIIRS,n,1,268.4,20.4,
37.72092,14.99567,341.4,0.45,0.39,2017-04-09,0037,N,VIIRS,n,1,277.1,21.3,
37.72633,14.99291,297.1,0.53,0.5,2017-04-17,0127,N,VIIRS,n,1,277.8,1.4,
37.7224,14.99226,301.3,0.53,0.5,2017-04-17,0127,N,VIIRS,n,1,281.1,1.6,
37.72616,14.99529,299.6,0.39,0.36,2017-05-10,0056,N,VIIRS,n,1,280.2,0.8,
37.74786,14.99831,326.6,0.56,0.43,2017-02-18,0115,N,VIIRS,n,1,266.6,11.1,
37.74677,14.99793,302.9,0.39,0.36,2017-02-19,0056,N,VIIRS,n,1,266,6.7,
37.75287,14.99758,327.9,0.38,0.36,2017-03-02,0050,N,VIIRS,n,1,269.8,2.7,
37.7496,14.99676,335.6,0.38,0.36,2017-03-02,0050,N,VIIRS,n,1,271.1,5.5,
37.74525,14.99765,330.2,0.56,0.69,2017-03-20,2353,N,VIIRS,n,1,276.7,49.1,
37.75215,14.99831,307.1,0.5,0.49,2017-03-25,0018,N,VIIRS,n,1,268.8,1.7,
37.75173,15.00114,337.2,0.44,0.46,2017-04-28,0121,N,VIIRS,n,1,274.2,3.6,
37.52477,14.74786,330.5,0.4,0.37,2017-05-16,1205,N,VIIRS,n,1,299.4,2.7,
37.74501,15.01349,303.3,0.39,0.59,2017-04-11,0140,N,VIIRS,n,1,269.5,4.7,
37.43818,15.03105,301.4,0.56,0.43,2017-04-23,0115,N,VIIRS,n,1,280.4,1.2,
37.728,15.04165,296.9,0.38,0.36,2017-03-18,0050,N,VIIRS,n,1,266.2,0.8,
37.72128,15.03025,297.8,0.52,0.41,2017-03-19,0031,N,VIIRS,n,1,271.4,1.6,
37.73549,15.03593,307.4,0.67,0.74,2017-04-26,0158,N,VIIRS,n,1,274.2,7.1,
37.74037,15.05096,299.7,0.39,0.59,2017-04-27,0140,N,VIIRS,n,1,272.8,2.8,
37.7334,15.0552,324.5,0.39,0.59,2017-04-27,0140,N,VIIRS,n,1,269.2,2.8,
37.74883,14.9998,339.4,0.39,0.59,2017-03-26,0140,N,VIIRS,n,1,262.6,6.4,
37.43811,15.0296,298.1,0.38,0.36,2017-03-18,0050,N,VIIRS,n,1,278.1,1,
37.73637,15.00713,367,0.55,0.68,2017-03-21,1255,N,VIIRS,h,1,333.3,156.3,
37.73471,15.0116,342.5,0.43,0.38,2017-04-15,1146,N,VIIRS,n,1,307.9,6.1,
37.73699,15.00886,301.1,0.5,0.49,2017-04-26,0018,N,VIIRS,n,1,285,2.2,
37.73983,15.00566,367,0.4,0.6,2017-03-16,1108,N,VIIRS,h,1,305.6,151.8,
37.7365,15.00841,345,0.38,0.36,2017-03-18,0050,N,VIIRS,n,1,291,34.6,
37.74346,15.00599,307.3,0.52,0.42,2017-03-19,0031,N,VIIRS,n,1,269.9,23.1,
37.74027,14.99977,367,0.52,0.42,2017-03-19,0031,N,VIIRS,h,1,359.5,184.4,
37.74075,15.00814,353.2,0.56,0.69,2017-03-20,0152,N,VIIRS,n,1,279.3,13.2,
37.73824,15.00829,303.1,0.39,0.36,2017-03-23,0056,N,VIIRS,n,1,264.7,1.4,
37.74094,15.00403,320.7,0.46,0.63,2017-03-25,2359,N,VIIRS,n,1,266.6,25.9,
37.73748,14.99872,367,0.39,0.59,2017-03-26,0140,N,VIIRS,h,1,289.8,33.4,
37.73629,15.00818,297.8,0.42,0.38,2017-03-28,0102,N,VIIRS,n,1,272.4,22.7,
37.74225,15.00473,347.5,0.47,0.64,2017-03-31,0146,N,VIIRS,n,1,273.2,62,
37.7358,15.00057,367,0.46,0.63,2017-04-10,2359,N,VIIRS,h,1,349.6,131.4,
37.73743,15.00809,318,0.42,0.38,2017-04-13,0102,N,VIIRS,n,1,284.6,2.5,
37.73616,15.0086,367,0.43,0.38,2017-04-15,1146,N,VIIRS,h,1,325.6,20.1,
37.73921,14.99896,319.9,0.56,0.69,2017-04-21,2353,N,VIIRS,n,1,282.7,6.4,
37.74989,14.9956,313.8,0.69,0.74,2017-01-20,0159,N,VIIRS,n,1,260.5,4.5,
37.74882,14.99393,295.4,0.45,0.39,2017-02-04,0038,N,VIIRS,n,1,267.7,8.3,
37.75043,14.99536,303.2,0.41,0.45,2017-02-26,0025,N,VIIRS,n,1,267.8,0.9,
37.75064,14.99749,367,0.47,0.64,2017-03-31,0146,N,VIIRS,h,1,274.4,18.6,
37.74438,15.00348,295.8,0.42,0.45,2017-03-30,0024,N,VIIRS,n,1,265.8,1,
37.43859,15.02599,298.4,0.36,0.58,2017-01-26,0006,N,VIIRS,n,1,277,6.2,
37.73402,15.01022,367,0.48,0.4,2017-03-17,0109,N,VIIRS,h,1,328.2,135.1,
37.73042,15.00925,367,0.48,0.4,2017-03-17,0109,N,VIIRS,h,1,337.5,135.1,
37.71421,15.02055,296.8,0.38,0.36,2017-03-18,0050,N,VIIRS,n,1,266.7,1.3,
37.72436,15.01752,356.3,0.44,0.39,2017-03-18,1211,N,VIIRS,n,1,315.1,114,
