latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
44.99457,8.98751,340.8,0.4,0.4,2017-10-07,1206,N,VIIRS,n,1.0NRT,297.8,3,D
45.02291,9.50381,340.4,0.41,0.37,2017-10-18,1200,N,VIIRS,n,1.0NRT,298.7,2.1,D
45.13725,9.7046,347.6,0.4,0.37,2017-11-19,1200,N,VIIRS,n,1.0NRT,286.1,8.8,D
42.2211,11.88858,342.3,0.4,0.4,2017-09-25,1230,N,VIIRS,n,1.0NRT,296,4.1,D
42.2238,12.2931,344.8,0.4,0.4,2017-09-27,1154,N,VIIRS,n,1.0NRT,299.1,3.9,D
42.0373,12.72008,333.6,0.3,0.6,2017-09-29,1112,N,VIIRS,n,1.0NRT,291.9,3,D
42.46408,11.71868,326.6,0.4,0.4,2017-10-02,1200,N,VIIRS,l,1.0NRT,298.3,1.8,D
42.14719,14.49066,335.8,0.5,0.5,2017-10-11,1230,N,VIIRS,n,1.0NRT,295.2,5,D
41.45544,13.77398,332.2,0.5,0.41,2017-10-17,1218,N,VIIRS,n,1.0NRT,300.7,2.2,D
42.00945,12.71437,299.3,0.66,0.73,2017-10-18,0212,N,VIIRS,n,1.0NRT,284.8,1.1,N
41.05671,14.37828,312.2,0.58,0.52,2017-10-19,0018,N,VIIRS,n,1.0NRT,287,2.4,N
42.00727,12.71614,300.1,0.45,0.39,2017-10-21,0118,N,VIIRS,n,1.0NRT,284.7,0.9,N
42.20763,12.59376,340.4,0.46,0.64,2017-10-21,1100,N,VIIRS,n,1.0NRT,292.7,4.5,D
42.21066,12.5895,336.1,0.46,0.64,2017-10-21,1100,N,VIIRS,n,1.0NRT,292.3,4.5,D
41.05428,14.37767,320.8,0.36,0.57,2017-10-25,0142,N,VIIRS,n,1.0NRT,287.1,1.3,N
41.92157,12.38803,296,0.38,0.36,2017-10-27,0106,N,VIIRS,n,1.0NRT,281.2,0.4,N
42.57088,12.67637,299.6,0.41,0.37,2017-11-02,0054,N,VIIRS,n,1.0NRT,276.5,0.6,N
42.00933,12.71701,297.7,0.49,0.49,2017-11-14,0030,N,VIIRS,n,1.0NRT,276.2,0.9,N
42.57015,12.67562,298.1,0.4,0.37,2017-11-17,0112,N,VIIRS,n,1.0NRT,278.5,0.6,N
42.38479,11.57021,347.4,0.39,0.36,2017-12-21,1200,N,VIIRS,n,1.0NRT,283.2,9.5,D
