latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
46.55981,57.46298,339.4,0.4,0.5,2017-09-03,2136,N,VIIRS,n,1.0NRT,293,8.6,N
46.15568,57.30247,348.8,0.4,0.4,2017-09-04,0900,N,VIIRS,n,1.0NRT,314,10,D
46.23698,57.34113,340.5,0.4,0.4,2017-09-04,0900,N,VIIRS,n,1.0NRT,305.6,2,D
46.28947,57.33337,337.8,0.4,0.4,2017-09-04,0900,N,VIIRS,n,1.0NRT,305.4,5.8,D
46.17961,57.31088,354.9,0.4,0.4,2017-09-05,0842,N,VIIRS,n,1.0NRT,315.3,24.7,D
46.50547,57.39334,336.4,0.4,0.5,2017-09-06,0824,N,VIIRS,n,1.0NRT,306.1,3.7,D
46.49791,57.35871,301.6,0.4,0.4,2017-09-06,2218,N,VIIRS,n,1.0NRT,289.4,2.4,N
47.88091,57.46576,336.1,0.4,0.4,2017-09-21,0842,N,VIIRS,l,1.0NRT,309.3,54.9,D
48.23463,57.36024,342.9,0.76,0.77,2017-12-28,2342,N,VIIRS,n,1.0NRT,262.5,8.1,N
44.26543,63.57754,331.2,0.5,0.4,2017-10-03,0818,N,VIIRS,n,1.0NRT,284.6,5.7,D
44.29767,63.46626,333.9,0.4,0.4,2017-10-13,0830,N,VIIRS,n,1.0NRT,293.1,3,D
44.29029,63.69637,340.9,0.4,0.44,2017-10-25,0806,N,VIIRS,n,1.0NRT,287.6,2.5,D
45.8971,53.29694,347.9,0.6,0.4,2017-09-02,0936,N,VIIRS,n,1.0NRT,317.6,10.6,D
45.89609,53.29983,295.8,0.4,0.5,2017-09-02,2154,N,VIIRS,n,1.0NRT,256.6,2.4,N
45.89922,53.29927,302.8,0.5,0.7,2017-09-02,2336,N,VIIRS,n,1.0NRT,279.4,1.1,N
45.89687,53.29825,338.7,0.4,0.4,2017-09-03,0918,N,VIIRS,n,1.0NRT,295.8,7,D
45.8969,53.29757,344.8,0.3,0.6,2017-09-03,2136,N,VIIRS,n,1.0NRT,291.2,4.4,N
45.89993,53.28987,298.9,0.6,0.7,2017-09-04,2118,N,VIIRS,n,1.0NRT,288.6,2.5,N
45.89511,53.30146,356.1,0.4,0.6,2017-09-06,1006,N,VIIRS,n,1.0NRT,307.4,4.5,D
45.89557,53.29611,339.4,0.4,0.4,2017-09-06,2218,N,VIIRS,n,1.0NRT,294.9,7.1,N
45.89485,53.29782,336.2,0.5,0.7,2017-09-07,0806,N,VIIRS,n,1.0NRT,288.8,6.3,D
45.89648,53.29615,339.8,0.6,0.5,2017-09-08,2142,N,VIIRS,n,1.0NRT,289.9,8.6,N
