latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.5037,21.23053,332,0.4,0.37,2017-03-04,1134,N,VIIRS,n,1,293.4,3.6,
42.37092,21.23658,353.4,0.45,0.47,2017-03-24,1159,N,VIIRS,n,1,301.7,8.8,
42.92727,21.05576,338.7,0.47,0.4,2017-04-01,1109,N,VIIRS,n,1,297.2,5.8,
42.72482,20.58252,314.3,0.53,0.5,2017-08-13,0113,N,VIIRS,n,1,283.9,2.1,
43.04274,20.98311,299.9,0.53,0.42,2017-08-27,0011,N,VIIRS,n,1,286.4,1.6,
43.06178,20.98735,314.3,0.59,0.53,2017-08-27,2352,N,VIIRS,n,1,286.9,1.5,
43.06021,20.97834,297.7,0.45,0.63,2017-08-28,0132,N,VIIRS,n,1,285.3,1.4,
43.05579,20.97181,307.1,0.45,0.63,2017-08-28,0132,N,VIIRS,n,1,286.2,1.6,
42.83421,20.73691,307.3,0.45,0.63,2017-08-28,0132,N,VIIRS,n,1,288.4,1.4,
42.82317,20.73146,306.8,0.45,0.63,2017-08-28,0132,N,VIIRS,n,1,288.2,1.6,
42.46207,21.56392,328,0.4,0.37,2017-03-04,1134,N,VIIRS,n,1,291.9,2.1,
42.45917,21.59466,367,0.59,0.7,2017-04-02,1231,N,VIIRS,h,1,300.9,26.9,
42.87189,21.3166,330.2,0.4,0.37,2017-03-04,1135,N,VIIRS,n,1,292.9,3.5,
42.8718,21.04214,329,0.48,0.4,2017-03-30,1147,N,VIIRS,n,1,294.8,7,
42.91723,21.06328,347.4,0.5,0.49,2017-04-02,1050,N,VIIRS,n,1,299.1,11.1,
42.92133,21.07208,298.9,0.44,0.39,2017-04-03,0048,N,VIIRS,n,1,276.1,0.9,
42.91901,21.06494,306.6,0.44,0.39,2017-04-03,0048,N,VIIRS,n,1,274.5,0.9,
42.5908,21.21059,367,0.45,0.47,2017-07-30,1200,N,VIIRS,h,1,311.1,8.4,
42.81401,21.09131,338,0.57,0.43,2017-08-26,1154,N,VIIRS,n,1,311,4.6,
42.82522,21.09479,341.1,0.4,0.37,2017-08-27,1135,N,VIIRS,n,1,309.7,4.4,
42.85989,21.2332,344.3,0.46,0.47,2017-08-31,1200,N,VIIRS,n,1,312,16.9,
42.39555,21.53474,335.7,0.4,0.37,2017-03-04,1134,N,VIIRS,n,1,291.2,4.4,
42.36695,21.4448,334.5,0.48,0.65,2017-08-03,1225,N,VIIRS,l,1,309.3,6.9,
42.37907,21.41519,339.9,0.33,0.55,2017-08-25,1212,N,VIIRS,n,1,308.4,2.2,
42.3869,21.38586,333.6,0.33,0.55,2017-07-24,1212,N,VIIRS,n,1,307.4,5.5,
42.37872,21.36763,348.8,0.59,0.7,2017-08-31,1020,N,VIIRS,n,1,304.5,8.3,
42.71674,20.51596,331.2,0.42,0.45,2017-04-09,1159,N,VIIRS,n,1,298,5.9,
42.72814,20.7534,336.4,0.42,0.38,2017-03-25,1140,N,VIIRS,n,1,301.8,5.4,
42.8473,20.6958,347.3,0.43,0.46,2017-08-31,1200,N,VIIRS,n,1,302,6.5,
43.01252,20.65337,304.4,0.43,0.38,2017-04-03,0048,N,VIIRS,n,1,276.5,1.7,
42.64138,20.89484,298.4,0.39,0.36,2017-06-12,0036,N,VIIRS,n,1,283.8,0.6,
42.61455,21.10628,340.2,0.38,0.36,2017-08-06,1128,N,VIIRS,l,1,312.2,6.4,
42.72158,20.58113,295.8,0.53,0.5,2017-08-13,0113,N,VIIRS,n,1,279.6,1.7,
42.62833,21.06994,341.6,0.53,0.5,2017-08-20,1206,N,VIIRS,n,1,303.4,5.7,
43.04211,20.97389,338.2,0.56,0.43,2017-08-26,1154,N,VIIRS,l,1,312.7,6.4,
42.83268,20.73449,331.4,0.61,0.53,2017-08-27,2352,N,VIIRS,n,1,290.2,5.2,
42.05301,20.65729,309.4,0.39,0.36,2017-08-10,0030,N,VIIRS,n,1,288.6,1,
42.68931,20.31228,346.2,0.51,0.66,2017-03-17,1231,N,VIIRS,n,1,288.7,6.5,
42.92277,20.8671,330.3,0.42,0.38,2017-03-25,1141,N,VIIRS,n,1,298.6,2,
42.55722,21.11249,335.8,0.48,0.4,2017-07-20,1147,N,VIIRS,n,1,304.6,3.4,
42.43449,21.05994,352.6,0.38,0.36,2017-07-21,1128,N,VIIRS,n,1,314.5,6.9,
42.39424,20.69037,338.9,0.5,0.41,2017-08-07,1109,N,VIIRS,n,1,302.7,12.3,
42.50578,21.20836,337,0.47,0.4,2017-08-07,1109,N,VIIRS,n,1,304.5,3.9,
42.92666,21.21016,335.7,0.59,0.53,2017-08-19,1045,N,VIIRS,n,1,305.3,7.7,
42.82189,21.09568,339.9,0.4,0.37,2017-08-27,1135,N,VIIRS,l,1,312.8,7.2,
42.8666,21.0817,312.1,0.58,0.52,2017-08-27,2352,N,VIIRS,n,1,289.9,2.4,
42.59686,20.54551,327,0.5,0.41,2017-02-28,1109,N,VIIRS,n,1,290,2.7,
42.63167,20.342,331.6,0.39,0.36,2017-03-04,1135,N,VIIRS,n,1,293.6,2.7,
42.39924,20.32295,339.7,0.41,0.45,2017-03-24,1159,N,VIIRS,n,1,295.8,3.5,
42.17529,20.54692,348.7,0.4,0.44,2017-08-02,1103,N,VIIRS,n,1,319.6,110.9,
42.32014,20.652,335.1,0.46,0.39,2017-08-05,1147,N,VIIRS,n,1,308.8,2.9,
42.54584,20.60627,353.3,0.45,0.63,2017-08-09,1032,N,VIIRS,n,1,303.9,13.5,
42.72405,20.74912,327.9,0.42,0.38,2017-03-25,1140,N,VIIRS,l,1,298,2.5,
42.90448,21.03755,337.4,0.48,0.4,2017-08-05,1147,N,VIIRS,l,1,309.3,6.1,
42.97311,21.05155,342.9,0.42,0.38,2017-08-12,1116,N,VIIRS,n,1,305.8,6.3,
43.04025,20.97501,323.8,0.39,0.36,2017-08-26,0030,N,VIIRS,n,1,287.2,2.2,
42.86563,21.08098,335.3,0.4,0.37,2017-08-27,1135,N,VIIRS,l,1,308.4,3.4,
42.84544,20.71314,333.5,0.39,0.36,2017-08-27,1135,N,VIIRS,n,1,306.3,5.1,
43.05806,20.96875,296.9,0.59,0.53,2017-08-27,2352,N,VIIRS,n,1,285.7,1.4,
43.05716,20.98857,295.8,0.45,0.63,2017-08-28,0132,N,VIIRS,n,1,285,1.1,
43.0585,20.97315,346.8,0.42,0.38,2017-08-28,1116,N,VIIRS,n,1,305.3,3.7,
43.05747,20.97775,302.6,0.59,0.53,2017-08-27,2352,N,VIIRS,n,1,285.9,1.4,
43.07073,20.98292,306.6,0.45,0.63,2017-08-28,0132,N,VIIRS,n,1,286.7,2,
43.06045,20.95725,330.5,0.39,0.59,2017-08-30,1219,N,VIIRS,n,1,296.3,2.2,
42.64608,20.56574,325.7,0.5,0.41,2017-03-16,1109,N,VIIRS,n,1,294.4,1.6,
42.6403,20.89337,301.4,0.43,0.62,2017-06-30,2339,N,VIIRS,n,1,288.8,0.9,
42.25493,20.68899,338.3,0.77,0.77,2017-08-02,1244,N,VIIRS,n,1,304.3,7.9,
42.68325,20.6125,318.9,0.39,0.36,2017-08-10,0030,N,VIIRS,n,1,292.4,1.6,
42.13572,21.20574,344.5,0.56,0.43,2017-07-09,1153,N,VIIRS,n,1,307.4,8.4,
