latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.85845,21.08585,301.5,0.3,0.6,2017-09-03,0118,N,VIIRS,n,1.0NRT,287.5,0.9,N
42.86192,21.311,355.4,0.4,0.4,2017-09-11,1154,N,VIIRS,n,1.0NRT,303.1,5.1,D
42.64259,20.89705,296.3,0.6,0.5,2017-09-14,0112,N,VIIRS,n,1.0NRT,283.3,0.9,N
42.42476,21.43886,331.7,0.6,0.7,2017-09-16,1018,N,VIIRS,l,1.0NRT,303.2,9.9,D
42.91876,21.18739,328.7,0.5,0.4,2017-09-19,1100,N,VIIRS,n,1.0NRT,302,1.7,D
41.85184,20.68027,367,0.4,0.4,2017-10-03,1136,N,VIIRS,l,1.0NRT,326.3,52.5,D
43.06798,21.00157,335.2,0.39,0.36,2017-10-20,1118,N,VIIRS,n,1.0NRT,303.1,4.3,D
42.48033,21.41677,344.5,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,310.7,5.4,D
42.8539,21.09371,326.8,0.5,0.7,2017-09-04,1224,N,VIIRS,n,1.0NRT,291.9,3.4,D
42.85909,20.61859,312.2,0.5,0.5,2017-09-17,2354,N,VIIRS,n,1.0NRT,285.1,1.7,N
42.86345,21.09095,345.8,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,305.2,11.2,D
43.06277,20.99457,336.6,0.4,0.5,2017-09-07,0000,N,VIIRS,n,1.0NRT,282,3.2,N
42.84006,21.07903,347.6,0.4,0.4,2017-09-17,1136,N,VIIRS,n,1.0NRT,306.5,21.5,D
43.06876,21.0063,343.4,0.39,0.36,2017-10-20,1118,N,VIIRS,n,1.0NRT,296.7,4.3,D
41.86718,20.58444,367,0.37,0.58,2017-11-02,1218,N,VIIRS,l,1.0NRT,285.2,12.3,D
42.60342,20.53475,345.2,0.4,0.4,2017-09-03,1100,N,VIIRS,n,1.0NRT,298.6,10.3,D
42.6545,21.06297,367,0.3,0.6,2017-09-10,1212,N,VIIRS,n,1.0NRT,295.2,12.2,D
42.96224,21.22446,337.5,0.4,0.4,2017-09-17,1136,N,VIIRS,n,1.0NRT,305.5,7.2,D
43.06555,20.99911,356.8,0.43,0.38,2017-10-19,1142,N,VIIRS,n,1.0NRT,303,15.9,D
42.86465,21.09023,335.5,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,303.4,5.6,D
42.85675,21.27516,297.9,0.4,0.5,2017-09-07,0000,N,VIIRS,n,1.0NRT,281.5,0.7,N
42.82618,21.07421,304.8,0.5,0.4,2017-09-17,0012,N,VIIRS,n,1.0NRT,285.9,1.4,N
42.92212,21.14841,338.8,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,308.2,1.6,D
42.61003,21.08965,336.5,0.4,0.4,2017-09-02,1118,N,VIIRS,l,1.0NRT,308.8,2.1,D
