latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
56.40645,24.2256,338.8,0.34,0.56,2017-05-06,1157,N,VIIRS,n,1,295,4.6,
56.93649,23.59012,338.1,0.46,0.47,2017-06-19,0000,N,VIIRS,n,1,288,5.5,
56.64352,23.2088,328.5,0.72,0.76,2017-05-04,1235,N,VIIRS,n,1,287.4,3.8,
56.68903,22.59517,296.6,0.51,0.5,2017-06-19,0141,N,VIIRS,n,1,284.9,0.5,
56.94539,27.04036,325.2,0.4,0.37,2017-05-04,1054,N,VIIRS,n,1,291.4,1.8,
57.62135,25.83994,348.3,0.6,0.71,2017-05-05,1216,N,VIIRS,n,1,276.8,5.1,
57.42124,27.43884,335.2,0.61,0.53,2017-05-07,1138,N,VIIRS,n,1,290.9,5.7,
57.17183,24.42001,346.1,0.49,0.4,2017-06-09,1119,N,VIIRS,n,1,300,10.2,
56.4066,24.23133,342.5,0.34,0.56,2017-05-06,1157,N,VIIRS,n,1,293.9,4.8,
57.1076,24.4019,335.6,0.35,0.57,2017-04-20,1157,N,VIIRS,n,1,282.6,4.1,
57.13178,24.44717,326.1,0.39,0.36,2017-04-23,1100,N,VIIRS,n,1,288,12.6,
56.47567,27.03446,327.3,0.4,0.37,2017-06-21,1054,N,VIIRS,n,1,289.2,3.1,
56.98465,22.88581,299,0.4,0.37,2017-08-20,0038,N,VIIRS,n,1,278.8,0.5,
56.43819,27.23357,342.9,0.45,0.63,2017-04-04,1157,N,VIIRS,n,1,285.6,4.7,
56.8756,24.38474,336.5,0.41,0.37,2017-03-27,1107,N,VIIRS,n,1,282.9,5.2,
57.10542,24.39994,338.5,0.35,0.57,2017-04-20,1157,N,VIIRS,n,1,281.5,3.1,
56.68984,22.58958,296.4,0.45,0.39,2017-04-23,0109,N,VIIRS,n,1,271.2,0.5,
56.68906,22.59085,296.3,0.33,0.55,2017-04-26,0153,N,VIIRS,n,1,273,0.6,
57.13931,24.44302,336.1,0.45,0.39,2017-05-03,1113,N,VIIRS,n,1,293.2,6.9,
56.69144,22.59112,298,0.39,0.36,2017-05-05,0044,N,VIIRS,n,1,276.4,0.7,
56.66467,27.46753,331.1,0.47,0.4,2017-05-06,1016,N,VIIRS,n,1,294.4,7.7,
56.40627,24.22586,342.9,0.39,0.44,2017-05-06,1016,N,VIIRS,n,1,297.9,9.5,
56.93412,23.66116,304.9,0.43,0.38,2017-05-20,0103,N,VIIRS,n,1,283.3,1,
56.55841,27.03633,339.7,0.39,0.36,2017-05-21,1035,N,VIIRS,n,1,303,3.9,
56.79083,22.08474,340.9,0.45,0.47,2017-05-22,1017,N,VIIRS,n,1,295.2,5.2,
57.11952,24.46426,339,0.35,0.57,2017-05-22,1157,N,VIIRS,n,1,304.6,21.5,
56.69165,22.59263,299,0.33,0.55,2017-05-28,0153,N,VIIRS,n,1,281.4,0.6,
56.78858,22.09023,333.1,0.44,0.46,2017-05-28,1145,N,VIIRS,n,1,296.7,2.9,
56.69009,22.59016,300.8,0.42,0.37,2017-06-21,0103,N,VIIRS,n,1,281.7,0.9,
56.69179,22.59331,302.9,0.33,0.55,2017-07-15,0153,N,VIIRS,n,1,282,0.5,
56.69104,22.59464,296,0.42,0.37,2017-07-23,0103,N,VIIRS,n,1,282.4,0.5,
57.08614,24.47327,300,0.32,0.55,2017-08-11,0147,N,VIIRS,n,1,284.2,0.6,
56.4683,22.72458,327.7,0.43,0.38,2017-08-30,1042,N,VIIRS,n,1,296.7,1.8,
56.30981,27.78331,342.9,0.39,0.36,2017-03-28,1047,N,VIIRS,n,1,285.6,7.4,
56.52474,23.2078,328.1,0.42,0.37,2017-03-16,1113,N,VIIRS,n,1,283.5,1.8,
56.694,21.72792,328.3,0.42,0.38,2017-04-06,1119,N,VIIRS,n,1,286.3,1.7,
57.13405,24.82449,340.6,0.56,0.51,2017-04-10,1144,N,VIIRS,n,1,291,6.7,
56.6897,22.592,298.1,0.42,0.37,2017-04-18,0103,N,VIIRS,n,1,269,0.7,
56.69016,22.59429,298,0.39,0.36,2017-04-19,0044,N,VIIRS,n,1,269.3,0.4,
56.69115,22.59346,301.3,0.39,0.36,2017-05-10,0051,N,VIIRS,n,1,270.4,0.8,
56.6348,24.54187,330,0.41,0.37,2017-05-14,1107,N,VIIRS,n,1,296.6,2.7,
56.6911,22.59508,296.9,0.4,0.37,2017-05-16,0038,N,VIIRS,n,1,278.1,0.4,
56.97691,23.88918,330.5,0.43,0.38,2017-05-19,1113,N,VIIRS,n,1,295.1,0.6,
56.69027,22.58984,295.3,0.39,0.36,2017-05-21,0044,N,VIIRS,n,1,274.8,0.3,
57.11701,24.46189,340.5,0.35,0.57,2017-05-22,1157,N,VIIRS,n,1,295,9.9,
57.1225,24.46758,343.3,0.35,0.57,2017-05-22,1157,N,VIIRS,n,1,291.3,9.9,
56.42537,21.10015,329.2,0.41,0.37,2017-05-24,1119,N,VIIRS,n,1,296.7,3.5,
56.68931,22.59029,299.8,0.33,0.55,2017-05-28,0153,N,VIIRS,n,1,280.1,0.6,
57.12085,24.29574,325.6,0.41,0.37,2017-05-30,1107,N,VIIRS,l,1,297.1,2.8,
56.69164,22.5907,300.2,0.4,0.37,2017-06-16,0057,N,VIIRS,n,1,282,0.4,
56.69035,22.58957,296.3,0.39,0.36,2017-06-22,0044,N,VIIRS,n,1,278.3,0.8,
56.72324,24.21735,301.3,0.51,0.41,2017-07-15,0013,N,VIIRS,n,1,275,1.2,
56.69099,22.58895,296,0.45,0.47,2017-07-16,0134,N,VIIRS,n,1,280.3,0.4,
56.69001,22.59446,300,0.39,0.37,2017-08-03,0057,N,VIIRS,n,1,285.3,0.5,
56.55624,21.04601,309,0.43,0.62,2017-08-06,2341,N,VIIRS,n,1,284.1,1,
56.69067,22.59157,302.2,0.39,0.36,2017-08-09,0044,N,VIIRS,n,1,285,0.7,
56.69149,22.59357,295.2,0.46,0.64,2017-08-15,0212,N,VIIRS,n,1,280.4,0.7,
56.86566,27.80016,328.3,0.36,0.57,2017-04-10,1144,N,VIIRS,n,1,289.5,2.7,
56.54339,27.11782,332.4,0.39,0.36,2017-05-05,1035,N,VIIRS,n,1,297.8,3.3,
57.25872,26.94086,328.9,0.38,0.36,2017-05-11,0031,N,VIIRS,n,1,268.5,2.9,
56.63783,26.93542,339.4,0.44,0.46,2017-05-13,1125,N,VIIRS,n,1,293.3,9.1,
