latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
56.94755,23.4839,323.9,0.5,0.4,2017-09-30,0106,N,VIIRS,n,1.0NRT,275,3,N
56.73082,21.73236,338.4,0.4,0.6,2017-09-23,2342,N,VIIRS,n,1.0NRT,278,5.7,N
56.7304,21.73751,316.7,0.5,0.4,2017-09-24,0118,N,VIIRS,n,1.0NRT,283.2,2.4,N
57.34995,24.94602,295.9,0.52,0.67,2017-10-21,2312,N,VIIRS,n,1.0NRT,267.5,0.8,N
57.35621,24.94591,301.9,0.52,0.67,2017-10-21,2312,N,VIIRS,n,1.0NRT,267.3,0.8,N
57.3537,24.95135,303.8,0.52,0.67,2017-10-21,2312,N,VIIRS,n,1.0NRT,267.3,1.1,N
56.70496,24.76057,327.9,0.4,0.4,2017-09-26,1036,N,VIIRS,n,1.0NRT,287.6,3.2,D
56.73071,21.7392,307.4,0.4,0.6,2017-09-23,2342,N,VIIRS,n,1.0NRT,275.9,2.8,N
56.69145,22.59263,300,0.4,0.4,2017-09-25,0100,N,VIIRS,n,1.0NRT,282.4,0.7,N
56.69127,22.59152,298.1,0.4,0.4,2017-09-26,0042,N,VIIRS,n,1.0NRT,281.9,0.5,N
56.43584,24.39303,302.6,0.3,0.6,2017-09-28,0148,N,VIIRS,n,1.0NRT,278.6,0.8,N
56.68967,22.58909,297.5,0.4,0.4,2017-09-20,0054,N,VIIRS,n,1.0NRT,279.6,0.4,N
56.6895,22.59196,302.3,0.4,0.4,2017-09-25,0100,N,VIIRS,n,1.0NRT,282.5,0.8,N
56.68982,22.59022,295.1,0.4,0.5,2017-09-28,0006,N,VIIRS,n,1.0NRT,278.4,0.5,N
56.69156,22.59203,296.1,0.5,0.4,2017-09-30,0106,N,VIIRS,n,1.0NRT,276.3,0.8,N
56.68917,22.59211,300.6,0.4,0.4,2017-10-01,0048,N,VIIRS,n,1.0NRT,277.2,0.7,N
