latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
54.75286,24.0906,325.5,0.57,0.52,2017-04-10,1003,N,VIIRS,n,1,287.2,4.3,
54.88391,23.59588,314.1,0.57,0.43,2017-05-23,0007,N,VIIRS,n,1,274.2,2,
55.0715,25.8182,333.6,0.4,0.37,2017-05-25,1100,N,VIIRS,l,1,307.8,27,
55.44896,24.89605,304.6,0.41,0.45,2017-04-28,0116,N,VIIRS,n,1,272.6,1.2,
55.07405,25.82831,353.4,0.57,0.69,2017-05-25,0920,N,VIIRS,n,1,296.2,12.8,
54.6354,22.73995,336.5,0.39,0.44,2017-03-29,1028,N,VIIRS,n,1,283.1,4.4,
55.38084,23.84584,300.6,0.39,0.36,2017-08-31,0033,N,VIIRS,n,1,280.7,0.9,
55.07785,25.82305,346.6,0.57,0.69,2017-05-25,0920,N,VIIRS,n,1,298.4,11.8,
54.49684,22.68286,326.9,0.39,0.59,2017-03-29,1209,N,VIIRS,n,1,282.7,4.2,
56.31434,22.91847,296,0.41,0.37,2017-07-14,0032,N,VIIRS,n,1,282.2,0.5,
54.72186,22.73098,341.8,0.51,0.49,2017-03-30,1150,N,VIIRS,n,1,285.3,5.1,
54.62618,22.72573,330.3,0.44,0.46,2017-03-24,1022,N,VIIRS,n,1,285.2,1.6,
54.63589,22.71841,339.6,0.38,0.36,2017-03-27,1106,N,VIIRS,n,1,287.1,4.6,
54.14261,24.01709,306.6,0.4,0.37,2017-06-07,0026,N,VIIRS,n,1,264.6,0.9,
54.60255,25.31655,331.1,0.43,0.62,2017-03-24,1203,N,VIIRS,n,1,280.8,2,
54.76123,24.44947,310.2,0.38,0.36,2017-03-29,0038,N,VIIRS,n,1,268.9,1.3,
55.06327,22.03377,332,0.48,0.4,2017-03-23,1041,N,VIIRS,n,1,280.4,3.2,
55.07235,25.82437,367,0.4,0.37,2017-05-25,1100,N,VIIRS,l,1,333,27,
55.07566,25.82301,345.6,0.4,0.37,2017-05-25,1100,N,VIIRS,n,1,308.6,27,
55.07674,25.8172,326.2,0.51,0.66,2017-05-30,0926,N,VIIRS,n,1,292.2,7,
56.18734,24.21689,326,0.54,0.42,2017-06-28,1023,N,VIIRS,n,1,294.3,2.1,
55.08815,24.34374,303.2,0.48,0.4,2017-07-15,0013,N,VIIRS,n,1,277.3,1,
54.53324,25.56855,328.9,0.39,0.36,2017-03-28,1047,N,VIIRS,n,1,285.5,2.9,
54.55309,25.56955,326.2,0.39,0.36,2017-03-28,1047,N,VIIRS,n,1,284.6,2.1,
54.64745,24.83769,340.7,0.61,0.54,2017-03-30,1150,N,VIIRS,n,1,280.1,6.6,
54.65588,25.59997,347.8,0.38,0.59,2017-04-04,1156,N,VIIRS,n,1,294.9,3.8,
54.42754,24.45465,306.7,0.5,0.41,2017-07-23,0104,N,VIIRS,n,1,283.2,1,
55.83102,21.3959,342.7,0.44,0.38,2017-03-28,1048,N,VIIRS,n,1,288.3,7.1,
56.39787,22.18057,303.3,0.64,0.72,2017-04-08,0230,N,VIIRS,n,1,265.2,1.2,
56.39923,22.17901,295.2,0.38,0.36,2017-06-11,0051,N,VIIRS,n,1,278.9,0.5,
56.11218,24.51115,295.2,0.72,0.76,2017-07-07,2303,N,VIIRS,n,1,277.8,3.3,
55.08282,25.82878,340.3,0.55,0.51,2017-05-23,0957,N,VIIRS,n,1,304.3,10.4,
55.08055,25.82087,339.5,0.55,0.51,2017-05-23,0957,N,VIIRS,n,1,307.9,10.4,
55.07104,25.82073,349.5,0.57,0.69,2017-05-25,0920,N,VIIRS,n,1,297.2,12.8,
55.08457,25.81829,325.1,0.51,0.66,2017-05-30,0926,N,VIIRS,n,1,289.9,8.2,
55.07236,25.42065,296.4,0.4,0.37,2017-06-22,0045,N,VIIRS,n,1,278,0.9,
