latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
54.99454,25.59671,300.3,0.4,0.6,2017-09-24,2324,N,VIIRS,n,1.0NRT,281.2,0.7,N
56.08942,23.79789,313.5,0.56,0.43,2017-11-06,0112,N,VIIRS,n,1.0NRT,274.4,2.6,N
55.23931,22.50756,334.6,0.4,0.4,2017-10-16,1100,N,VIIRS,n,1.0NRT,289.2,3.7,D
56.09098,23.7993,334.5,0.38,0.58,2017-11-05,2336,N,VIIRS,n,1.0NRT,276,2.2,N
54.73837,25.38617,305.7,0.38,0.59,2017-12-28,0136,N,VIIRS,n,1.0NRT,269.5,0.8,N
55.97954,24.82747,313.1,0.42,0.61,2017-10-19,0154,N,VIIRS,n,1.0NRT,271,1.2,N
54.73958,25.38641,306.6,0.38,0.59,2017-12-28,0136,N,VIIRS,n,1.0NRT,269.8,1.1,N
56.31355,22.91545,295,0.4,0.4,2017-09-26,0042,N,VIIRS,n,1.0NRT,282.1,0.5,N
56.2373,23.00124,297.2,0.4,0.4,2017-09-26,0042,N,VIIRS,n,1.0NRT,279.4,0.5,N
55.16051,24.5577,325.7,0.4,0.4,2017-09-14,1100,N,VIIRS,n,1.0NRT,283.6,2.3,D
