latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.50233,5.96166,299.2,0.57,0.43,2017-01-17,0113,N,VIIRS,n,1,264.1,1.4,
49.50417,5.95634,328.3,0.49,0.65,2017-01-17,0253,N,VIIRS,n,1,264.7,3.5,
49.50203,5.96266,321,0.49,0.65,2017-01-17,0253,N,VIIRS,n,1,263.5,3.5,
49.50432,5.96138,328.5,0.43,0.38,2017-02-13,1234,N,VIIRS,n,1,281.7,8,
49.5034,5.95754,320.8,0.5,0.66,2017-03-08,0034,N,VIIRS,n,1,272.6,2.8,
49.50536,5.95641,338.3,0.41,0.45,2017-03-08,0215,N,VIIRS,n,1,271.7,7.4,
49.50376,5.95709,332.7,0.41,0.37,2017-03-13,1208,N,VIIRS,n,1,284.3,4.7,
49.50361,5.95973,330.9,0.42,0.38,2017-03-25,0156,N,VIIRS,n,1,274.2,3.4,
49.50254,5.9589,311.2,0.45,0.47,2017-04-02,0106,N,VIIRS,n,1,270.3,1.9,
49.50513,5.96214,313.4,0.54,0.51,2017-04-03,0227,N,VIIRS,n,1,276.1,1,
49.50477,5.95611,299.8,0.42,0.38,2017-04-10,0156,N,VIIRS,n,1,281,0.7,
49.50196,5.95522,295.1,0.4,0.44,2017-04-25,0215,N,VIIRS,n,1,275.7,1.1,
49.50354,5.96041,295.3,0.5,0.41,2017-04-28,0118,N,VIIRS,n,1,272.5,1.5,
49.5036,5.96186,332.1,0.41,0.37,2017-04-30,1208,N,VIIRS,n,1,301.5,4.5,
49.50344,5.96102,298.2,0.56,0.69,2017-05-14,0258,N,VIIRS,n,1,279.9,1.1,
49.50191,5.95859,303.3,0.4,0.44,2017-05-27,0215,N,VIIRS,n,1,286.1,2.1,
49.5078,5.96049,314.4,0.6,0.7,2017-07-09,0028,N,VIIRS,n,1,282.1,2.3,
49.50552,5.95858,313.5,0.43,0.62,2017-07-19,0040,N,VIIRS,n,1,288.1,1.2,
49.50698,5.96126,334.3,0.42,0.38,2017-03-25,0156,N,VIIRS,n,1,274.8,2.9,
49.50439,5.96162,302.7,0.52,0.5,2017-03-28,0059,N,VIIRS,n,1,276.3,1.1,
49.50439,5.959,295.3,0.36,0.58,2017-03-28,0240,N,VIIRS,n,1,275.5,0.7,
49.5065,5.95948,307.2,0.36,0.58,2017-04-03,0047,N,VIIRS,n,1,276.6,2,
49.50599,5.96087,295.7,0.53,0.42,2017-04-04,0208,N,VIIRS,n,1,275.7,0.7,
49.50464,5.95904,297.7,0.38,0.43,2017-04-07,0112,N,VIIRS,n,1,272.6,0.9,
49.50673,5.95934,353.9,0.62,0.54,2017-04-08,0053,N,VIIRS,n,1,277.7,10.9,
49.50699,5.9618,337.7,0.61,0.54,2017-04-08,0053,N,VIIRS,n,1,277.1,7.4,
49.5071,5.96165,299.1,0.52,0.5,2017-04-29,0059,N,VIIRS,n,1,273.8,1.5,
49.50461,5.95648,296.6,0.48,0.65,2017-06-26,0252,N,VIIRS,n,1,283.9,0.7,
49.50628,5.95568,302.8,0.38,0.43,2017-08-29,0112,N,VIIRS,n,1,288.9,0.9,
49.49874,5.96065,301.5,0.43,0.62,2017-03-29,0040,N,VIIRS,n,1,277.6,8.3,
49.49922,5.96213,298.7,0.5,0.66,2017-04-09,0034,N,VIIRS,n,1,276.7,1.8,
49.49815,5.96127,295.9,0.36,0.58,2017-04-19,0047,N,VIIRS,n,1,270.7,0.6,
49.50143,5.95615,295.7,0.53,0.42,2017-05-06,0208,N,VIIRS,n,1,278.9,1.2,
49.46617,6.00651,300.3,0.4,0.37,2017-02-16,0150,N,VIIRS,n,1,275.1,0.9,
49.46703,6.00552,299.9,0.39,0.36,2017-04-11,0137,N,VIIRS,n,1,273.8,1.1,
49.46585,6.00541,295.7,0.44,0.46,2017-04-18,0106,N,VIIRS,n,1,273.5,0.8,
49.46428,6.00592,299.1,0.36,0.57,2017-04-19,0047,N,VIIRS,n,1,273.6,0.7,
49.46591,6.00596,298.9,0.57,0.43,2017-04-23,0112,N,VIIRS,n,1,274.1,1.2,
49.46528,6.00618,306.5,0.4,0.37,2017-06-24,0150,N,VIIRS,n,1,286.5,1,
49.52205,5.90734,325.8,0.5,0.41,2017-01-06,0119,N,VIIRS,n,1,266.9,4.6,
49.52309,5.90837,325.2,0.56,0.69,2017-01-22,0259,N,VIIRS,n,1,263.6,3,
49.52324,5.90348,300.5,0.4,0.37,2017-02-16,0150,N,VIIRS,n,1,273.1,0.9,
49.52427,5.90482,330.3,0.39,0.36,2017-03-10,0137,N,VIIRS,n,1,276.6,4.9,
49.52232,5.90464,306.1,0.5,0.41,2017-03-11,0118,N,VIIRS,n,1,270.7,1.5,
49.52212,5.90475,304.6,0.53,0.5,2017-03-28,0059,N,VIIRS,n,1,277.1,1.4,
49.52251,5.907,334.5,0.4,0.37,2017-03-28,1227,N,VIIRS,n,1,296.9,3.6,
49.52424,5.90575,316.7,0.45,0.47,2017-04-02,0106,N,VIIRS,n,1,272.9,2.5,
49.52452,5.90144,332.6,0.5,0.41,2017-04-04,1156,N,VIIRS,n,1,293.4,6.4,
49.52267,5.90878,329.6,0.5,0.41,2017-04-04,1156,N,VIIRS,n,1,287.2,3.3,
49.52253,5.90185,332.6,0.47,0.4,2017-04-07,1240,N,VIIRS,n,1,294.5,4.4,
49.52206,5.90744,333.4,0.38,0.36,2017-04-08,1221,N,VIIRS,n,1,301.6,8.5,
49.52285,5.9037,341.3,0.53,0.42,2017-05-30,1246,N,VIIRS,n,1,298.4,13.8,
49.52248,5.90231,328.1,0.41,0.37,2017-06-09,0131,N,VIIRS,n,1,274.6,2,
49.52606,5.90275,353.2,0.61,0.71,2017-06-26,1100,N,VIIRS,n,1,293.6,11.2,
49.52546,5.90443,302.1,0.38,0.36,2017-08-06,0144,N,VIIRS,n,1,283.5,0.9,
49.52232,5.89928,297,0.42,0.61,2017-03-17,0246,N,VIIRS,n,1,277.2,1.4,
49.52382,5.89949,298.8,0.55,0.68,2017-03-27,0258,N,VIIRS,n,1,266.6,5.4,
49.52485,5.90074,324.4,0.62,0.54,2017-06-11,0053,N,VIIRS,n,1,285.9,7.1,
49.52282,5.90344,339.2,0.57,0.52,2017-01-05,1306,N,VIIRS,n,1,270.9,5.5,
49.52468,5.90274,301.4,0.45,0.47,2017-03-17,0106,N,VIIRS,n,1,278.2,1.3,
49.52125,5.90293,299.1,0.36,0.57,2017-03-28,0240,N,VIIRS,n,1,276,0.5,
49.52302,5.90328,303,0.62,0.54,2017-04-08,0233,N,VIIRS,n,1,276.3,1.4,
49.52364,5.90326,297.5,0.53,0.42,2017-06-07,0209,N,VIIRS,n,1,279.7,1,
49.52243,5.90423,317,0.43,0.62,2017-06-17,0040,N,VIIRS,n,1,281.9,1.7,
49.52148,5.90376,331.2,0.41,0.37,2017-08-28,0131,N,VIIRS,n,1,286.6,6.5,
49.50289,5.96249,300.7,0.54,0.51,2017-04-03,0227,N,VIIRS,n,1,275.5,1.4,
49.50282,5.96226,306,0.5,0.66,2017-04-25,0034,N,VIIRS,n,1,269.8,2.4,
49.52633,5.90362,295.5,0.38,0.36,2017-03-31,0143,N,VIIRS,n,1,265.6,1.3,
49.52143,5.90571,338.2,0.57,0.52,2017-01-05,1306,N,VIIRS,n,1,273.1,5.3,
49.52228,5.90575,330.4,0.47,0.4,2017-01-17,1240,N,VIIRS,n,1,273.1,6.2,
49.52455,5.90805,315.6,0.61,0.54,2017-02-19,0053,N,VIIRS,n,1,271.3,3,
49.52235,5.90779,310,0.5,0.66,2017-03-08,0034,N,VIIRS,n,1,271.1,1.7,
49.52094,5.9047,298.2,0.36,0.58,2017-03-12,0240,N,VIIRS,n,1,265.6,0.5,
49.52076,5.90525,312.3,0.43,0.62,2017-03-13,0040,N,VIIRS,n,1,270.8,1.3,
49.52463,5.90641,296,0.45,0.39,2017-03-16,0125,N,VIIRS,n,1,275.9,0.5,
49.52064,5.90456,304.7,0.42,0.61,2017-03-17,0246,N,VIIRS,n,1,275.8,0.9,
49.52459,5.90718,306,0.42,0.38,2017-03-25,0156,N,VIIRS,n,1,275.5,0.7,
49.52209,5.90897,312.7,0.5,0.41,2017-03-27,0118,N,VIIRS,n,1,269.5,4.2,
49.52307,5.90695,295,0.43,0.62,2017-03-29,0040,N,VIIRS,n,1,278.2,0.8,
49.52534,5.90602,304.7,0.45,0.47,2017-04-02,0106,N,VIIRS,n,1,272.2,1.2,
