latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.46626,6.00725,304.4,0.4,0.4,2017-09-01,0154,N,VIIRS,n,1.0NRT,282.4,0.9,N
49.52291,5.9014,297.9,0.4,0.6,2017-09-04,0236,N,VIIRS,n,1.0NRT,275.8,1.2,N
49.5032,5.96075,297.5,0.6,0.6,2017-09-15,0054,N,VIIRS,n,1.0NRT,279.3,1.3,N
49.52286,5.90435,341.2,0.4,0.4,2017-09-15,1218,N,VIIRS,n,1.0NRT,292.3,5.3,D
49.5056,5.9551,305.5,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,277.7,2.4,N
49.50223,5.95358,305.6,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,278.3,1.6,N
49.50113,5.95932,303,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,276.7,1.2,N
49.46654,6.00562,304.7,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,279.2,0.9,N
49.50364,5.96196,300,0.4,0.5,2017-09-25,0106,N,VIIRS,n,1.0NRT,279.2,1.1,N
49.46453,6.00802,300.6,0.6,0.4,2017-10-16,0112,N,VIIRS,n,1.0NRT,283.5,0.6,N
49.50682,5.95589,295.3,0.61,0.53,2017-10-17,0054,N,VIIRS,n,1.0NRT,283.7,0.8,N
49.50706,5.95547,295.7,0.5,0.66,2017-10-18,0030,N,VIIRS,n,1.0NRT,281.3,1.4,N
49.50621,5.9558,338,0.55,0.51,2017-10-28,0224,N,VIIRS,n,1.0NRT,271.7,5.5,N
49.52252,5.90822,297.9,0.4,0.37,2017-10-30,0148,N,VIIRS,n,1.0NRT,274,2.8,N
49.52401,5.90748,304,0.41,0.37,2017-10-31,0130,N,VIIRS,n,1.0NRT,273,1.1,N
49.50305,5.95902,322.6,0.41,0.37,2017-10-31,0130,N,VIIRS,n,1.0NRT,270.9,1.9,N
49.50354,5.96053,328.2,0.39,0.59,2017-10-31,1118,N,VIIRS,n,1.0NRT,280.2,3.5,D
49.50623,5.95516,328.1,0.49,0.41,2017-11-14,1154,N,VIIRS,n,1.0NRT,279.4,5,D
49.5036,5.95706,324.4,0.4,0.37,2017-11-15,0148,N,VIIRS,n,1.0NRT,275.9,1.1,N
49.52464,5.90242,328.4,0.43,0.38,2017-11-20,0154,N,VIIRS,n,1.0NRT,274.6,5.4,N
49.50238,5.96116,300.8,0.43,0.38,2017-11-20,0154,N,VIIRS,n,1.0NRT,270.4,0.9,N
49.50382,5.95776,298.1,0.41,0.37,2017-12-02,0130,N,VIIRS,n,1.0NRT,268.8,1.2,N
49.50184,5.9552,295.1,0.4,0.4,2017-09-01,0154,N,VIIRS,n,1.0NRT,282.4,0.7,N
49.50575,5.95996,339.6,0.6,0.7,2017-09-03,0254,N,VIIRS,n,1.0NRT,277.6,5.7,N
49.46607,6.00442,296.2,0.5,0.7,2017-09-16,0030,N,VIIRS,n,1.0NRT,277.3,0.7,N
49.52218,5.90665,321.4,0.4,0.4,2017-09-17,0154,N,VIIRS,n,1.0NRT,278.3,1.3,N
49.52132,5.90212,337.5,0.4,0.5,2017-09-25,0106,N,VIIRS,n,1.0NRT,279.6,5.6,N
49.50411,5.9558,301.4,0.4,0.5,2017-09-25,0106,N,VIIRS,n,1.0NRT,280.4,1.1,N
49.5029,5.95952,313.2,0.4,0.6,2017-09-26,0048,N,VIIRS,n,1.0NRT,279.4,1.9,N
49.52278,5.90201,316.5,0.5,0.5,2017-09-26,0224,N,VIIRS,n,1.0NRT,279.5,2.3,N
49.5215,5.90417,327.1,0.4,0.5,2017-10-03,1142,N,VIIRS,n,1.0NRT,287,2.3,D
49.52255,5.90299,320.6,0.5,0.4,2017-10-05,0118,N,VIIRS,n,1.0NRT,280.7,3,N
49.52407,5.90786,313.4,0.4,0.4,2017-10-14,0148,N,VIIRS,n,1.0NRT,282.2,1.1,N
49.5047,5.95756,310.9,0.4,0.4,2017-10-14,0148,N,VIIRS,n,1.0NRT,281.6,1.4,N
