latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.88728,22.07294,335.3,0.41,0.45,2017-02-15,1153,N,VIIRS,n,1,289.4,3.8,
42.15816,21.86733,332.7,0.39,0.36,2017-02-27,1128,N,VIIRS,n,1,294.4,2.1,
42.03251,21.80342,338.3,0.44,0.39,2017-03-25,1140,N,VIIRS,n,1,300.8,3.2,
41.86182,22.86893,345.8,0.38,0.36,2017-04-11,1121,N,VIIRS,n,1,305.4,6,
41.96831,21.45513,297.7,0.38,0.36,2017-05-06,0030,N,VIIRS,n,1,283.1,0.6,
41.76929,21.13334,312.3,0.53,0.42,2017-07-29,0055,N,VIIRS,n,1,288.3,2,
42.10604,21.61758,339.4,0.46,0.47,2017-07-30,1159,N,VIIRS,n,1,306.5,3.7,
42.01508,21.46356,323.1,0.43,0.38,2017-07-31,0017,N,VIIRS,n,1,292,2.6,
41.76871,21.1284,321.5,0.47,0.48,2017-07-31,2358,N,VIIRS,n,1,293.9,4.3,
41.79012,21.1304,335.3,0.57,0.43,2017-08-02,1103,N,VIIRS,n,1,307.6,7.5,
41.79024,21.12179,331,0.32,0.55,2017-08-03,1044,N,VIIRS,l,1,301.1,2,
41.83389,20.59299,299.9,0.47,0.47,2017-08-08,0107,N,VIIRS,n,1,284.3,1.1,
41.88012,21.78921,330.8,0.57,0.52,2017-08-20,1206,N,VIIRS,l,1,304.2,5.3,
41.82662,20.60718,346.2,0.47,0.64,2017-08-28,0133,N,VIIRS,n,1,284.9,9.9,
41.82101,20.69809,331.6,0.44,0.39,2017-08-28,1116,N,VIIRS,n,1,296.5,10.4,
41.96425,20.81415,334.8,0.44,0.38,2017-08-28,1116,N,VIIRS,n,1,293.9,4.7,
41.31287,20.83563,345.4,0.41,0.37,2017-02-21,1141,N,VIIRS,n,1,286.7,4.7,
41.71539,21.02753,299.4,0.38,0.36,2017-03-03,0030,N,VIIRS,n,1,270.1,0.6,
41.39465,22.77043,335.3,0.38,0.44,2017-03-22,1056,N,VIIRS,n,1,292,2.8,
41.42936,22.14599,330.6,0.43,0.62,2017-03-23,1218,N,VIIRS,n,1,276.9,2.8,
41.44522,21.9409,331.7,0.4,0.37,2017-03-24,0036,N,VIIRS,n,1,281.8,21.8,
41.73916,21.80218,297,0.53,0.5,2017-04-02,0107,N,VIIRS,n,1,277.7,0.9,
41.72169,22.77205,333.8,0.42,0.38,2017-04-05,1134,N,VIIRS,n,1,281.2,6.4,
41.71561,20.9727,353.5,0.39,0.44,2017-04-12,1103,N,VIIRS,n,1,303.2,30.6,
41.42276,21.93357,298.9,0.62,0.54,2017-05-18,2346,N,VIIRS,n,1,283.4,1,
41.43909,21.94682,295.5,0.47,0.64,2017-05-19,0126,N,VIIRS,n,1,281.5,4.6,
41.44423,21.94054,354.3,0.55,0.51,2017-05-20,0107,N,VIIRS,n,1,283.3,10.5,
41.444,21.94674,302.5,0.78,0.78,2017-06-03,0145,N,VIIRS,n,1,282.2,4.4,
41.43735,21.94304,300.9,0.5,0.41,2017-07-08,0048,N,VIIRS,n,1,289.9,0.8,
41.43989,21.9386,303.8,0.45,0.63,2017-07-11,2333,N,VIIRS,n,1,292.3,0.8,
41.42102,21.93771,340.2,0.47,0.4,2017-07-26,0011,N,VIIRS,n,1,294.7,12,
41.44107,21.93524,308.5,0.66,0.73,2017-08-02,2320,N,VIIRS,n,1,292.1,1.8,
41.69518,21.03889,315.5,0.41,0.45,2017-08-03,0101,N,VIIRS,n,1,288.9,1.4,
41.70585,21.4344,337.6,0.54,0.51,2017-08-04,1206,N,VIIRS,n,1,304.4,11.2,
41.73468,21.55612,355.9,0.55,0.51,2017-08-04,1206,N,VIIRS,n,1,316.4,22.3,
41.33028,21.82292,336.6,0.5,0.41,2017-08-05,1147,N,VIIRS,n,1,303.6,3.3,
41.73863,21.55103,303,0.57,0.43,2017-08-06,0005,N,VIIRS,n,1,291.9,1.4,
41.04233,21.52045,299.8,0.76,0.77,2017-08-06,0145,N,VIIRS,n,1,287.8,1.3,
41.56691,20.82464,301.3,0.59,0.53,2017-08-11,2352,N,VIIRS,n,1,286.6,1.7,
41.53074,20.81458,305.3,0.59,0.53,2017-08-11,2352,N,VIIRS,n,1,285.5,1.8,
41.56102,20.84161,336.4,0.44,0.39,2017-08-12,1115,N,VIIRS,n,1,300.3,5.5,
41.40326,21.52293,296.2,0.63,0.54,2017-08-13,0114,N,VIIRS,n,1,285.8,5.1,
41.52756,21.86889,309.4,0.38,0.58,2017-08-17,2340,N,VIIRS,n,1,289.8,1.2,
41.20537,20.8338,334.9,0.5,0.49,2017-08-20,1206,N,VIIRS,n,1,301.2,22.8,
41.40199,21.56517,336.3,0.48,0.4,2017-08-23,1109,N,VIIRS,n,1,303.5,8.4,
41.40497,21.56419,353.8,0.33,0.55,2017-08-25,1212,N,VIIRS,n,1,311.1,11.9,
41.3984,21.57393,338.7,0.38,0.36,2017-08-26,0030,N,VIIRS,n,1,291.4,3.7,
41.04201,21.5252,330.2,0.38,0.36,2017-08-26,0030,N,VIIRS,n,1,291.1,2.9,
41.41868,21.93714,304.7,0.4,0.37,2017-08-31,0036,N,VIIRS,n,1,286.6,0.6,
41.24736,21.58899,305.5,0.39,0.36,2017-03-30,0023,N,VIIRS,n,1,276.3,0.7,
41.04389,21.52526,339.8,0.45,0.47,2017-07-28,1056,N,VIIRS,n,1,307.8,3.2,
41.38389,21.30878,367,0.32,0.55,2017-08-03,1044,N,VIIRS,h,1,313.2,8.2,
41.0418,21.52835,316.2,0.39,0.36,2017-08-05,0024,N,VIIRS,n,1,291.9,1.7,
41.0435,21.52074,313,0.54,0.51,2017-08-08,0107,N,VIIRS,n,1,291.3,2.3,
41.22806,21.62455,367,0.44,0.63,2017-08-09,1032,N,VIIRS,h,1,301.2,24.1,
41.04201,21.52211,298.3,0.4,0.37,2017-08-15,0036,N,VIIRS,n,1,287.3,1.3,
41.39146,21.55298,304.1,0.38,0.36,2017-08-26,0030,N,VIIRS,n,1,286.4,0.7,
41.39421,21.54725,335.4,0.73,0.76,2017-08-26,1013,N,VIIRS,n,1,299.5,7.4,
41.40183,21.5799,346.7,0.38,0.43,2017-08-26,1153,N,VIIRS,n,1,307.7,6.7,
41.39558,21.53108,343.4,0.4,0.37,2017-08-27,1134,N,VIIRS,n,1,312.2,4.5,
41.31754,21.81499,329.2,0.77,0.77,2017-08-06,0145,N,VIIRS,n,1,288.1,4,
41.31553,21.81541,350.1,0.38,0.36,2017-08-06,1128,N,VIIRS,l,1,330.5,58.5,
41.4164,21.93683,299.6,0.66,0.73,2017-04-11,0138,N,VIIRS,n,1,276.7,1.8,
41.4248,21.3564,334.7,0.39,0.59,2017-07-29,1218,N,VIIRS,n,1,308,51,
41.70196,21.45143,322.5,0.4,0.37,2017-08-05,0023,N,VIIRS,n,1,290.9,1.1,
41.56944,21.47074,303.1,0.57,0.43,2017-08-06,0005,N,VIIRS,n,1,292.5,1.1,
41.77806,21.42939,328.9,0.48,0.4,2017-08-23,1109,N,VIIRS,n,1,296,4.4,
41.58253,21.43371,307.7,0.54,0.51,2017-08-27,2352,N,VIIRS,n,1,291.3,2,
41.63855,21.09519,322.4,0.6,0.71,2017-04-01,2326,N,VIIRS,n,1,273.1,4.1,
41.52416,21.13776,296.7,0.47,0.48,2017-04-10,2358,N,VIIRS,n,1,276.8,1.3,
41.76849,21.13685,310.8,0.44,0.39,2017-07-31,0017,N,VIIRS,n,1,292.3,1.6,
41.76784,21.14233,330.9,0.54,0.68,2017-08-04,1025,N,VIIRS,l,1,305.7,2.6,
41.35334,22.45088,325.9,0.65,0.73,2017-04-02,1231,N,VIIRS,n,1,295.2,3.3,
41.44388,21.9428,331.6,0.39,0.36,2017-02-27,1128,N,VIIRS,n,1,296.9,10.3,
41.49341,21.95832,344.8,0.4,0.37,2017-03-04,1134,N,VIIRS,n,1,298.3,4.5,
41.44287,21.94068,329.8,0.42,0.45,2017-05-25,1056,N,VIIRS,n,1,289.1,3.1,
41.44154,21.94139,342.9,0.46,0.39,2017-02-16,0011,N,VIIRS,n,1,277.2,10.1,
41.44485,21.94291,337.2,0.51,0.49,2017-03-20,2352,N,VIIRS,n,1,278.9,6.5,
41.44028,21.94213,333,0.51,0.49,2017-03-20,2352,N,VIIRS,n,1,280.9,6.1,
41.44268,21.94196,340.4,0.4,0.37,2017-05-23,1134,N,VIIRS,l,1,312.9,6.9,
41.4435,21.93883,335.1,0.4,0.37,2017-02-04,0036,N,VIIRS,n,1,277.6,6.9,
41.44195,21.93723,330.8,0.39,0.44,2017-06-27,0055,N,VIIRS,n,1,289.8,3.2,
41.44133,21.9407,353.7,0.66,0.73,2017-03-27,2320,N,VIIRS,n,1,275.5,9.8,
41.43923,21.94315,307,0.5,0.41,2017-05-05,0048,N,VIIRS,n,1,280.2,1.5,
42.07667,21.91601,295.6,0.37,0.58,2017-02-22,2339,N,VIIRS,n,1,276.6,0.6,
40.99984,21.00094,320.2,0.37,0.58,2017-02-23,0120,N,VIIRS,n,1,272.4,2.5,
41.20194,21.20633,334.3,0.42,0.38,2017-03-25,1140,N,VIIRS,n,1,295.9,4.9,
41.90522,20.9521,340.8,0.43,0.46,2017-03-24,1159,N,VIIRS,n,1,295.7,10.4,
42.09914,20.98473,301.1,0.74,0.76,2017-08-02,2320,N,VIIRS,n,1,283.7,1.3,
41.83584,20.68653,346,0.53,0.42,2017-08-26,1153,N,VIIRS,n,1,304.3,14.4,
42.09783,21.52888,335.6,0.59,0.7,2017-04-02,1231,N,VIIRS,n,1,301.1,63.4,
42.11087,21.52603,354.6,0.59,0.7,2017-04-02,1231,N,VIIRS,n,1,290.2,10.4,
41.96074,21.30012,308.1,0.4,0.37,2017-08-05,0023,N,VIIRS,n,1,294.3,1.1,
41.42267,21.9346,312.1,0.42,0.37,2017-07-31,0017,N,VIIRS,n,1,292.7,0.9,
41.85364,22.8406,330,0.43,0.38,2017-02-16,1134,N,VIIRS,n,1,288,1.7,
41.47611,22.59375,342.8,0.5,0.41,2017-02-23,1103,N,VIIRS,n,1,294.4,7.3,
41.52217,22.72303,331.8,0.38,0.43,2017-03-22,1056,N,VIIRS,n,1,299.4,2.3,
41.39909,22.11988,330.6,0.49,0.48,2017-03-24,1159,N,VIIRS,n,1,299.1,3.4,
41.80735,22.21972,349.7,0.39,0.36,2017-03-26,1121,N,VIIRS,n,1,301.9,4.4,
41.89603,22.15833,326.4,0.39,0.36,2017-03-26,1121,N,VIIRS,n,1,299.3,1.9,
41.83332,20.60837,347.8,0.57,0.52,2017-08-08,1050,N,VIIRS,n,1,305.2,21.4,
41.89097,20.81979,330.6,0.39,0.36,2017-03-04,1134,N,VIIRS,n,1,290.8,4,
41.73935,20.8966,329.2,0.44,0.38,2017-03-21,1115,N,VIIRS,n,1,297.2,3.5,
41.54823,20.83212,298.4,0.62,0.72,2017-08-07,2327,N,VIIRS,n,1,284.1,1.5,
41.51551,20.83753,326.2,0.41,0.61,2017-08-07,0126,N,VIIRS,n,1,288.8,2.4,
41.50609,20.85072,367,0.48,0.64,2017-08-09,1032,N,VIIRS,h,1,304.3,8.9,
41.20996,20.59827,347,0.41,0.45,2017-08-15,1159,N,VIIRS,n,1,304.5,7.4,
41.95105,20.79913,300.3,0.48,0.65,2017-08-28,0132,N,VIIRS,n,1,282.7,1.7,
41.94863,20.79713,297,0.48,0.65,2017-08-28,0133,N,VIIRS,n,1,280.3,1.3,
41.48421,20.63503,350.9,0.52,0.42,2017-08-10,1153,N,VIIRS,n,1,315,11.1,
41.83276,20.61449,326.8,0.6,0.53,2017-08-27,2352,N,VIIRS,n,1,283.9,2.9,
41.42209,21.93909,322,0.41,0.37,2017-02-21,0017,N,VIIRS,n,1,270.3,5.7,
41.44367,21.94361,309.7,0.56,0.69,2017-03-21,0132,N,VIIRS,n,1,279.5,3.1,
41.44084,21.93854,318.4,0.42,0.37,2017-03-25,0017,N,VIIRS,n,1,268.6,2.7,
41.83082,20.85929,333.3,0.46,0.39,2017-03-30,1147,N,VIIRS,n,1,296.7,2.8,
41.44225,21.94351,306.1,0.62,0.54,2017-05-18,2346,N,VIIRS,n,1,284,1.8,
41.43808,21.94493,306.6,0.55,0.51,2017-05-20,0107,N,VIIRS,n,1,283.4,7.4,
41.43865,21.94298,302.8,0.66,0.73,2017-06-30,0138,N,VIIRS,n,1,291.6,1.2,
41.44195,21.94251,336.5,0.39,0.6,2017-07-01,0120,N,VIIRS,n,1,294.9,3.8,
41.44175,21.94029,354.7,0.42,0.37,2017-07-11,1115,N,VIIRS,n,1,322.4,40.2,
41.75545,21.14141,297.2,0.53,0.42,2017-07-29,0055,N,VIIRS,n,1,286.9,0.5,
41.42051,21.9397,339.1,0.6,0.7,2017-07-30,1019,N,VIIRS,n,1,300.2,6.4,
41.7638,21.13147,322.9,0.59,0.7,2017-08-01,0138,N,VIIRS,n,1,292.3,3.6,
