latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
41.5591,20.84887,298.1,0.5,0.5,2017-09-01,2354,N,VIIRS,n,1.0NRT,287.8,1.3,N
41.84315,20.66734,335.2,0.4,0.4,2017-10-03,1136,N,VIIRS,n,1.0NRT,294.5,2.3,D
41.97124,20.8658,330.6,0.38,0.43,2017-10-21,1100,N,VIIRS,n,1.0NRT,294.8,5.7,D
41.86479,22.33482,341.3,0.38,0.36,2017-10-20,1118,N,VIIRS,n,1.0NRT,297.4,8.3,D
41.07596,21.36993,336.7,0.4,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,311.2,4.5,D
41.99171,20.90213,347.2,0.4,0.4,2017-09-23,1124,N,VIIRS,n,1.0NRT,303.3,8.6,D
41.44591,21.94453,312.2,0.4,0.5,2017-09-15,0054,N,VIIRS,n,1.0NRT,286.2,0.7,N
41.56112,21.37372,313.1,0.4,0.5,2017-09-20,0100,N,VIIRS,n,1.0NRT,283.9,1.3,N
41.38506,21.67807,317.5,0.4,0.6,2017-09-18,2336,N,VIIRS,n,1.0NRT,286.8,1.8,N
41.39914,21.68846,309.6,0.7,0.8,2017-09-19,2318,N,VIIRS,n,1.0NRT,281,4.3,N
41.55547,22.08126,340,0.4,0.4,2017-10-09,1124,N,VIIRS,n,1.0NRT,302,3.3,D
41.61426,22.86422,327.3,0.62,0.54,2017-11-02,1036,N,VIIRS,n,1.0NRT,286.1,4.3,D
42.01245,21.5628,327.9,0.44,0.38,2017-11-04,1136,N,VIIRS,n,1.0NRT,293.4,2.4,D
40.99349,21.09077,345.9,0.5,0.4,2017-09-06,1142,N,VIIRS,n,1.0NRT,298.7,20.7,D
41.19938,21.39642,298.4,0.4,0.4,2017-09-17,0018,N,VIIRS,n,1.0NRT,286.2,0.8,N
41.8438,20.67238,334.5,0.4,0.4,2017-10-03,1136,N,VIIRS,n,1.0NRT,301,29.2,D
41.75631,21.47234,330.4,0.43,0.38,2017-10-19,1136,N,VIIRS,n,1.0NRT,303,10,D
42.01493,21.46718,307.6,0.37,0.58,2017-12-08,0118,N,VIIRS,n,1.0NRT,271.4,1.4,N
42.19675,21.55877,326.3,0.3,0.6,2017-09-15,1036,N,VIIRS,l,1.0NRT,296.6,2.9,D
41.17397,21.4978,346.1,0.4,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,313.4,7.8,D
41.92729,21.00309,338.8,0.6,0.4,2017-09-19,1100,N,VIIRS,n,1.0NRT,308.5,7.5,D
41.07061,21.40324,336.1,0.4,0.4,2017-10-03,1136,N,VIIRS,n,1.0NRT,299.2,3.4,D
41.98541,20.86427,337,0.42,0.38,2017-10-19,1136,N,VIIRS,n,1.0NRT,287.7,5,D
41.44424,21.94154,327.7,0.4,0.4,2017-09-05,0042,N,VIIRS,n,1.0NRT,280.9,2.2,N
41.43975,21.94012,300.7,0.8,0.8,2017-09-07,0142,N,VIIRS,n,1.0NRT,282.6,1.1,N
41.44429,21.94084,347.6,0.4,0.4,2017-09-07,1124,N,VIIRS,n,1.0NRT,311,8.7,D
42.23851,21.95182,355.7,0.4,0.5,2017-09-11,1154,N,VIIRS,n,1.0NRT,305.5,12.9,D
41.44273,21.94326,327.3,0.3,0.6,2017-09-14,0112,N,VIIRS,n,1.0NRT,288.3,4.9,N
41.42861,22.80937,335.7,0.4,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,308.5,3.7,D
42.24519,22.2393,352.2,0.5,0.5,2017-09-20,1042,N,VIIRS,n,1.0NRT,291.8,32.4,D
41.56334,22.06489,332.8,0.4,0.4,2017-10-09,1124,N,VIIRS,n,1.0NRT,298.6,2.2,D
41.81013,22.10906,325.5,0.36,0.57,2017-10-28,1212,N,VIIRS,n,1.0NRT,285.5,2.8,D
41.34825,22.45662,346,0.43,0.46,2017-10-29,1154,N,VIIRS,n,1.0NRT,296.6,12.3,D
42.01403,21.46324,300.4,0.4,0.4,2017-09-06,0024,N,VIIRS,n,1.0NRT,282.3,0.5,N
42.01311,21.46627,296.5,0.6,0.4,2017-09-07,0000,N,VIIRS,n,1.0NRT,280.1,1,N
41.5213,21.84194,300.8,0.5,0.5,2017-09-12,2348,N,VIIRS,n,1.0NRT,286.6,0.7,N
42.01548,21.46337,335.1,0.4,0.4,2017-09-17,1136,N,VIIRS,n,1.0NRT,306.1,4.3,D
41.36835,21.68825,348.2,0.4,0.4,2017-09-18,1118,N,VIIRS,l,1.0NRT,322.7,14.2,D
41.89939,21.45287,345.6,0.4,0.4,2017-09-23,1124,N,VIIRS,n,1.0NRT,299.8,5.5,D
41.70261,21.5327,332,0.44,0.38,2017-10-19,1136,N,VIIRS,l,1.0NRT,302.4,6.7,D
42.01564,21.46705,300.8,0.61,0.71,2017-12-07,0136,N,VIIRS,n,1.0NRT,270.4,1.2,N
41.04269,21.52418,316.1,0.4,0.4,2017-09-17,0018,N,VIIRS,n,1.0NRT,289.6,1.8,N
41.56701,20.84002,298.9,0.4,0.4,2017-09-01,0018,N,VIIRS,n,1.0NRT,286.6,0.9,N
41.4438,21.94041,349,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,314.3,6.4,D
41.42058,21.93732,327.8,0.4,0.4,2017-09-06,0024,N,VIIRS,n,1.0NRT,286,2.4,N
41.44052,21.93964,325.2,0.6,0.7,2017-09-13,0130,N,VIIRS,n,1.0NRT,287.2,3.1,N
41.38338,21.81319,315.3,0.7,0.8,2017-09-18,0136,N,VIIRS,n,1.0NRT,289.7,3.5,N
41.25972,22.6449,354.1,0.4,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,315.3,5.7,D
41.04339,21.52645,298.2,0.4,0.6,2017-09-19,0118,N,VIIRS,n,1.0NRT,286,0.8,N
41.38058,21.67825,347.7,0.5,0.4,2017-09-19,1100,N,VIIRS,n,1.0NRT,305.8,9.9,D
41.0429,21.52487,310.9,0.4,0.4,2017-09-22,0024,N,VIIRS,n,1.0NRT,281.9,1.7,N
41.15152,21.40829,367,0.6,0.7,2017-10-11,1230,N,VIIRS,n,1.0NRT,295.5,11.9,D
41.04393,21.52582,297.4,0.5,0.4,2017-10-12,0048,N,VIIRS,n,1.0NRT,279.5,1.1,N
41.55786,21.35374,335.2,0.4,0.5,2017-10-16,1054,N,VIIRS,n,1.0NRT,294,3,D
41.7438,21.48728,334.3,0.44,0.38,2017-10-19,1136,N,VIIRS,n,1.0NRT,296.5,3.7,D
41.16175,22.53039,336.5,0.4,0.37,2017-10-31,1112,N,VIIRS,n,1.0NRT,290.5,3.5,D
41.86462,21.98942,330.4,0.39,0.36,2017-11-26,1124,N,VIIRS,n,1.0NRT,285.9,2.9,D
42.17696,22.19954,336.7,0.4,0.4,2017-09-02,1118,N,VIIRS,n,1.0NRT,306.2,8.9,D
42.25104,22.22108,296.9,0.4,0.6,2017-09-18,2336,N,VIIRS,n,1.0NRT,281.3,0.4,N
42.2521,22.20846,307.4,0.6,0.7,2017-09-19,2318,N,VIIRS,n,1.0NRT,280.2,2,N
42.24636,22.22669,304.4,0.5,0.5,2017-09-20,0100,N,VIIRS,n,1.0NRT,282.3,1.6,N
42.24368,22.23319,336.2,0.5,0.5,2017-09-20,1042,N,VIIRS,n,1.0NRT,288.5,7.2,D
41.97694,21.60469,331.1,0.4,0.4,2017-09-23,1124,N,VIIRS,l,1.0NRT,305.3,2.9,D
42.25193,22.24224,303.3,0.5,0.5,2017-09-20,0100,N,VIIRS,n,1.0NRT,285.2,1.6,N
42.24096,22.24423,321.9,0.4,0.4,2017-09-21,0042,N,VIIRS,n,1.0NRT,278.2,1.9,N
42.09356,21.3039,334.8,0.5,0.4,2017-09-08,1106,N,VIIRS,n,1.0NRT,298.8,4.3,D
41.98174,21.02298,331.4,0.4,0.4,2017-09-17,1136,N,VIIRS,l,1.0NRT,305.7,3,D
41.99573,20.84909,296.9,0.5,0.5,2017-09-17,2354,N,VIIRS,n,1.0NRT,281.7,0.9,N
41.99442,20.90215,338.2,0.4,0.4,2017-09-18,1118,N,VIIRS,n,1.0NRT,304.7,4.5,D
42.01313,21.46218,313.2,0.4,0.5,2017-09-20,0100,N,VIIRS,n,1.0NRT,286,1.7,N
41.55666,21.37361,296.3,0.4,0.5,2017-09-20,0100,N,VIIRS,n,1.0NRT,285,1.2,N
41.98915,20.90761,331.3,0.4,0.4,2017-09-23,1124,N,VIIRS,n,1.0NRT,295.3,6.6,D
41.84657,20.66666,329.9,0.4,0.4,2017-10-03,1136,N,VIIRS,n,1.0NRT,296.6,3.7,D
41.04589,21.52997,296,0.4,0.4,2017-10-13,0030,N,VIIRS,n,1.0NRT,280.8,0.8,N
41.70244,21.53526,367,0.61,0.71,2017-10-18,1018,N,VIIRS,l,1.0NRT,289.9,25,D
