latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
36.04696,14.31483,344.4,0.46,0.39,2017-06-27,1217,N,VIIRS,n,1,308.6,1.4,
35.88456,14.53086,295.5,0.49,0.65,2017-03-31,0146,N,VIIRS,n,1,283.3,0.8,
36.05431,14.23037,325.7,0.33,0.55,2017-05-13,1120,N,VIIRS,l,1,296,2,
35.85981,14.55085,295.1,0.6,0.7,2017-05-23,0153,N,VIIRS,n,1,282.8,0.5,
35.90507,14.37397,367,0.33,0.55,2017-06-30,1120,N,VIIRS,h,1,311.2,2.9,
35.83495,14.55206,307.4,0.4,0.37,2017-06-17,0044,N,VIIRS,n,1,294.7,0.9,
36.03614,14.29264,341.2,0.7,0.75,2017-06-26,1055,N,VIIRS,n,1,300.2,7.5,
35.83493,14.55243,305.3,0.42,0.38,2017-07-18,0103,N,VIIRS,n,1,293.3,1.6,
35.83556,14.46576,333.4,0.41,0.37,2017-03-18,1210,N,VIIRS,n,1,295.8,4.8,
35.84697,14.40223,299.6,0.45,0.39,2017-03-24,0038,N,VIIRS,n,1,282.9,0.5,
35.86712,14.4545,335.8,0.32,0.55,2017-05-30,1242,N,VIIRS,n,1,302.2,1.4,
35.90422,14.37051,335.7,0.33,0.55,2017-06-30,1120,N,VIIRS,n,1,310.3,2.9,
35.87062,14.46896,343.7,0.43,0.46,2017-07-07,1229,N,VIIRS,n,1,309.6,2.7,
36.01825,14.26728,344.4,0.52,0.5,2017-08-13,1236,N,VIIRS,n,1,305.3,6.8,
