latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
45.51278,28.39114,307.3,0.39,0.36,2017-08-11,0010,N,VIIRS,n,1,293.9,0.9,
45.68653,28.16771,339.7,0.52,0.5,2017-03-04,1135,N,VIIRS,n,1,289.2,11,
45.93034,28.39139,349.8,0.54,0.51,2017-03-04,1135,N,VIIRS,n,1,295.7,28.7,
45.70995,28.17358,329.5,0.46,0.47,2017-03-08,1020,N,VIIRS,n,1,289.6,2.4,
45.92346,28.30925,332.3,0.44,0.38,2017-03-16,1110,N,VIIRS,n,1,290.3,7.4,
45.81824,28.21993,346.3,0.38,0.36,2017-03-22,1057,N,VIIRS,n,1,298.2,19.1,
46.46463,28.57029,327.6,0.39,0.36,2017-03-22,1057,N,VIIRS,n,1,292.4,1.5,
47.29202,28.25335,336.7,0.39,0.36,2017-03-22,1058,N,VIIRS,n,1,287.3,4.7,
46.86168,28.37426,339,0.43,0.38,2017-03-23,1039,N,VIIRS,n,1,295,4.6,
45.59042,28.28276,332.9,0.4,0.44,2017-03-29,1026,N,VIIRS,n,1,300.2,1.8,
47.05957,28.68037,344.7,0.54,0.42,2017-03-29,1026,N,VIIRS,n,1,298.1,8.2,
47.14928,28.53957,341.1,0.54,0.42,2017-03-29,1026,N,VIIRS,n,1,298.1,5.2,
47.12871,28.13365,342.2,0.49,0.4,2017-04-03,1032,N,VIIRS,n,1,300.7,6.8,
47.19175,28.38409,336.5,0.48,0.4,2017-04-03,1032,N,VIIRS,n,1,300.9,4.5,
47.35945,28.22489,338.1,0.39,0.44,2017-04-11,1123,N,VIIRS,n,1,299,2.7,
46.90762,28.40951,333.2,0.51,0.41,2017-07-11,1116,N,VIIRS,n,1,300.9,3.6,
46.83897,28.14524,334.4,0.45,0.47,2017-07-21,1129,N,VIIRS,n,1,304.1,2,
45.72594,28.55298,344.6,0.37,0.58,2017-07-31,1001,N,VIIRS,n,1,304.6,10.3,
47.27254,28.93648,335.3,0.64,0.54,2017-07-31,1001,N,VIIRS,n,1,297.2,7.3,
45.57022,28.38371,334.5,0.4,0.37,2017-08-02,1104,N,VIIRS,l,1,305.8,4.8,
45.7227,28.53117,351.8,0.4,0.37,2017-08-02,1104,N,VIIRS,n,1,313.9,5.7,
45.68581,28.32777,343.7,0.52,0.66,2017-08-06,0949,N,VIIRS,n,1,295.1,10.1,
46.27991,28.58827,337.6,0.45,0.39,2017-08-07,1110,N,VIIRS,n,1,301.1,2.4,
46.10027,28.85655,351.3,0.48,0.4,2017-08-09,1032,N,VIIRS,n,1,310.7,27,
45.61869,28.51551,307.1,0.45,0.39,2017-08-11,2351,N,VIIRS,n,1,289.9,0.6,
46.08865,28.87415,336.3,0.64,0.72,2017-08-12,0936,N,VIIRS,n,1,304.1,9.6,
46.19708,28.49181,340.2,0.5,0.41,2017-08-12,1116,N,VIIRS,l,1,311.5,7.1,
47.17398,28.28492,346.5,0.51,0.41,2017-08-12,1117,N,VIIRS,n,1,310.1,4.7,
46.70445,29.60881,335.7,0.44,0.62,2017-03-14,1148,N,VIIRS,n,1,276.6,2.6,
46.82531,29.3728,325.9,0.56,0.43,2017-03-21,1116,N,VIIRS,n,1,287.4,4.8,
46.99833,29.51284,351.7,0.4,0.37,2017-03-22,1057,N,VIIRS,n,1,300.3,14,
46.58956,29.46257,345.6,0.48,0.4,2017-04-01,1110,N,VIIRS,n,1,299.2,6.3,
46.64553,29.92585,334.7,0.44,0.46,2017-04-04,1013,N,VIIRS,n,1,303.2,2.1,
47.23808,29.30219,336,0.39,0.36,2017-04-13,1045,N,VIIRS,n,1,298.2,3.4,
46.6709,29.60136,337.2,0.4,0.37,2017-05-25,1057,N,VIIRS,n,1,297.6,3.4,
46.96624,29.53991,302.8,0.51,0.41,2017-06-23,0028,N,VIIRS,n,1,285,7.9,
47.05093,29.57554,335.8,0.5,0.41,2017-07-19,1026,N,VIIRS,l,1,307,4,
46.76367,29.52544,367,0.49,0.4,2017-07-22,1110,N,VIIRS,h,1,311.3,19.3,
46.96972,29.48281,334.7,0.49,0.4,2017-07-22,1110,N,VIIRS,l,1,307.2,3.4,
47.02386,29.53986,352.2,0.45,0.39,2017-07-24,1032,N,VIIRS,n,1,300.6,6.9,
47.05757,29.53196,347.2,0.44,0.46,2017-08-01,1123,N,VIIRS,n,1,309.5,8.2,
47.07016,29.58299,346.3,0.44,0.46,2017-08-01,1123,N,VIIRS,n,1,310.2,6.8,
46.72662,29.52673,338,0.43,0.38,2017-08-02,1104,N,VIIRS,n,1,307.5,3.9,
46.61076,29.76827,308,0.47,0.39,2017-08-05,0022,N,VIIRS,n,1,292.3,2.2,
46.69144,29.85002,333.4,0.51,0.5,2017-08-05,1007,N,VIIRS,n,1,302.2,6,
47.06031,29.55452,346.1,0.52,0.5,2017-08-05,1008,N,VIIRS,n,1,305.3,10,
46.61939,29.83453,349.6,0.53,0.5,2017-08-06,1129,N,VIIRS,n,1,304.3,10.6,
46.86653,29.66567,367,0.53,0.5,2017-08-06,1129,N,VIIRS,h,1,304.2,36.5,
46.86933,29.70799,333.1,0.53,0.5,2017-08-06,1129,N,VIIRS,n,1,301.6,5.9,
46.61157,29.78854,353.7,0.44,0.46,2017-08-10,1014,N,VIIRS,n,1,304.2,9,
47.06042,29.47264,333.3,0.44,0.46,2017-08-10,1014,N,VIIRS,l,1,303.6,3.4,
47.0685,29.4874,341.5,0.44,0.46,2017-08-10,1014,N,VIIRS,n,1,302.2,3.8,
46.6074,29.78751,343.6,0.36,0.57,2017-08-11,0955,N,VIIRS,n,1,305.7,3.5,
46.60648,29.77564,330.5,0.63,0.54,2017-08-11,1135,N,VIIRS,l,1,304.3,14.5,
46.61069,29.75824,331,0.63,0.54,2017-08-11,1135,N,VIIRS,l,1,301.5,7.7,
46.59547,29.44512,338.1,0.43,0.46,2017-08-17,1123,N,VIIRS,n,1,301.6,4.1,
46.59451,29.43346,331.4,0.43,0.46,2017-08-17,1123,N,VIIRS,l,1,303.2,4.1,
47.02776,29.51254,299.8,0.55,0.43,2017-08-17,2338,N,VIIRS,n,1,289.5,0.7,
46.8139,29.24138,354.1,0.43,0.38,2017-08-18,1104,N,VIIRS,n,1,315.1,6.1,
47.01506,29.49639,336,0.5,0.41,2017-08-20,1026,N,VIIRS,l,1,309.4,3.7,
48.04476,28.29739,334.4,0.46,0.39,2017-03-02,1033,N,VIIRS,n,1,287,8.7,
47.50925,28.12962,326.1,0.39,0.36,2017-03-06,1058,N,VIIRS,n,1,267.8,2.5,
47.43541,28.45221,326.6,0.41,0.45,2017-03-08,1020,N,VIIRS,n,1,286,1.7,
47.9477,28.20538,331.4,0.39,0.36,2017-03-22,1058,N,VIIRS,n,1,285.9,3.1,
47.93334,28.65911,327,0.42,0.37,2017-03-23,1039,N,VIIRS,n,1,296.3,2.5,
