latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
45.8361,28.37958,326.9,0.39,0.44,2017-10-20,1118,N,VIIRS,n,1.0NRT,295.1,1.7,D
46.60117,29.26906,338.3,0.6,0.7,2017-09-16,1200,N,VIIRS,n,1.0NRT,294.1,1.6,D
46.39856,29.59971,353.5,0.39,0.36,2017-10-27,1048,N,VIIRS,n,1.0NRT,293.2,8.5,D
46.23878,28.9189,355.6,0.5,0.4,2017-09-29,1112,N,VIIRS,n,1.0NRT,298.1,16.3,D
46.43357,28.53546,298.1,0.3,0.6,2017-10-06,0100,N,VIIRS,n,1.0NRT,279.9,0.7,N
46.73538,29.79163,339.3,0.4,0.4,2017-09-15,1036,N,VIIRS,n,1.0NRT,303.8,2.9,D
46.73699,29.54829,344.9,0.4,0.4,2017-10-16,1054,N,VIIRS,n,1.0NRT,295.5,7,D
47.7844,29.0134,296.4,0.62,0.72,2017-10-17,2254,N,VIIRS,n,1.0NRT,281.8,0.8,N
46.58064,29.9372,347.7,0.4,0.4,2017-09-14,1054,N,VIIRS,n,1.0NRT,312.1,16.7,D
45.58995,28.33116,309.6,0.4,0.5,2017-09-18,2336,N,VIIRS,n,1.0NRT,287.2,1,N
47.78704,29.01827,305.5,0.4,0.6,2017-09-14,2312,N,VIIRS,n,1.0NRT,288.7,1.2,N
46.1404,28.70705,336,0.52,0.41,2017-10-31,1112,N,VIIRS,n,1.0NRT,280.5,6.5,D
47.00109,29.17148,335.1,0.4,0.4,2017-09-03,1100,N,VIIRS,n,1.0NRT,303.8,3,D
46.63058,29.24329,333.7,0.38,0.36,2017-10-27,1048,N,VIIRS,n,1.0NRT,289.8,4.9,D
46.04961,28.34551,333.9,0.5,0.7,2017-10-02,1200,N,VIIRS,n,1.0NRT,290.5,3.9,D
46.83412,29.20707,331.7,0.4,0.4,2017-09-15,1036,N,VIIRS,l,1.0NRT,306.2,3.6,D
46.82862,29.18,327.6,0.38,0.36,2017-10-27,1048,N,VIIRS,n,1.0NRT,289.9,2,D
46.47278,29.41105,330.7,0.41,0.37,2017-11-02,1036,N,VIIRS,n,1.0NRT,282.4,2.9,D
46.72652,29.78472,347.4,0.4,0.37,2017-11-02,1036,N,VIIRS,n,1.0NRT,281.9,8.4,D
46.90607,29.30371,337.6,0.4,0.4,2017-09-03,1100,N,VIIRS,n,1.0NRT,303.6,3.5,D
47.0355,29.54003,330.2,0.4,0.4,2017-09-09,1048,N,VIIRS,l,1.0NRT,302.1,0.9,D
47.78393,29.01885,303.3,0.4,0.5,2017-09-21,0036,N,VIIRS,n,1.0NRT,287.2,0.8,N
47.78939,28.95724,307.4,0.54,0.42,2017-10-18,0030,N,VIIRS,n,1.0NRT,282.9,1.7,N
46.98316,29.36953,329.2,0.39,0.36,2017-10-27,1048,N,VIIRS,n,1.0NRT,288.5,1.3,D
47.40342,28.24475,330,0.39,0.36,2017-11-01,1054,N,VIIRS,n,1.0NRT,289.5,12.3,D
45.92547,28.16216,335.5,0.45,0.39,2017-10-17,1036,N,VIIRS,n,1.0NRT,296,3.3,D
47.045,28.76041,342,0.4,0.4,2017-09-04,1042,N,VIIRS,n,1.0NRT,298.6,6.3,D
46.94432,28.73497,353.1,0.3,0.6,2017-09-17,1000,N,VIIRS,n,1.0NRT,304.4,15.6,D
46.16154,28.90396,328.2,0.4,0.4,2017-10-01,1036,N,VIIRS,n,1.0NRT,294.6,1.7,D
46.4439,28.49357,350,0.38,0.36,2017-10-27,1048,N,VIIRS,n,1.0NRT,292.4,12.8,D
46.44965,28.48645,326.5,0.38,0.36,2017-10-27,1048,N,VIIRS,n,1.0NRT,287.2,6.3,D
46.13406,28.70271,326.7,0.64,0.72,2017-10-31,0936,N,VIIRS,n,1.0NRT,279.6,6.4,D
45.8834,28.63499,332.9,0.39,0.36,2017-11-01,1054,N,VIIRS,n,1.0NRT,286.1,2.7,D
